episode_id,kind,anchor_idx,log_rv_ratio__lag1,log_rv_ratio__restoring_fraction,log_rv_ratio__same_side_run_length,downside_pressure__lag1,downside_pressure__restoring_fraction,downside_pressure__same_side_run_length,drawdown_state__lag1,drawdown_state__restoring_fraction,drawdown_state__same_side_run_length,log_rv_ratio__shock_carryover_lag1,log_rv_ratio__shock_carryover_lag3,log_rv_ratio__shock_carryover_lag5
5,branch,1763,0.5476095377395387,0.631578947368421,5.0,0.5083705674845358,0.631578947368421,3.3333333333333335,0.6544821185673836,0.6842105263157895,5.0,1.0,2.034232359068685,1.5806452491338188
5,control,826,0.5801597276950095,0.8421052631578947,2.857142857142857,0.2630956772208454,0.631578947368421,4.0,0.07079987265167638,0.7368421052631579,2.5,,,
6,branch,1889,0.5831553369733922,0.5789473684210527,4.0,0.5140302459483201,0.7894736842105263,3.3333333333333335,0.7282334958351258,0.5789473684210527,5.0,1.0,1.718882497015701,1.821052231512915
6,control,816,0.49671145681055917,0.7894736842105263,5.0,-0.21827345725436434,0.6842105263157895,4.0,0.6798035482008518,0.631578947368421,10.0,,,
7,branch,1909,0.35368290510186023,0.631578947368421,2.5,0.457081973684036,0.5263157894736842,4.0,0.3667207881682609,0.7368421052631579,2.5,1.0,-2.5768196773725713,-0.2873487905036931
7,control,1179,0.6538257983637417,0.47368421052631576,5.0,0.7222565924161224,0.47368421052631576,5.0,0.548992210655484,0.5789473684210527,3.3333333333333335,1.0,0.9319310845349905,-0.06692094625931583
8,branch,1936,0.655292819553596,0.631578947368421,5.0,0.6085016371958067,0.631578947368421,5.0,0.13864409046650156,0.631578947368421,5.0,,,
8,control,1193,0.5828532703960176,0.5789473684210527,2.2222222222222223,0.7480362585758922,0.631578947368421,4.0,0.7187823755562401,0.5789473684210527,3.3333333333333335,,,
13,branch,2331,0.24399339302642198,0.631578947368421,3.3333333333333335,0.7368384176755168,0.5263157894736842,5.0,0.4860720637209784,0.5263157894736842,6.666666666666667,,,
13,control,1143,0.7074121271912311,0.5789473684210527,4.0,0.3763014298802136,0.7894736842105263,2.5,0.633931892118087,0.47368421052631576,5.0,1.0,1.5052113148616828,1.4071953758398923
16,branch,2427,0.588546011666474,0.5263157894736842,3.3333333333333335,0.4656479170279918,0.5263157894736842,5.0,0.3446116475606625,0.5789473684210527,10.0,1.0,4.490455774330933,3.5956042936738384
16,control,1180,0.7112064027456259,0.5789473684210527,5.0,0.7273095435002161,0.5263157894736842,3.3333333333333335,0.5888005028776462,0.5789473684210527,2.857142857142857,1.0,0.9319310845349905,-0.06692094625931583
17,branch,2458,0.7250227514227222,0.6842105263157895,3.3333333333333335,0.45477518454726024,0.42105263157894735,3.3333333333333335,0.6105098310702918,0.5789473684210527,4.0,1.0,9.028884892058688,7.589271333795088
17,control,1508,0.5973307389786353,0.631578947368421,2.857142857142857,0.5386057982798872,0.631578947368421,2.857142857142857,0.3722507090510187,0.5263157894736842,3.3333333333333335,1.0,0.9503970016170955,-1.143389159015336
18,branch,3602,0.5308950426261769,0.6842105263157895,2.0,0.587927354700181,0.7894736842105263,2.5,0.2375653825592337,0.5789473684210527,3.3333333333333335,1.0,1.1339984876505989,0.6453154575774429
18,control,4825,0.3168089317367384,0.6842105263157895,2.857142857142857,0.6656183328939724,0.5789473684210527,4.0,0.6260197011760195,0.5789473684210527,2.857142857142857,,,
20,branch,3836,0.7049322543729649,0.5789473684210527,6.666666666666667,0.5222407445874258,0.631578947368421,3.3333333333333335,0.33437238228111615,0.5789473684210527,2.857142857142857,1.0,-4.300812486450588,-4.840892294549234
20,control,7876,0.7174239349783291,0.631578947368421,4.0,0.4939412664575967,0.5789473684210527,5.0,0.7146972803024644,0.5789473684210527,6.666666666666667,1.0,1.340548671289508,0.8953002362977637
22,branch,3900,0.5554904744634891,0.6842105263157895,5.0,0.6410710601500683,0.5789473684210527,3.3333333333333335,0.5677848319563111,0.5263157894736842,2.857142857142857,1.0,1.3468998146587459,1.6098187778336057
22,control,1150,0.6588641779440525,0.6842105263157895,5.0,0.6108039943024429,0.6842105263157895,2.857142857142857,0.6696029408513785,0.7894736842105263,4.0,1.0,1.5052113148616828,1.4071953758398923
23,branch,3926,0.5845066375559854,0.42105263157894735,5.0,0.6155029684577146,0.631578947368421,3.3333333333333335,0.6915133850384704,0.8947368421052632,2.2222222222222223,,,
23,control,1146,0.3094211276392008,0.631578947368421,4.0,0.5828257299751557,0.7368421052631579,4.0,0.310305615972212,0.5789473684210527,5.0,1.0,1.5052113148616828,1.4071953758398923
24,branch,3947,0.6282738765431632,0.7368421052631579,2.857142857142857,0.7456401675742175,0.631578947368421,6.666666666666667,0.5853868919164313,0.6842105263157895,5.0,1.0,1.3316310827036557,1.5601332691124772
24,control,6627,0.2507196813921714,0.6842105263157895,5.0,0.6952679111459997,0.8421052631578947,2.857142857142857,0.7090768462292447,0.6842105263157895,5.0,,,
27,branch,4301,0.45965080215578547,0.5789473684210527,4.0,0.739559288203957,0.5789473684210527,5.0,0.6357435120190494,0.6842105263157895,2.857142857142857,,,
27,control,5410,0.25830363097817893,0.6842105263157895,5.0,0.5852640530244144,0.5263157894736842,4.0,0.7596102685248037,0.75,9.0,,,
29,branch,4608,0.662669912742385,0.5789473684210527,4.0,0.5099584486723961,0.631578947368421,4.0,0.6209538489147514,0.6842105263157895,2.5,,,
29,control,5463,0.38133245584531117,0.6842105263157895,2.857142857142857,0.6732157560784803,0.631578947368421,3.3333333333333335,0.5386298789650313,0.631578947368421,4.0,1.0,0.7410499007335863,1.103141035798617
30,branch,4628,0.626599287107598,0.631578947368421,4.0,0.722264615874833,0.6842105263157895,4.0,0.6934129492451033,0.7368421052631579,2.857142857142857,1.0,1.341530600076251,0.3226178633928207
30,control,5846,0.44082781256047765,0.47368421052631576,10.0,0.5209385715597225,0.5789473684210527,3.3333333333333335,0.20901964496006303,0.7368421052631579,2.2222222222222223,1.0,1.8782980042119202,1.7464879735838352
33,branch,5625,0.6918735902093651,0.5789473684210527,6.666666666666667,0.6678422125215353,0.5263157894736842,4.0,0.6051339573792741,0.5789473684210527,2.857142857142857,,,
33,control,6623,0.30154266032924576,0.631578947368421,5.0,0.20222118882927856,0.7894736842105263,3.3333333333333335,0.49315437325294914,0.42105263157894735,10.0,,,
34,branch,5725,0.6065323394544666,0.631578947368421,2.5,0.5864395571990866,0.631578947368421,3.3333333333333335,0.7235940374584112,0.7368421052631579,2.857142857142857,,,
34,control,6629,0.6239394030748185,0.631578947368421,4.0,0.6390575910842049,0.8421052631578947,2.857142857142857,0.7409423630430481,0.6842105263157895,5.0,,,
35,branch,6242,0.612606604164947,0.631578947368421,2.857142857142857,0.5884849929954241,0.631578947368421,4.0,0.5755578540909646,0.7368421052631579,2.5,,,
35,control,6622,0.34134673109533326,0.6842105263157895,5.0,0.28839005999575174,0.6842105263157895,5.0,0.5461319806847238,0.47368421052631576,5.0,,,
36,branch,6277,0.7466137239006725,0.631578947368421,4.0,0.576389211609437,0.7368421052631579,3.3333333333333335,0.5811912290328195,0.7368421052631579,2.5,1.0,1.0427037654429432,0.6743904702265605
36,control,6631,0.7983819509042684,0.5789473684210527,4.0,0.7995440042621937,0.7368421052631579,3.3333333333333335,0.7785000661405983,0.6842105263157895,4.0,,,
37,branch,6424,0.2253220879724901,0.42105263157894735,3.3333333333333335,0.7040825470138657,0.5263157894736842,4.0,0.6813679523229825,0.631578947368421,2.857142857142857,1.0,1.8236645010872023,1.2717301071963365
37,control,6626,0.22007651866394615,0.631578947368421,5.0,0.6908810928982867,0.8947368421052632,2.857142857142857,0.6105130326847372,0.631578947368421,10.0,,,
39,branch,6774,0.4131637958659714,0.6842105263157895,2.2222222222222223,0.728403067754614,0.5789473684210527,4.0,0.5006173762056859,0.5789473684210527,5.0,,,
39,control,6632,0.8246131045372441,0.5263157894736842,5.0,0.8142620335866573,0.6842105263157895,4.0,0.7653229067894662,0.7368421052631579,4.0,,,
40,branch,6833,0.37192290741197676,0.5263157894736842,2.857142857142857,0.71549561775789,0.7368421052631579,2.857142857142857,0.43330197041419477,0.631578947368421,10.0,1.0,0.6832242815482134,0.3007201268291561
40,control,6625,0.3256487629108152,0.5263157894736842,5.0,0.43780255480542435,0.8421052631578947,3.3333333333333335,0.22699464626638602,0.5263157894736842,10.0,,,
43,branch,7308,0.2940613492944903,0.7894736842105263,2.5,0.5173540998528358,0.631578947368421,5.0,0.513410062303148,0.5789473684210527,5.0,1.0,0.8996981539037839,-2.699510396353372
43,control,7875,0.7417865278023527,0.5789473684210527,4.0,0.7084657273269064,0.47368421052631576,5.0,0.7570109092107463,0.5789473684210527,6.666666666666667,,,
44,branch,7338,0.7371668101856274,0.631578947368421,6.666666666666667,0.4232316994738261,0.5789473684210527,3.3333333333333335,0.418312710201685,0.7368421052631579,3.3333333333333335,,,
44,control,6628,0.40156046836004833,0.6842105263157895,4.0,0.633170714666074,0.7894736842105263,2.857142857142857,0.7345743178012281,0.7368421052631579,4.0,,,
