episode_id,metric,control,branch,difference_branch_minus_control,ratio_branch_over_control
5,log_rv_ratio__lag1,0.5801597276950095,0.5476095377395387,-0.032550189955470765,0.9438944338918636
6,log_rv_ratio__lag1,0.49671145681055917,0.5831553369733922,0.086443880162833,1.1740323863635016
7,log_rv_ratio__lag1,0.6538257983637417,0.35368290510186023,-0.3001428932618814,0.5409436366490643
8,log_rv_ratio__lag1,0.5828532703960176,0.655292819553596,0.07243954915757833,1.1242843659577642
13,log_rv_ratio__lag1,0.7074121271912311,0.24399339302642198,-0.46341873416480917,0.3449098250480861
16,log_rv_ratio__lag1,0.7112064027456259,0.588546011666474,-0.12266039107915183,0.8275319364313664
17,log_rv_ratio__lag1,0.5973307389786353,0.7250227514227222,0.1276920124440869,1.213771038574752
18,log_rv_ratio__lag1,0.3168089317367384,0.5308950426261769,0.21408611088943852,1.6757578131267448
20,log_rv_ratio__lag1,0.7174239349783291,0.7049322543729649,-0.012491680605364208,0.9825881462879524
22,log_rv_ratio__lag1,0.6588641779440525,0.5554904744634891,-0.1033737034805634,0.8431031661136366
23,log_rv_ratio__lag1,0.3094211276392008,0.5845066375559854,0.2750855099167846,1.8890327302974181
24,log_rv_ratio__lag1,0.2507196813921714,0.6282738765431632,0.37755419515099187,2.5058817602772403
27,log_rv_ratio__lag1,0.25830363097817893,0.45965080215578547,0.20134717117760653,1.779498028793161
29,log_rv_ratio__lag1,0.38133245584531117,0.662669912742385,0.2813374568970738,1.7377747490006445
30,log_rv_ratio__lag1,0.44082781256047765,0.626599287107598,0.1857714745471204,1.421415049717704
33,log_rv_ratio__lag1,0.30154266032924576,0.6918735902093651,0.39033092988011936,2.2944467938762902
34,log_rv_ratio__lag1,0.6239394030748185,0.6065323394544666,-0.017407063620351937,0.972101355460853
35,log_rv_ratio__lag1,0.34134673109533326,0.612606604164947,0.2712598730696138,1.7946754673735392
36,log_rv_ratio__lag1,0.7983819509042684,0.7466137239006725,-0.05176822700359596,0.935158570474994
37,log_rv_ratio__lag1,0.22007651866394615,0.2253220879724901,0.005245569308543946,1.0238352066835166
39,log_rv_ratio__lag1,0.8246131045372441,0.4131637958659714,-0.4114493086712727,0.5010395706697269
40,log_rv_ratio__lag1,0.3256487629108152,0.37192290741197676,0.046274144501161574,1.1420983273129601
43,log_rv_ratio__lag1,0.7417865278023527,0.2940613492944903,-0.44772517850786236,0.39642314638106
44,log_rv_ratio__lag1,0.40156046836004833,0.7371668101856274,0.335606341825579,1.8357554298015877
5,log_rv_ratio__restoring_fraction,0.8421052631578947,0.631578947368421,-0.21052631578947367,0.75
6,log_rv_ratio__restoring_fraction,0.7894736842105263,0.5789473684210527,-0.21052631578947367,0.7333333333333334
7,log_rv_ratio__restoring_fraction,0.47368421052631576,0.631578947368421,0.15789473684210525,1.3333333333333333
8,log_rv_ratio__restoring_fraction,0.5789473684210527,0.631578947368421,0.05263157894736836,1.0909090909090908
13,log_rv_ratio__restoring_fraction,0.5789473684210527,0.631578947368421,0.05263157894736836,1.0909090909090908
16,log_rv_ratio__restoring_fraction,0.5789473684210527,0.5263157894736842,-0.052631578947368474,0.909090909090909
17,log_rv_ratio__restoring_fraction,0.631578947368421,0.6842105263157895,0.052631578947368474,1.0833333333333335
18,log_rv_ratio__restoring_fraction,0.6842105263157895,0.6842105263157895,0.0,1.0
20,log_rv_ratio__restoring_fraction,0.631578947368421,0.5789473684210527,-0.05263157894736836,0.9166666666666667
22,log_rv_ratio__restoring_fraction,0.6842105263157895,0.6842105263157895,0.0,1.0
23,log_rv_ratio__restoring_fraction,0.631578947368421,0.42105263157894735,-0.21052631578947367,0.6666666666666666
24,log_rv_ratio__restoring_fraction,0.6842105263157895,0.7368421052631579,0.05263157894736836,1.0769230769230769
27,log_rv_ratio__restoring_fraction,0.6842105263157895,0.5789473684210527,-0.10526315789473684,0.8461538461538461
29,log_rv_ratio__restoring_fraction,0.6842105263157895,0.5789473684210527,-0.10526315789473684,0.8461538461538461
30,log_rv_ratio__restoring_fraction,0.47368421052631576,0.631578947368421,0.15789473684210525,1.3333333333333333
33,log_rv_ratio__restoring_fraction,0.631578947368421,0.5789473684210527,-0.05263157894736836,0.9166666666666667
34,log_rv_ratio__restoring_fraction,0.631578947368421,0.631578947368421,0.0,1.0
35,log_rv_ratio__restoring_fraction,0.6842105263157895,0.631578947368421,-0.052631578947368474,0.923076923076923
36,log_rv_ratio__restoring_fraction,0.5789473684210527,0.631578947368421,0.05263157894736836,1.0909090909090908
37,log_rv_ratio__restoring_fraction,0.631578947368421,0.42105263157894735,-0.21052631578947367,0.6666666666666666
39,log_rv_ratio__restoring_fraction,0.5263157894736842,0.6842105263157895,0.1578947368421053,1.3
40,log_rv_ratio__restoring_fraction,0.5263157894736842,0.5263157894736842,0.0,1.0
43,log_rv_ratio__restoring_fraction,0.5789473684210527,0.7894736842105263,0.21052631578947367,1.3636363636363635
44,log_rv_ratio__restoring_fraction,0.6842105263157895,0.631578947368421,-0.052631578947368474,0.923076923076923
5,log_rv_ratio__same_side_run_length,2.857142857142857,5.0,2.142857142857143,1.75
6,log_rv_ratio__same_side_run_length,5.0,4.0,-1.0,0.8
7,log_rv_ratio__same_side_run_length,5.0,2.5,-2.5,0.5
8,log_rv_ratio__same_side_run_length,2.2222222222222223,5.0,2.7777777777777777,2.25
13,log_rv_ratio__same_side_run_length,4.0,3.3333333333333335,-0.6666666666666665,0.8333333333333334
16,log_rv_ratio__same_side_run_length,5.0,3.3333333333333335,-1.6666666666666665,0.6666666666666667
17,log_rv_ratio__same_side_run_length,2.857142857142857,3.3333333333333335,0.4761904761904763,1.1666666666666667
18,log_rv_ratio__same_side_run_length,2.857142857142857,2.0,-0.8571428571428572,0.7
20,log_rv_ratio__same_side_run_length,4.0,6.666666666666667,2.666666666666667,1.6666666666666667
22,log_rv_ratio__same_side_run_length,5.0,5.0,0.0,1.0
23,log_rv_ratio__same_side_run_length,4.0,5.0,1.0,1.25
24,log_rv_ratio__same_side_run_length,5.0,2.857142857142857,-2.142857142857143,0.5714285714285714
27,log_rv_ratio__same_side_run_length,5.0,4.0,-1.0,0.8
29,log_rv_ratio__same_side_run_length,2.857142857142857,4.0,1.1428571428571428,1.4
30,log_rv_ratio__same_side_run_length,10.0,4.0,-6.0,0.4
33,log_rv_ratio__same_side_run_length,5.0,6.666666666666667,1.666666666666667,1.3333333333333335
34,log_rv_ratio__same_side_run_length,4.0,2.5,-1.5,0.625
35,log_rv_ratio__same_side_run_length,5.0,2.857142857142857,-2.142857142857143,0.5714285714285714
36,log_rv_ratio__same_side_run_length,4.0,4.0,0.0,1.0
37,log_rv_ratio__same_side_run_length,5.0,3.3333333333333335,-1.6666666666666665,0.6666666666666667
39,log_rv_ratio__same_side_run_length,5.0,2.2222222222222223,-2.7777777777777777,0.4444444444444445
40,log_rv_ratio__same_side_run_length,5.0,2.857142857142857,-2.142857142857143,0.5714285714285714
43,log_rv_ratio__same_side_run_length,4.0,2.5,-1.5,0.625
44,log_rv_ratio__same_side_run_length,4.0,6.666666666666667,2.666666666666667,1.6666666666666667
5,downside_pressure__lag1,0.2630956772208454,0.5083705674845358,0.24527489026369037,1.932264995208583
6,downside_pressure__lag1,-0.21827345725436434,0.5140302459483201,0.7323037032026845,-2.354982838565188
7,downside_pressure__lag1,0.7222565924161224,0.457081973684036,-0.26517461873208636,0.6328526156542049
8,downside_pressure__lag1,0.7480362585758922,0.6085016371958067,-0.13953462138008543,0.8134654306119723
13,downside_pressure__lag1,0.3763014298802136,0.7368384176755168,0.36053698779530324,1.9581068770056798
16,downside_pressure__lag1,0.7273095435002161,0.4656479170279918,-0.26166162647222435,0.6402334758142129
17,downside_pressure__lag1,0.5386057982798872,0.45477518454726024,-0.08383061373262696,0.8443562731772444
18,downside_pressure__lag1,0.6656183328939724,0.587927354700181,-0.07769097819379145,0.8832799904173207
20,downside_pressure__lag1,0.4939412664575967,0.5222407445874258,0.02829947812982908,1.0572932047827968
22,downside_pressure__lag1,0.6108039943024429,0.6410710601500683,0.030267065847625396,1.049552828943418
23,downside_pressure__lag1,0.5828257299751557,0.6155029684577146,0.03267723848255888,1.056066911259995
24,downside_pressure__lag1,0.6952679111459997,0.7456401675742175,0.05037225642821774,1.0724501384584109
27,downside_pressure__lag1,0.5852640530244144,0.739559288203957,0.15429523517954258,1.2636335417871736
29,downside_pressure__lag1,0.6732157560784803,0.5099584486723961,-0.16325730740608413,0.7574963064485194
30,downside_pressure__lag1,0.5209385715597225,0.722264615874833,0.20132604431511059,1.3864679163847051
33,downside_pressure__lag1,0.20222118882927856,0.6678422125215353,0.4656210236922568,3.3025333121018714
34,downside_pressure__lag1,0.6390575910842049,0.5864395571990866,-0.05261803388511832,0.9176630797924672
35,downside_pressure__lag1,0.28839005999575174,0.5884849929954241,0.3000949329996724,2.0405869502024205
36,downside_pressure__lag1,0.7995440042621937,0.576389211609437,-0.22315479265275673,0.7208974222016956
37,downside_pressure__lag1,0.6908810928982867,0.7040825470138657,0.013201454115579048,1.019108142126452
39,downside_pressure__lag1,0.8142620335866573,0.728403067754614,-0.08585896583204322,0.8945560982944862
40,downside_pressure__lag1,0.43780255480542435,0.71549561775789,0.2776930629524656,1.6342883564849973
43,downside_pressure__lag1,0.7084657273269064,0.5173540998528358,-0.19111162747407062,0.7302457689870914
44,downside_pressure__lag1,0.633170714666074,0.4232316994738261,-0.2099390151922479,0.6684322089928512
5,downside_pressure__restoring_fraction,0.631578947368421,0.631578947368421,0.0,1.0
6,downside_pressure__restoring_fraction,0.6842105263157895,0.7894736842105263,0.10526315789473684,1.1538461538461537
7,downside_pressure__restoring_fraction,0.47368421052631576,0.5263157894736842,0.05263157894736842,1.1111111111111112
8,downside_pressure__restoring_fraction,0.631578947368421,0.631578947368421,0.0,1.0
13,downside_pressure__restoring_fraction,0.7894736842105263,0.5263157894736842,-0.26315789473684215,0.6666666666666666
16,downside_pressure__restoring_fraction,0.5263157894736842,0.5263157894736842,0.0,1.0
17,downside_pressure__restoring_fraction,0.631578947368421,0.42105263157894735,-0.21052631578947367,0.6666666666666666
18,downside_pressure__restoring_fraction,0.5789473684210527,0.7894736842105263,0.21052631578947367,1.3636363636363635
20,downside_pressure__restoring_fraction,0.5789473684210527,0.631578947368421,0.05263157894736836,1.0909090909090908
22,downside_pressure__restoring_fraction,0.6842105263157895,0.5789473684210527,-0.10526315789473684,0.8461538461538461
23,downside_pressure__restoring_fraction,0.7368421052631579,0.631578947368421,-0.10526315789473684,0.8571428571428571
24,downside_pressure__restoring_fraction,0.8421052631578947,0.631578947368421,-0.21052631578947367,0.75
27,downside_pressure__restoring_fraction,0.5263157894736842,0.5789473684210527,0.052631578947368474,1.1
29,downside_pressure__restoring_fraction,0.631578947368421,0.631578947368421,0.0,1.0
30,downside_pressure__restoring_fraction,0.5789473684210527,0.6842105263157895,0.10526315789473684,1.1818181818181819
33,downside_pressure__restoring_fraction,0.7894736842105263,0.5263157894736842,-0.26315789473684215,0.6666666666666666
