metric,n_pairs,median_left,median_right,median_difference,median_ratio,fraction_difference_positive
downside_pressure__lag1,40,0.5781429124388879,0.3168141015755964,-0.1673512641097288,0.6585301524421237,0.025
downside_pressure__restoring_fraction,40,0.631578947368421,0.5555555555555556,-0.020467836257309968,0.9669774669774669,0.4
drawdown_state__lag1,40,0.4917169419449001,0.10297906383058114,-0.2782753076385637,0.3447189234603519,0.125
drawdown_state__restoring_fraction,40,0.631578947368421,0.6666666666666666,0.028654970760233933,1.0486111111111112,0.575
log_rv_ratio__lag1,40,0.551550006101514,0.1845565806964906,-0.2808081718229892,0.3504479035257225,0.1
log_rv_ratio__restoring_fraction,40,0.631578947368421,0.6666666666666666,0.0,1.0,0.45
