episode_id,metric,left_segment,right_segment,left_value,right_value,difference,ratio
1,log_rv_ratio__lag1,early_residence,late_residence,0.579157211197991,0.500120160370947,-0.07903705082704404,0.8635309216584642
2,log_rv_ratio__lag1,early_residence,late_residence,0.4484762785164201,0.42709096519997003,-0.02138531331645005,0.9523156199315744
5,log_rv_ratio__lag1,early_residence,late_residence,0.5476095377395387,0.6759400601819885,0.1283305224424498,1.2343467627904758
6,log_rv_ratio__lag1,early_residence,late_residence,0.5831553369733922,-0.21142442023573052,-0.7945797572091227,-0.36255249130194833
7,log_rv_ratio__lag1,early_residence,late_residence,0.35368290510186023,-0.21142442023573052,-0.5651073253375908,-0.5977795850066334
8,log_rv_ratio__lag1,early_residence,late_residence,0.655292819553596,-0.20139949069492058,-0.8566923102485166,-0.3073427400472961
11,log_rv_ratio__lag1,early_residence,late_residence,-0.2153030589446496,-0.2153030589446496,0.0,1.0
13,log_rv_ratio__lag1,early_residence,late_residence,0.24399339302642198,-0.02228616587776273,-0.2662795589041847,-0.09133921866216012
14,log_rv_ratio__lag1,early_residence,late_residence,-0.36423023424708534,-0.36423023424708534,0.0,1.0
15,log_rv_ratio__lag1,early_residence,late_residence,0.6816261876184458,0.0032456548517053106,-0.6783805327667405,0.004761634618302154
16,log_rv_ratio__lag1,early_residence,late_residence,0.588546011666474,0.29320922692468027,-0.29533678474179376,0.4981925305966399
17,log_rv_ratio__lag1,early_residence,late_residence,0.7250227514227222,0.0474547398537845,-0.6775680115689378,0.06545275960052757
18,log_rv_ratio__lag1,early_residence,late_residence,0.5308950426261769,-0.3863466215631653,-0.9172416641893422,-0.7277269338436946
20,log_rv_ratio__lag1,early_residence,late_residence,0.7049322543729649,0.2639419175800106,-0.4409903367929543,0.37442167803030396
22,log_rv_ratio__lag1,early_residence,late_residence,0.5554904744634891,-0.02275313163927844,-0.5782436061027675,-0.04096043530045076
23,log_rv_ratio__lag1,early_residence,late_residence,0.5845066375559854,-0.43761328625842383,-1.0221199238144092,-0.7486883093205391
24,log_rv_ratio__lag1,early_residence,late_residence,0.6282738765431632,0.5330984283445438,-0.09517544819861945,0.8485128034890039
25,log_rv_ratio__lag1,early_residence,late_residence,0.4948311514752011,0.12765716034882482,-0.3671739911263763,0.25798125273287786
26,log_rv_ratio__lag1,early_residence,late_residence,-0.02289137736229847,0.10303701165497658,0.12592838901727504,-4.5011276527499815
27,log_rv_ratio__lag1,early_residence,late_residence,0.45965080215578547,0.10378729886659063,-0.3558635032891948,0.22579597028836448
28,log_rv_ratio__lag1,early_residence,late_residence,0.3060971583336015,0.2156989086155366,-0.09039824971806493,0.7046746522895062
29,log_rv_ratio__lag1,early_residence,late_residence,0.662669912742385,0.31208359174708394,-0.350586320995301,0.4709487872409373
30,log_rv_ratio__lag1,early_residence,late_residence,0.626599287107598,0.28590929766862133,-0.3406899894389767,0.45628730123263883
31,log_rv_ratio__lag1,early_residence,late_residence,0.0908177539428801,0.0039057908861094624,-0.08691196305677064,0.043006909073814055
32,log_rv_ratio__lag1,early_residence,late_residence,0.21852877830044734,0.35913661517129775,0.1406078368708504,1.6434293824565924
33,log_rv_ratio__lag1,early_residence,late_residence,0.6918735902093651,0.19546145325194317,-0.4964121369574219,0.2825103545183671
34,log_rv_ratio__lag1,early_residence,late_residence,0.6065323394544666,0.21105335426655983,-0.3954789851879068,0.3479671907624704
35,log_rv_ratio__lag1,early_residence,late_residence,0.612606604164947,0.4105813590638362,-0.20202524510111086,0.6702202625182365
36,log_rv_ratio__lag1,early_residence,late_residence,0.7466137239006725,0.2635013484786229,-0.4831123754220496,0.35292861628897465
37,log_rv_ratio__lag1,early_residence,late_residence,0.2253220879724901,0.19891040127504417,-0.026411686697445924,0.8827825228538155
38,log_rv_ratio__lag1,early_residence,late_residence,0.6787613728695009,0.09247477604624932,-0.5862865968232516,0.13624048118016371
39,log_rv_ratio__lag1,early_residence,late_residence,0.4131637958659714,0.1873204075073065,-0.2258433883586649,0.4533804979564871
40,log_rv_ratio__lag1,early_residence,late_residence,0.37192290741197676,0.12025768300353155,-0.2516652244084452,0.3233403498599855
41,log_rv_ratio__lag1,early_residence,late_residence,0.6400403585002831,0.6086948507118108,-0.03134550778847223,0.9510257324055006
42,log_rv_ratio__lag1,early_residence,late_residence,0.2883082198843443,0.3170284456899609,0.028720225805616617,1.0996163960123573
43,log_rv_ratio__lag1,early_residence,late_residence,0.2940613492944903,0.03201720544507309,-0.2620441438494172,0.10887933936876955
44,log_rv_ratio__lag1,early_residence,late_residence,0.7371668101856274,0.2136087486416674,-0.5235580615439599,0.2897698942629799
45,log_rv_ratio__lag1,early_residence,late_residence,0.45315942035276485,0.33169544059706957,-0.12146397975569528,0.7319619226691991
47,log_rv_ratio__lag1,early_residence,late_residence,0.2939460452903663,0.18179275388567473,-0.11215329140469155,0.6184561990146726
48,log_rv_ratio__lag1,early_residence,late_residence,0.6353852072678489,0.03550876099772565,-0.5998764462701232,0.05588540713815644
1,downside_pressure__lag1,early_residence,late_residence,0.5607526358018474,0.4282410742894548,-0.13251156151239263,0.7636898107078749
2,downside_pressure__lag1,early_residence,late_residence,0.5700548418884795,0.4590733858250011,-0.11098145606347842,0.8053144225635929
5,downside_pressure__lag1,early_residence,late_residence,0.5083705674845358,0.41776912276737005,-0.09060144471716575,0.8217807038564998
6,downside_pressure__lag1,early_residence,late_residence,0.5140302459483201,0.3380707385980249,-0.17595950735029525,0.6576864712976715
7,downside_pressure__lag1,early_residence,late_residence,0.457081973684036,0.3380707385980249,-0.11901123508601114,0.7396282462710305
8,downside_pressure__lag1,early_residence,late_residence,0.6085016371958067,-0.15852520293861813,-0.7670268401344249,-0.2605172989659633
11,downside_pressure__lag1,early_residence,late_residence,0.29619661107271533,0.29619661107271533,0.0,1.0
13,downside_pressure__lag1,early_residence,late_residence,0.7368384176755168,0.002940409148332407,-0.7338980085271845,0.00399057524390277
14,downside_pressure__lag1,early_residence,late_residence,-0.2580673736717897,-0.2580673736717897,0.0,1.0
15,downside_pressure__lag1,early_residence,late_residence,0.16816673928885148,0.11088474756664425,-0.05728199172220723,0.6593738335865759
16,downside_pressure__lag1,early_residence,late_residence,0.4656479170279918,0.22940466414147223,-0.23624325288651957,0.49265691040916193
17,downside_pressure__lag1,early_residence,late_residence,0.45477518454726024,-0.37574602336179835,-0.8305212079090586,-0.8262236729910025
18,downside_pressure__lag1,early_residence,late_residence,0.587927354700181,0.4804478498065981,-0.10747950489358288,0.8171891407427486
20,downside_pressure__lag1,early_residence,late_residence,0.5222407445874258,0.33743159207847756,-0.1848091525089482,0.6461226849411207
22,downside_pressure__lag1,early_residence,late_residence,0.6410710601500683,-0.061191910132386146,-0.7022629702824544,-0.09545261662265916
23,downside_pressure__lag1,early_residence,late_residence,0.6155029684577146,-0.18897712500445316,-0.8044800934621678,-0.307028779207969
24,downside_pressure__lag1,early_residence,late_residence,0.7456401675742175,0.510990567075663,-0.23464960049855443,0.685304506512924
25,downside_pressure__lag1,early_residence,late_residence,0.44500068322759256,0.22772524361665755,-0.217275439610935,0.5117413347884435
26,downside_pressure__lag1,early_residence,late_residence,0.6172128457732403,0.521605458904325,-0.09560738686891534,0.8450981901565269
27,downside_pressure__lag1,early_residence,late_residence,0.739559288203957,0.40584235421082543,-0.33371693399313157,0.5487624328218855
28,downside_pressure__lag1,early_residence,late_residence,0.2864055002401257,0.2503268245523625,-0.036078675687763184,0.8740293895979149
29,downside_pressure__lag1,early_residence,late_residence,0.5099584486723961,0.41719456973968905,-0.0927638789327071,0.8180952209455405
30,downside_pressure__lag1,early_residence,late_residence,0.722264615874833,0.18305538937589383,-0.5392092264989392,0.2534464313389775
31,downside_pressure__lag1,early_residence,late_residence,0.034518261457409785,0.011287546779316183,-0.0232307146780936,0.3270021809540807
32,downside_pressure__lag1,early_residence,late_residence,0.7143444593007963,0.19862617439188962,-0.5157182849089066,0.2780537761660612
33,downside_pressure__lag1,early_residence,late_residence,0.6678422125215353,0.18799494229413202,-0.47984727022740326,0.2814960461758322
34,downside_pressure__lag1,early_residence,late_residence,0.5864395571990866,0.2355121286449841,-0.35092742855410247,0.40159659380724827
