episode_id,event_type,event_day,segment,n_rows,log_rv_ratio__lag1,log_rv_ratio__restoring_fraction,log_rv_ratio__same_side_run_length,downside_pressure__lag1,downside_pressure__restoring_fraction,downside_pressure__same_side_run_length,drawdown_state__lag1,drawdown_state__restoring_fraction,drawdown_state__same_side_run_length,log_rv_ratio__shock_carryover_lag1,log_rv_ratio__shock_carryover_lag3,log_rv_ratio__shock_carryover_lag5
1,recovery,16,pre_entry,20,0.6351498189687294,0.5789473684210527,3.3333333333333335,0.610351839836538,0.5789473684210527,5.0,0.4714782503364447,0.5789473684210527,5.0,1.0,4.166920751374842,3.8725173274249194
1,recovery,16,early_residence,15,0.579157211197991,0.46153846153846156,2.8,0.5607526358018474,0.8571428571428571,2.8,0.39737211855680665,0.6923076923076923,2.8,,,
1,recovery,16,late_residence,10,0.500120160370947,0.4444444444444444,3.3333333333333335,0.4282410742894548,0.7777777777777778,3.3333333333333335,0.04031272096816895,0.7777777777777778,1.6666666666666667,,,
2,relapse,14,pre_entry,20,0.6610094932730318,0.5789473684210527,5.0,0.6143503114319815,0.7368421052631579,5.0,0.17458903659447994,0.5789473684210527,3.3333333333333335,1.0,1.5448402569091235,1.1670029350147613
2,relapse,14,early_residence,13,0.4484762785164201,0.7272727272727273,3.0,0.5700548418884795,0.6363636363636364,4.0,0.5876462960094228,0.7272727272727273,2.4,,,
2,relapse,14,late_residence,10,0.42709096519997003,0.4444444444444444,3.3333333333333335,0.4590733858250011,0.6666666666666666,3.3333333333333335,0.32930509247183726,0.6666666666666666,2.0,,,
3,recovery,5,pre_entry,20,0.5765110985609154,0.631578947368421,4.0,0.6362461102854232,0.5263157894736842,6.666666666666667,0.5940547478574689,0.5263157894736842,3.3333333333333335,1.0,2.3216736565972473,0.9504445932998251
4,recovery,6,pre_entry,20,0.37738357073878537,0.631578947368421,2.5,0.8269588694073206,0.631578947368421,5.0,0.7605399196702785,0.6842105263157895,2.5,1.0,1.4655153108451888,1.534053211382167
5,recovery,57,pre_entry,20,0.500453637185751,0.5789473684210527,5.0,0.41551868547936216,0.8947368421052632,3.3333333333333335,0.48681723111914244,0.6842105263157895,3.3333333333333335,1.0,0.9832328877982465,0.19567802466248116
5,recovery,57,early_residence,20,0.5476095377395387,0.631578947368421,5.0,0.5083705674845358,0.631578947368421,3.3333333333333335,0.6544821185673836,0.6842105263157895,5.0,1.0,2.034232359068685,1.5806452491338188
