metric,n_pairs,median_left,median_right,median_difference,median_ratio,fraction_difference_positive
downside_pressure__lag1,40,0.6112639562084328,0.5781429124388879,-0.03035294662112653,0.9347442754035381,0.45
downside_pressure__same_side_run_length,40,4.0,4.0,-0.24523809523809526,0.9299999999999999,0.35
drawdown_state__lag1,40,0.5270815268214337,0.4917169419449001,-0.12312891897973532,0.8285941705926211,0.375
drawdown_state__same_side_run_length,40,5.0,3.2666666666666666,-1.0714285714285714,0.8,0.275
log_rv_ratio__lag1,40,0.5746810925659616,0.551550006101514,-0.05525587225126172,0.9008853717622326,0.425
log_rv_ratio__same_side_run_length,40,4.0,3.2,-0.9285714285714286,0.8,0.225
log_rv_ratio__shock_carryover_lag5,12,0.5971444264841566,1.3118663253045577,1.031998590602167,2.4167392487863615,0.5833333333333334
