model,signal,event,n,tp,fp,fn,tn,precision,recall,f1,signal_rate,event_rate
Phase 3 RF-QRC ring,crisis_like,future_crisis_candidate_q95,1058,20,22,31,985,0.47619047619047616,0.39215686274509803,0.4301075268817204,0.03969754253308128,0.048204158790170135
ESN reference,crisis_like,future_crisis_candidate_q95,1019,29,98,5,887,0.2283464566929134,0.8529411764705882,0.36024844720496896,0.12463199214916584,0.033366045142296366
Phase 2 final QRC,crisis_like,future_crisis_candidate_q95,1019,9,49,25,936,0.15517241379310345,0.2647058823529412,0.1956521739130435,0.05691854759568204,0.033366045142296366
ESN reference,warning_or_higher,future_extreme_vol_event_q90,1019,89,147,22,761,0.3771186440677966,0.8018018018018018,0.5129682997118157,0.23159960745829244,0.10893032384690873
Phase 3 RF-QRC ring,warning_or_higher,future_extreme_vol_event_q90,1058,43,26,87,902,0.6231884057971014,0.33076923076923076,0.4321608040201005,0.06521739130434782,0.12287334593572778
Phase 2 final QRC,warning_or_higher,future_extreme_vol_event_q90,1019,71,175,40,733,0.2886178861788618,0.6396396396396397,0.3977591036414566,0.24141315014720313,0.10893032384690873
ESN reference,watch_or_higher,future_high_vol_event_q80,1019,193,208,51,567,0.48129675810473815,0.7909836065573771,0.5984496124031008,0.39352306182531893,0.239450441609421
Phase 3 RF-QRC ring,watch_or_higher,future_high_vol_event_q80,1058,194,204,71,589,0.48743718592964824,0.7320754716981132,0.5852187028657616,0.3761814744801512,0.2504725897920605
Phase 2 final QRC,watch_or_higher,future_high_vol_event_q80,1019,202,249,42,526,0.44789356984478934,0.8278688524590164,0.5812949640287769,0.44259077526987245,0.239450441609421
