model,rmse,qlike,corr,actual_std,pred_std,q80_amplitude_f1,q90_amplitude_f1,q95_amplitude_f1,top20_pred_actual_ratio,mz_alpha,mz_beta,mz_r2
Phase 2 final QRC,0.09508171290082099,-2.229724005710915,0.43462368929800754,0.10478253641758732,0.05479643685178259,0.5625,0.13245033112582782,0.0,0.6939262688143452,0.035764597024553674,0.8310936836093412,0.18889775129901099
Phase 3 RF-QRC ring,0.10543803148849694,-1.0407233051680373,0.6667243436208902,0.10478253641758732,0.06712097576968432,0.3974358974358974,0.35802469135802467,0.41379310344827586,0.5451633413468194,0.06644598562257131,1.040823185522,0.44452135037670626
ESN reference,0.0718960414628873,-2.504774508806784,0.7288826079886288,0.10478253641758732,0.08043080891075095,0.6721991701244814,0.4796380090497738,0.575,0.8458808491413493,0.011301884684858583,0.9495635994468504,0.5312698562283042
