fold,model,protocol,quantum_tasks_per_date,shots,shot_seed,fit_seconds,feature_seconds,selected_config,selection_metric,test_rmse,test_qlike,test_mz_alpha,test_mz_beta,test_mz_r2,val_rmse,val_qlike,val_mz_alpha,val_mz_beta,val_mz_r2,q90_target_threshold,q95_target_threshold,q90_score_threshold,q90_threshold_source,q90_val_ap,q90_val_auc,q90_val_n_pos,q90_val_f1,q90_val_precision,q90_val_recall,q90_val_called_rate,q90_test_ap,q90_test_auc,q90_test_n_pos,q90_test_f1,q90_test_precision,q90_test_recall,q90_test_called_rate,q95_score_threshold,q95_threshold_source,q95_val_ap,q95_val_auc,q95_val_n_pos,q95_val_f1,q95_val_precision,q95_val_recall,q95_val_called_rate,q95_test_ap,q95_test_auc,q95_test_n_pos,q95_test_f1,q95_test_precision,q95_test_recall,q95_test_called_rate
1,har_ridge,classical,0,,,0.004574375023366883,0.0,"{""alpha"": 1.0, ""estimator"": ""Ridge"", ""features"": [""rv_5d"", ""rv_10d"", ""rv_20d"", ""rv_60d"", ""vix_close""], ""prediction_floor"": 1e-08, ""scaler"": ""StandardScaler"", ""target_transform"": ""none""}",frozen_phase2_har_ridge_alpha_1,0.10271255578647602,-2.367134124584881,-0.009614408920260312,1.1792823922087423,0.6743192059147659,0.028707355332408913,-3.29514819194343,0.058945364340832515,0.4196978129060936,0.178094693048638,0.2795172269976487,0.3223546732774423,-1.3984026560978575,train_score_quantile_fallback,,,0,,,,,0.9100984538065302,0.9653516150740242,160,0.8762541806020067,0.9424460431654677,0.81875,0.1539313399778516,-1.299158530927142,train_score_quantile_fallback,,,0,,,,,0.8383654289040688,0.9622302158273381,139,0.8856088560885609,0.9090909090909091,0.8633093525179856,0.1461794019933555
2,har_ridge,classical,0,,,0.003320167015772313,0.0,"{""alpha"": 1.0, ""estimator"": ""Ridge"", ""features"": [""rv_5d"", ""rv_10d"", ""rv_20d"", ""rv_60d"", ""vix_close""], ""prediction_floor"": 1e-08, ""scaler"": ""StandardScaler"", ""target_transform"": ""none""}",frozen_phase2_har_ridge_alpha_1,0.062004922215689456,-2.5074857368163217,0.01808837019452503,0.8324037171840653,0.3544201760538558,0.13942439954769295,-1.6476644843460517,0.00557444305120058,1.1803045927165812,0.5664470732446014,0.24830342801938302,0.30498735042250935,-1.3614363698976852,validation_f1,0.8253711206879731,0.8813814543158304,119,0.7692307692307693,0.9868421052631579,0.6302521008403361,0.16344086021505377,0.6952411029656166,0.8420367365743244,129,0.6666666666666666,0.78125,0.5813953488372093,0.10631229235880399,-1.3458948930011276,validation_f1,0.8091698665454081,0.9009966567842049,83,0.8280254777070064,0.8783783783783784,0.7831325301204819,0.15913978494623657,0.1814282307743401,0.6822336398053002,43,0.26356589147286824,0.19767441860465115,0.3953488372093023,0.09523809523809523
3,har_ridge,classical,0,,,0.002791290986351669,0.0,"{""alpha"": 1.0, ""estimator"": ""Ridge"", ""features"": [""rv_5d"", ""rv_10d"", ""rv_20d"", ""rv_60d"", ""vix_close""], ""prediction_floor"": 1e-08, ""scaler"": ""StandardScaler"", ""target_transform"": ""none""}",frozen_phase2_har_ridge_alpha_1,0.04745075852335519,-3.024242421392343,0.06005210789234142,0.5099797155709653,0.1611572297798376,0.06907890209018784,-2.5372441493604825,0.013084119267462084,0.8786752979992705,0.43377187373826653,0.28046104648449466,0.34527098537914175,-1.4775133529128621,validation_f1,0.6106066104639198,0.9001610305958132,69,0.6369426751592356,0.5681818181818182,0.7246376811594203,0.18924731182795698,0.01961431265495953,0.43371364293748993,14,0.06060606060606061,0.05263157894736842,0.07142857142857142,0.021040974529346623,-1.8588698578633922,validation_f1,0.13127873479103633,0.7081724581724582,21,0.1630901287553648,0.08962264150943396,0.9047619047619048,0.4559139784946237,,,0,,,,
4,har_ridge,classical,0,,,0.0028270829934626818,0.0,"{""alpha"": 1.0, ""estimator"": ""Ridge"", ""features"": [""rv_5d"", ""rv_10d"", ""rv_20d"", ""rv_60d"", ""vix_close""], ""prediction_floor"": 1e-08, ""scaler"": ""StandardScaler"", ""target_transform"": ""none""}",frozen_phase2_har_ridge_alpha_1,0.10824158931159367,-2.4961056033668654,0.01915975678523481,0.9521823754523714,0.4264206364382491,0.05558048135520159,-2.632101250675752,0.0817224322569778,0.4505384815671485,0.13293064909058427,0.27692294950967533,0.32879681684688117,-1.4092199856803207,validation_f1,0.02868300437290927,0.3370288248337029,14,0.08333333333333333,0.1,0.07142857142857142,0.021505376344086023,0.6164066110817502,0.9117821811592051,82,0.4697986577181208,0.5223880597014925,0.4268292682926829,0.07419712070874862,-1.182120298575398,train_score_quantile_fallback,,,0,,,,,0.660681632013719,0.8980530016224988,43,0.6067415730337079,0.5869565217391305,0.627906976744186,0.05094130675526024
5,har_ridge,classical,0,,,0.0028825830086134374,0.0,"{""alpha"": 1.0, ""estimator"": ""Ridge"", ""features"": [""rv_5d"", ""rv_10d"", ""rv_20d"", ""rv_60d"", ""vix_close""], ""prediction_floor"": 1e-08, ""scaler"": ""StandardScaler"", ""target_transform"": ""none""}",frozen_phase2_har_ridge_alpha_1,0.04579527295185612,-2.6551847996326763,0.014695933236914663,0.8723297132046129,0.48423979470774936,0.1404024519441772,-1.799982392553626,0.007334220082914618,1.1713960435468804,0.39437818636822874,0.26477153686682015,0.31780524482703826,-1.6231796809922678,validation_f1,0.6222611692783371,0.8767234387672344,54,0.56,0.6086956521739131,0.5185185185185185,0.0989247311827957,0.30794080536793345,0.876636791253496,76,0.39869281045751637,0.26521739130434785,0.8026315789473685,0.25442477876106195,-1.1426687438611072,validation_f1,0.6367082315273088,0.8414702581369249,33,0.68,1.0,0.5151515151515151,0.03655913978494624,0.03625730074469092,0.7519618834080717,12,0.0,0.0,0.0,0.0011061946902654867
