fold,variant,standardize_target,best_epoch,epochs_ran,best_val_mse,final_train_mse,target_mean,target_std,pca_explained_variance_sum
1,early_stop,False,1,7,0.06356764422777886,0.05787742648338797,0.0,1.0,0.8093360626188744
1,early_stop_standardized,True,1,7,0.06451103917735977,0.39587690957626254,0.007179803196927507,0.3515326754285752,0.8093360626188744
2,early_stop,False,1,7,0.1402439471567407,0.038472923172937226,0.0,1.0,0.7840368435301945
2,early_stop_standardized,True,2,8,0.1428590145737478,0.3157422521553634,-0.0018640675911623383,0.3312158471353142,0.7840368435301945
3,early_stop,False,9,15,0.1385798910109635,0.03262475705582336,0.0,1.0,0.8042703857742869
3,early_stop_standardized,True,6,12,0.14582059455775484,0.32580059027712965,0.0017544109973971914,0.35026205933487287,0.8042703857742869
4,early_stop,False,2,8,0.14095759454330453,0.06095969961071501,0.0,1.0,0.8051617451945929
4,early_stop_standardized,True,2,8,0.13932786334018082,0.42386412962704634,-0.001444138297390613,0.3597520482267934,0.8051617451945929
5,early_stop,False,1,7,0.3188204362156717,0.07820241529058541,0.0,1.0,0.804229871977535
5,early_stop_standardized,True,2,8,0.3165067916078294,0.40491566663378603,0.002523403110934317,0.3835360752801221,0.804229871977535
