model,n_predictions,roc_auc,average_precision,log_loss,brier,accuracy,balanced_accuracy,positive_recall,negative_recall,mean_probability
momentum_13w,96,0.6637362637362637,0.8476581790380475,0.5510822250050053,0.18425205724403895,0.7916666666666666,0.6153846153846154,1.0,0.23076923076923078,0.6346150875785331
momentum_plus_rydberg_return_uncertainty,48,0.6813186813186813,0.864238088923582,0.5591484943152198,0.18914799475395871,0.7291666666666666,0.5967032967032967,0.8857142857142857,0.3076923076923077,0.634967881689882
momentum_plus_rydberg_return_only,48,0.6131868131868132,0.816407164196574,0.5774875134851774,0.19635972297483031,0.7083333333333334,0.5340659340659341,0.9142857142857143,0.15384615384615385,0.6327873929213986
rydberg_return_only_direct,48,0.545054945054945,0.7738644272262348,0.6055520103967083,0.20780602931789394,0.75,0.5384615384615384,1.0,0.07692307692307693,0.632344831681142
rydberg_return_uncertainty_direct,48,0.5230769230769231,0.7668142572716182,0.6160729652793071,0.21246983950081985,0.6875,0.4956043956043956,0.9142857142857143,0.07692307692307693,0.6203278062596658
