view,n_resolved_market_episodes,n_calendar_clusters,n_singleton_episode_clusters,n_multi_market_clusters,median_episodes_per_cluster,max_episodes_in_cluster
anchored_branch_date_30d,377,205,112,90,1.0,5
broad_interval_connected_10d_buffer,377,94,45,36,2.0,40
