run_name,virtual_nodes,ridge_alpha,split,n,rmse,qlike,corr,actual_std,pred_std,pred_mean,effective_rank,q80_f1,q80_precision,q80_recall,q80_pred_rate,q80_actual_rate,q90_f1,q90_precision,q90_recall,q90_pred_rate,q90_actual_rate,q95_f1,q95_precision,q95_recall,q95_pred_rate,q95_actual_rate,top20_pred_actual_ratio
rf_qrc_ring_tm_vn1_alpha1000,1,1000.0,train,5420,0.07620146488306136,-2.5615015269248693,0.66000439705314,0.09931935412572275,0.05632156720301056,0.15111310731713717,10.634644045607615,0.44193762441937623,0.7872340425531915,0.30719557195571956,0.07804428044280443,0.2,0.5018541409147095,0.7602996254681648,0.37453874538745385,0.0492619926199262,0.1,0.4439359267734554,0.5843373493975904,0.35793357933579334,0.030627306273062732,0.05,
rf_qrc_ring_tm_vn1_alpha1000,1,1000.0,val,1219,0.07443937358069071,-1.743658391909225,0.30231379675227393,0.06081226069827106,0.043723877111577304,0.08305803454694456,10.74322885877945,0.07692307692307693,0.21428571428571427,0.046875,0.022969647251845776,0.10500410172272355,0.0,0.0,0.0,0.013125512715340444,0.026251025430680888,0.0,0.0,0.0,0.007383100902378999,0.0,
rf_qrc_ring_tm_vn1_alpha1000,1,1000.0,test,1136,0.12900720697028845,1.061739995554135,0.5559503839236545,0.12273565132235827,0.07296134813123341,0.09955411128619517,10.926581721349287,0.3905325443786982,0.9041095890410958,0.2490566037735849,0.06426056338028169,0.23327464788732394,0.33513513513513515,0.5636363636363636,0.23846153846153847,0.04841549295774648,0.11443661971830986,0.30952380952380953,0.3939393939393939,0.2549019607843137,0.029049295774647887,0.0448943661971831,0.497632028150663
rf_qrc_ring_tm_vn1_alpha3000,1,3000.0,train,5420,0.07905132670426016,-2.537254166492909,0.6510598779899545,0.09931935412572275,0.04575988731887005,0.14907913390193064,10.634644045607615,0.4248633879781421,0.8184210526315789,0.28690036900369004,0.07011070110701106,0.2,0.40654843110504774,0.7801047120418848,0.27490774907749077,0.03523985239852399,0.1,0.22023809523809523,0.5692307692307692,0.13653136531365315,0.011992619926199263,0.05,
rf_qrc_ring_tm_vn1_alpha3000,1,3000.0,val,1219,0.07022544004114986,-2.1350025378746826,0.3097143551359424,0.06081226069827106,0.03979899787242725,0.08839539828062136,10.74322885877945,0.08974358974358974,0.25,0.0546875,0.022969647251845776,0.10500410172272355,0.0,0.0,0.0,0.009023789991796555,0.026251025430680888,0.0,0.0,0.0,0.004101722723543888,0.0,
rf_qrc_ring_tm_vn1_alpha3000,1,3000.0,test,1136,0.1268295927649746,0.2348869201359168,0.5562447931265015,0.12273565132235827,0.06482018474561102,0.10306915252011875,10.926581721349287,0.3772455089820359,0.9130434782608695,0.23773584905660378,0.06073943661971831,0.23327464788732394,0.32044198895027626,0.5686274509803921,0.2230769230769231,0.0448943661971831,0.11443661971830986,0.32,0.5,0.23529411764705882,0.02112676056338028,0.0448943661971831,0.482346933772121
rf_qrc_ring_tm_vn1_alpha10000,1,10000.0,train,5420,0.08541733210265845,-2.469251682582455,0.6261066610636694,0.09931935412572275,0.03051251614821091,0.14633439860748967,10.634644045607615,0.3172932330827068,0.8577235772357723,0.19464944649446494,0.04538745387453875,0.2,0.043010752688172046,0.75,0.02214022140221402,0.002952029520295203,0.1,0.0,0.0,0.0,0.0,0.05,
rf_qrc_ring_tm_vn1_alpha10000,1,10000.0,val,1219,0.06258449921612455,-2.6818570227543868,0.3211255071615713,0.06081226069827106,0.031183141221633934,0.10074235726630751,10.74322885877945,0.08053691275167785,0.2857142857142857,0.046875,0.017227235438884332,0.10500410172272355,0.0,0.0,0.0,0.0016406890894175555,0.026251025430680888,0.0,0.0,0.0,0.0,0.0,
rf_qrc_ring_tm_vn1_alpha10000,1,10000.0,test,1136,0.12434656828300565,-0.9404859870072734,0.5523881650171394,0.12273565132235827,0.04595611206791605,0.11116105835955992,10.926581721349287,0.3597560975609756,0.9365079365079365,0.22264150943396227,0.05545774647887324,0.23327464788732394,0.1342281879194631,0.5263157894736842,0.07692307692307693,0.016725352112676055,0.11443661971830986,0.0,0.0,0.0,0.0,0.0448943661971831,0.45011225816919986
rf_qrc_ring_tm_vn2_alpha1000,2,1000.0,train,5420,0.0750033743908341,-2.575115339114829,0.6677679926593457,0.09931935412572275,0.06112795115055518,0.15200149790112982,13.180362906171231,0.45526315789473687,0.7935779816513762,0.3191881918819188,0.08044280442804429,0.2,0.5061425061425061,0.7573529411764706,0.3800738007380074,0.05018450184501845,0.1,0.4827586206896552,0.5803108808290155,0.4132841328413284,0.03560885608856089,0.05,
