candidate,from_state,to_state,raw_transition_days,episode_count,episodes_1993_2004,episodes_2005_2014,episodes_2015_2019,episodes_2020_2024,fwd_return_5d_mean,fwd_return_5d_median,fwd_return_10d_mean,fwd_return_10d_median,fwd_return_20d_mean,fwd_return_20d_median,fwd_max_drawdown_20d_mean,fwd_max_drawdown_20d_median,fwd_max_upside_20d_mean,fwd_max_upside_20d_median,future_rv_20d_mean,future_rv_20d_median
state__vol_level_x_acceleration_grid,0,1,170,154,47,53,42,12,0.0024313017906192236,0.004609719210443619,0.0035958402026191627,0.0046821997083758005,0.0064779274293707105,0.008220337425653534,-0.015906587741993414,-0.010993894759972755,0.021924211237853375,0.02033404781689374,0.10538036542152415,0.10018251787837934
state__vol_level_x_acceleration_grid,0,2,39,39,10,15,7,7,0.0035758669181963697,0.0012836580376902607,0.007353430658042859,0.012181123439286123,0.01228469609614773,0.017582968509060715,-0.015511977720553705,-0.007650549915062976,0.023466056411068328,0.02600263585727891,0.11337475072176524,0.1068266634574623
state__vol_level_x_acceleration_grid,0,3,4,4,3,0,0,1,-0.0044129576858550346,-0.0046023455479257125,-0.010164670288339311,-0.009095259090290075,-0.010111690537640938,-0.010802282687581655,-0.022401103637497782,-0.019815371710621477,0.006737284530546367,0.0018747656775606192,0.09183980211014639,0.0857957512255896
state__vol_level_x_acceleration_grid,0,4,16,16,6,7,1,2,-0.00020163935622829338,-0.0010447863378468814,-0.005926491798486103,-0.008734043003556291,0.003283009308672244,0.0009766561315522893,-0.027466174751063256,-0.022067509722985656,0.020043368145306162,0.018510015929567136,0.14131971237291652,0.12682886737437404
state__vol_level_x_acceleration_grid,0,5,11,11,2,6,2,1,-0.007165300865472704,-0.0068266972103046,-0.004829350450398834,0.002382080808376541,0.0033148079367391666,0.017791684047226974,-0.03363828735885879,-0.03599968202794057,0.017422893226202666,0.022793187858384245,0.15379016148235714,0.143762291910374
state__vol_level_x_acceleration_grid,1,0,139,122,36,43,32,11,0.0014196673113192233,0.0016217081396630029,0.0020236319655109226,0.0032448226888934784,0.005016462435263713,0.007332911892287686,-0.017548086523675847,-0.013352293420256955,0.019470076731083794,0.017432871657429905,0.10547669294404916,0.10122490458781895
state__vol_level_x_acceleration_grid,1,2,201,167,52,58,43,14,0.0018499018248353094,0.0014645382510127813,0.003693806346048847,0.005920096143891662,0.007995985222545295,0.011568573558570439,-0.016718900097815816,-0.011036244716253862,0.021719739597495583,0.01994016001177168,0.10822012300602503,0.0983203185956301
state__vol_level_x_acceleration_grid,1,3,1,1,0,1,0,0,-0.03353676196602151,-0.03353676196602151,-0.049919985890542806,-0.049919985890542806,-0.004726495260968799,-0.004726495260968799,-0.049919985890542806,-0.049919985890542806,0.0009103712291567145,0.0009103712291567145,0.1483566617353885,0.1483566617353885
state__vol_level_x_acceleration_grid,1,4,15,14,8,5,1,0,0.0011863214038330366,0.005872351177538926,-0.0013595978401057687,0.008484104136282422,0.00968565803385178,0.010012093525595067,-0.021639708248336522,-0.015123179123304575,0.025403388166209875,0.02248388595550277,0.1230061121185281,0.09923012109674426
state__vol_level_x_acceleration_grid,1,5,19,19,8,6,2,3,0.00041436606392772796,-0.0013541260367528896,0.006041429841028979,0.009022078803015976,0.005736613162573977,0.01160231649281629,-0.022671797950912353,-0.01678508554146163,0.030186508225939695,0.028775831881552083,0.14010905055083694,0.1308749555088411
state__vol_level_x_acceleration_grid,2,0,54,54,21,18,11,4,0.00043394751341852,0.002117355520873887,0.003783291385366709,0.007145531503701674,0.0077503172020438405,0.013163259678942496,-0.015565637331710165,-0.009340941397458835,0.022883820252879716,0.021488101795079873,0.10559457599204614,0.1033770129618383
state__vol_level_x_acceleration_grid,2,1,166,144,45,56,31,12,0.0012743750066354612,0.0029565081481657263,0.0018197619900648635,0.004323676726292747,0.007933774532292182,0.011091916236318444,-0.017439057435287595,-0.012229773443594827,0.02136163849945811,0.01913151751811415,0.10889298520901503,0.10092333061211944
state__vol_level_x_acceleration_grid,2,3,1,1,0,1,0,0,-0.017659544891893697,-0.017659544891893697,-0.014781194631198202,-0.014781194631198202,0.007156710671188282,0.007156710671188282,-0.02380568874100597,-0.02380568874100597,0.007156710671188282,0.007156710671188282,0.0925060023872429,0.0925060023872429
state__vol_level_x_acceleration_grid,2,4,3,3,2,1,0,0,0.0035844438704398054,0.006176969806941379,-0.002993842246667581,0.002820034556159534,0.002983943182466753,0.003948048378623392,-0.01641800250677054,-0.020305680293970618,0.014872918082463826,0.016074196970109034,0.10333165902031127,0.0976954596755164
state__vol_level_x_acceleration_grid,2,5,43,42,13,15,8,6,0.005899021853158566,0.007253658096982751,0.009031606460976884,0.005736083660092817,0.014076375409400882,0.010794248234342052,-0.01922265272547579,-0.012453687788551993,0.02772960747274495,0.021534057929172845,0.13790811324286023,0.12552494621479277
state__vol_level_x_acceleration_grid,3,0,40,39,9,17,8,5,0.0022848922469186207,0.0011940493146442854,0.003499224130141687,0.006799927949090678,0.0008958011727181441,0.002338915919474216,-0.021812401685198563,-0.011267034962092581,0.019485500316078486,0.01669443754067723,0.11955574827316419,0.1064451385859464
state__vol_level_x_acceleration_grid,3,1,12,12,2,7,1,2,0.005435933104465486,0.005007620621778841,0.011566472650872147,0.00944486221162788,0.008809267401059917,0.01217391748700214,-0.015679195720009132,-0.014215894176530519,0.027456167575017953,0.0203881872341255,0.1192781132849074,0.09461840057458801
state__vol_level_x_acceleration_grid,3,4,146,125,51,36,17,21,0.0004347638646563619,0.003799734492893503,0.005676135799645733,0.009673537373838248,0.010646882637755433,0.01708224462955854,-0.024502361421638277,-0.01596171841554056,0.029343575170699833,0.02679091513973264,0.14297665762793585,0.1369414746009261
state__vol_level_x_acceleration_grid,3,5,21,21,10,7,2,2,-0.0025594669869521123,-0.0021832225587776755,-0.0035366039504121254,0.004072490327835521,0.0022484224881797465,0.008343409107647415,-0.03047655032857887,-0.021878819174939057,0.021188308299849662,0.017759081239285712,0.16294381737515012,0.1566526858021743
state__vol_level_x_acceleration_grid,3,6,6,6,1,2,2,1,-0.0007506951922130282,0.006536901845731413,-0.001213025008376667,0.008706660702893831,0.013097763348598024,0.018337828828186464,-0.022436402195100236,-0.014423129272848001,0.030804856460278713,0.0310735358623756,0.13235097271711593,0.11894138407507665
state__vol_level_x_acceleration_grid,3,7,11,11,3,5,1,2,0.01196659073092528,0.00264240292754625,0.021094538210700287,0.015376996824853162,0.015417975327255135,0.028746115381122817,-0.022344107551997852,-0.01129331433640679,0.03834910091660292,0.03582219952149268,0.14781689784601873,0.1499047118766747
state__vol_level_x_acceleration_grid,3,8,5,5,2,2,0,1,-0.01035677512515305,-0.010065049044914787,-0.022316655330593838,0.007344691103080336,-0.05562635399720939,0.009392490010473153,-0.07969358289457038,-0.027727190858332085,0.018444150298543537,0.02629633453794522,0.34670181173070824,0.2691436253268619
state__vol_level_x_acceleration_grid,4,0,5,5,2,1,1,1,-0.007331233415605531,0.0012869454958264193,-0.007396599973341855,-0.0038791664288289063,0.01541843325937151,0.015733260978525676,-0.016504802096879746,-0.01434084347662079,0.020167842894051623,0.01784506949628839,0.11049244307269197,0.1230507006148706
state__vol_level_x_acceleration_grid,4,1,25,24,13,6,3,2,0.002692748975071708,0.006317002459016563,0.0021322801761306472,0.002676932453244296,0.007659142262676448,0.01131838510754335,-0.018037190322786698,-0.010164340822915174,0.02217409734888383,0.018811831714056315,0.11246194485397527,0.1024135092511122
state__vol_level_x_acceleration_grid,4,2,11,11,7,4,0,0,-0.00023819912715904547,0.0012086733179930143,0.011888226824776395,0.009614012435867014,0.012239182576233899,0.008201892744479578,-0.017381369997067467,-0.013752925613106703,0.024228017313508977,0.02412486007937331,0.1258460239481728,0.1325772668291359
state__vol_level_x_acceleration_grid,4,3,150,126,39,47,17,23,0.0013917269892236162,0.003642231955724995,0.005045353290653332,0.007197091083110063,0.007243260837015791,0.01697098783923867,-0.02419775801506557,-0.014720540965047546,0.026889116186647275,0.024897146477202647,0.13847015550993302,0.11654921750832145
state__vol_level_x_acceleration_grid,4,5,111,96,46,26,10,14,0.0003892139534395246,0.00463255550558872,0.005277055458064219,0.0031558120981005633,0.006717459234188797,0.012183015282615672,-0.02837129871103392,-0.02109149788922904,0.029981579692217014,0.026803290416874015,0.16246705769701933,0.15025550222247686
state__vol_level_x_acceleration_grid,4,7,6,6,4,0,1,1,-0.0022491821799159872,-0.0007946012323460927,0.014743958089078135,0.018271065796594432,0.03024067545370725,0.03938868036962062,-0.016756890891163834,-0.012208697839998672,0.03677834886448624,0.045584864530609615,0.14297556526032543,0.14939668411715115
state__vol_level_x_acceleration_grid,4,8,17,17,9,5,1,2,0.006044392358179544,0.004883533934718631,0.010634303293763333,0.007232911856331237,0.012600863135471008,0.01852889739957142,-0.026869991037677718,-0.014613340663368057,0.04355895322650097,0.032684391564226756,0.21334160685015235,0.1930817401598027
state__vol_level_x_acceleration_grid,5,0,2,2,1,0,1,0,0.00014001359300003235,0.00014001359300003235,-0.0028563942589269198,-0.0028563942589269198,-0.017423937515169907,-0.017423937515169907,-0.01897739907721635,-0.01897739907721635,0.0065374820725031535,0.0065374820725031535,0.08932003882983905,0.08932003882983905
state__vol_level_x_acceleration_grid,5,1,2,2,1,1,0,0,-0.001442705557421653,-0.001442705557421653,0.000586088870509649,0.000586088870509649,-0.01743320706955409,-0.01743320706955409,-0.02974585519150469,-0.02974585519150469,0.012295640728840485,0.012295640728840485,0.1296992417650783,0.1296992417650783
state__vol_level_x_acceleration_grid,5,2,16,15,8,6,0,1,0.0017138547697601295,0.000660126524250515,0.006207058735088548,0.002675673192740202,0.0030643143803855835,0.0006775217432928304,-0.020029181604971646,-0.01567232036136712,0.01982071532855816,0.012583664316200283,0.11991060703000805,0.111021332368431
state__vol_level_x_acceleration_grid,5,3,42,42,22,13,5,2,0.003019397864041117,0.006415777235884823,0.002859646199508393,0.010897416103493152,0.006004044226128425,0.01571550863175908,-0.021383570318385323,-0.010901507439971425,0.028276645000440793,0.03104073261470952,0.13968711600920555,0.1183757207744258
state__vol_level_x_acceleration_grid,5,4,119,101,40,31,10,20,0.001892438565965189,0.003889545022362828,0.006621230412994848,0.009051419491634682,0.007240046611566554,0.009633262867647097,-0.025660837509714957,-0.02254750435997549,0.030108338011477397,0.028330127921937343,0.14941318970160777,0.134031954337899
state__vol_level_x_acceleration_grid,5,6,1,1,1,0,0,0,0.019237566542925633,0.019237566542925633,0.049319364776342356,0.049319364776342356,0.06785718771250226,0.06785718771250226,0.016440386330239587,0.016440386330239587,0.06785718771250226,0.06785718771250226,0.1729683635007853,0.1729683635007853
state__vol_level_x_acceleration_grid,5,7,4,4,1,3,0,0,0.0132222885956928,0.017480730649777176,0.01847385788124084,0.012205559145282097,0.014746478669256602,0.02729582381406004,-0.013247185625263669,-0.011519459175825808,0.03651848493377885,0.03519507565632807,0.14082689223881262,0.1464534231571495
