candidate,period,state,n_days,occupancy
state__state8_k4,2020_2024,0,301,0.2844990548204159
state__state8_k4,2020_2024,1,388,0.3667296786389414
state__state8_k4,2020_2024,2,45,0.04253308128544423
state__state8_k4,2020_2024,3,324,0.30623818525519847
state__risk4_k5,1993_2004,0,298,0.10129163834126445
state__risk4_k5,1993_2004,1,922,0.3133922501699524
state__risk4_k5,1993_2004,2,935,0.3178110129163834
state__risk4_k5,1993_2004,3,0,0.0
state__risk4_k5,1993_2004,4,787,0.26750509857239974
state__risk4_k5,2005_2014,0,236,0.09376241557409615
state__risk4_k5,2005_2014,1,925,0.36750099324592767
state__risk4_k5,2005_2014,2,854,0.3392928088994835
state__risk4_k5,2005_2014,3,64,0.02542709574890743
state__risk4_k5,2005_2014,4,438,0.17401668653158522
state__risk4_k5,2015_2019,0,66,0.05246422893481717
state__risk4_k5,2015_2019,1,640,0.5087440381558028
state__risk4_k5,2015_2019,2,437,0.34737678855325915
state__risk4_k5,2015_2019,3,0,0.0
state__risk4_k5,2015_2019,4,115,0.09141494435612083
state__risk4_k5,2020_2024,0,136,0.1285444234404537
state__risk4_k5,2020_2024,1,315,0.29773156899810965
state__risk4_k5,2020_2024,2,311,0.2939508506616257
state__risk4_k5,2020_2024,3,25,0.023629489603024575
state__risk4_k5,2020_2024,4,271,0.2561436672967864
state__state8_k5,1993_2004,0,838,0.2848402447314752
state__state8_k5,1993_2004,1,897,0.30489462950373897
state__state8_k5,1993_2004,2,714,0.24269204622705642
state__state8_k5,1993_2004,3,420,0.14276002719238612
state__state8_k5,1993_2004,4,73,0.024813052345343305
state__state8_k5,2005_2014,0,770,0.3059197457290425
state__state8_k5,2005_2014,1,837,0.33253873659118
state__state8_k5,2005_2014,2,464,0.18434644417957885
state__state8_k5,2005_2014,3,314,0.12475168851807708
state__state8_k5,2005_2014,4,132,0.052443384982121574
state__state8_k5,2015_2019,0,442,0.35135135135135137
state__state8_k5,2015_2019,1,531,0.4220985691573927
state__state8_k5,2015_2019,2,136,0.10810810810810811
state__state8_k5,2015_2019,3,142,0.11287758346581876
state__state8_k5,2015_2019,4,7,0.005564387917329093
state__state8_k5,2020_2024,0,279,0.2637051039697543
state__state8_k5,2020_2024,1,333,0.31474480151228734
state__state8_k5,2020_2024,2,260,0.24574669187145556
state__state8_k5,2020_2024,3,147,0.1389413988657845
state__state8_k5,2020_2024,4,39,0.036862003780718335
