candidate,state,n_days,rv_20d_mean,rv_20d_median,rv_ratio_5_20_mean,rv_ratio_5_20_median,vix_close_mean,vix_close_median,spy_drawdown_20d_mean,spy_drawdown_20d_median,rv_ratio_20_60_mean,rv_ratio_20_60_median,vix_log_change_mean,vix_log_change_median,spy_log_hl_range_mean,spy_log_hl_range_median,spy_log_volume_change_mean,spy_log_volume_change_median
state__vol_level_x_acceleration_grid,0,927,0.08553060234881531,0.0870400007311712,0.6154578978797715,0.6406467642786903,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,1,909,0.08540258315737968,0.086784626065242,0.957868543653215,0.9586885784045096,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,2,946,0.08574863034970825,0.0872304369112093,1.300123127378685,1.2681473675631638,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,3,890,0.1374258439600039,0.13589259301707718,0.6047816307978953,0.6325199118068681,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,4,782,0.13974988130392088,0.14013012397165855,0.9555595132585885,0.9538912878541369,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,5,818,0.1400932225645552,0.13909312218485315,1.3150559162484576,1.2742470420065843,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,6,898,0.26864709039914614,0.2255204124581589,0.6427296073662009,0.6639950685649214,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,7,850,0.25657470276550687,0.22396477653544494,0.967125491734559,0.970147757916068,,,,,,,,,,,,
state__vol_level_x_acceleration_grid,8,755,0.25755117457141424,0.2215354210273024,1.307482163107098,1.2458081275093067,,,,,,,,,,,,
state__risk4_k2,0,1340,0.3009598669185364,0.2675420923864438,1.0569760900808491,1.0459742199974609,32.50934328358209,30.04,-0.06602411390995436,-0.06076982941748375,,,,,,,,
state__risk4_k2,1,6435,0.12971626803415737,0.1189153642455444,0.9327733199863066,0.929476380380402,16.994961926961928,16.27,-0.011929505455757966,-0.0066974991435422,,,,,,,,
state__state8_k2,0,1447,0.29147654579953086,0.2565853878594763,1.073221979746738,1.0648126743756623,31.49051140290256,29.03,-0.0634199247938118,-0.0572909908837062,1.1310230742782228,1.1209888111085058,0.020457295713380366,0.0106818483468602,0.026974596064020258,0.0233858912207973,0.06144606541796835,0.0531476227504725
state__state8_k2,1,6328,0.1289892295668016,0.11801906340524886,0.9269582917393634,0.9247727164776178,16.965602085967127,16.16,-0.01161031116790387,-0.0064834079730729,0.9386416459646691,0.9380661943179678,-0.004686846395433526,-0.00626797602820225,0.010007808494298543,0.00915762538854175,-0.01287344784926762,-0.0179538183329626
state__risk4_k3,0,3257,0.13344263162839842,0.1239472991765376,1.206484114336567,1.1637894368375683,18.137052502302733,17.58,-0.018753530542598113,-0.0145847162558715,,,,,,,,
state__risk4_k3,1,3539,0.13513707325812946,0.1221325668606309,0.7013635186998283,0.7252188207050744,16.887287369313366,15.92,-0.008907998737870012,-0.0042094125463821,,,,,,,,
state__risk4_k3,2,979,0.3321120051036034,0.292550687806921,1.0287027801300612,1.0153302274764726,34.81982635342186,31.97,-0.07419103548169287,-0.0694356887067115,,,,,,,,
state__state8_k3,0,4909,0.11357940762024604,0.1062711768401491,0.8939022565089801,0.8870553146790042,15.614477490323894,14.74,-0.00752389107997582,-0.0038314781855484,0.9006328677270269,0.8947835377751913,-0.0067579541141320814,-0.0071048256237444,0.008574436924346335,0.0078853944333562,-0.02863100687129837,-0.0259568237492473
state__state8_k3,1,2557,0.21029084896110667,0.202271351750544,1.0491896853931075,1.0436947404030408,24.499030113414157,23.98,-0.03688411063540607,-0.0341120235560384,1.083625887183131,1.0831171101209427,0.010323252763859998,0.0039973404326203,0.018202464379757498,0.0171060432945022,0.05066422391249591,0.0320236910684048
state__state8_k3,2,309,0.4619268403537345,0.3811341276451453,1.1255665762701013,1.076732938274279,44.10877022653722,41.43,-0.11000397424209293,-0.1043086965155922,1.24361353704134,1.281629961004975,0.021752693644150233,0.0088661336738309,0.04442084264046094,0.0388019559866626,0.059710261671800414,0.0665449702508844
state__risk4_k4,0,3053,0.12807524966349526,0.1193042869654522,0.6815702783808153,0.7039147469114814,16.295139207337044,15.56,-0.007513109259174624,-0.0036596503292808,,,,,,,,
state__risk4_k4,1,230,0.5110337063874595,0.4355422820923692,1.0817496094177559,1.0437538066392824,47.58234782608696,44.61,-0.12418129424463337,-0.1148075361429262,,,,,,,,
state__risk4_k4,2,2788,0.11503710305475504,0.10840634343880245,1.2048539335926667,1.163780648689707,16.248819942611192,15.745000000000001,-0.013230789810537357,-0.0086853016064115,,,,,,,,
state__risk4_k4,3,1704,0.23986823559989312,0.22396528450608977,1.0152435668433994,1.0026105279568163,27.54130868544601,26.675,-0.0451009495368764,-0.044316112496742055,,,,,,,,
state__state8_k4,0,2500,0.11633371117540255,0.10768843379629839,1.1530669195647807,1.134054479028559,16.101176000000002,15.47,-0.011313879201194704,-0.00642455726983615,0.9245966929233517,0.915799193976811,-0.027697746117794724,-0.0249023590597954,0.00925437112075008,0.008578387623017,-0.24105598252123855,-0.19150378477902658
state__state8_k4,1,2977,0.12223800634439394,0.1136791506718618,0.7155152883668847,0.717899141439972,16.111232784682567,15.15,-0.007375016205894716,-0.0038988036869974,0.9175055990137787,0.9146865900285208,0.006675595699390445,0.0037439205094651,0.008988103012905478,0.0081442595283346,0.15113108851071838,0.0929865589636165
state__state8_k4,2,285,0.47166044857269396,0.3862662902634036,1.1364535012218464,1.0885938882613009,44.90792982456141,42.28,-0.11357732135229444,-0.1066270593063772,1.2430350872586329,1.281629961004975,0.021194117414039225,0.0076461322813559,0.045578395552591945,0.0397122542296598,0.05889292506508484,0.0640485595110753
state__state8_k4,3,2013,0.22297583497350057,0.2134580911456306,1.034326236756993,1.025709863140758,25.787511177347245,25.24,-0.04104770114942975,-0.0390507890616392,1.0825354315468982,1.083893623662928,0.0214973354899942,0.012945164592037,0.019611673846385985,0.0185214677990227,0.07123075053789035,0.0522326541859872
state__risk4_k5,0,736,0.2648236316491878,0.2470674065982878,1.1665988257752398,1.1428946343303448,31.479035326086954,29.99,-0.07888981504437072,-0.07489257472715155,,,,,,,,
state__risk4_k5,1,2802,0.11156826297204134,0.10720010250006054,0.7013122130933453,0.7241276807685508,14.928486795146325,14.235,-0.006634814886031955,-0.00308168305598145,,,,,,,,
state__risk4_k5,2,2537,0.11665519608638326,0.1102793658332534,1.2381824677782896,1.2017887330367345,16.59703192747339,16.14,-0.01533210042118931,-0.0108824368668855,,,,,,,,
state__risk4_k5,3,89,0.7325893409355239,0.7539708904158497,0.990239568284686,0.9841266372160118,59.017078651685395,57.83,-0.15232276635383532,-0.1587670896103363,,,,,,,,
state__risk4_k5,4,1611,0.2292559012506291,0.2158265101847633,0.8477035851218084,0.8649319007874814,25.181700806952204,24.31,-0.02242753574784254,-0.0200808222696277,,,,,,,,
state__state8_k5,0,2329,0.10847738614439115,0.1015487446451608,1.150289979108414,1.1243131203558,15.628686131386864,14.77,-0.009522427421127138,-0.0047583771932445,0.8805829129900777,0.8725794344211841,-0.022291739451690527,-0.0192932029346786,0.008719839012264268,0.0080952535362662,-0.21081233892324291,-0.1619561163138136
state__state8_k5,1,2598,0.12220088692398512,0.1156256923169372,0.6712747273043792,0.6811751105021238,15.912082371054655,15.004999999999999,-0.006921948369453512,-0.00338070627884485,0.9332467422608064,0.9343943163832832,0.0011874486362220644,0.00062141677492005,0.008541566106622541,0.0078414694344967,0.09965835413151414,0.059290769701750096
state__state8_k5,2,1574,0.24156914241428015,0.22661191381279533,0.9559941334081364,0.9550088125279728,26.079243964421853,25.405,-0.03488136049758175,-0.0310940030755055,1.0982638238950508,1.091212505892809,-0.03241880877127947,-0.03007026192631795,0.018215112691943012,0.01702671323828095,-0.07083931532413056,-0.075433139798827
state__state8_k5,3,1023,0.16139878039636096,0.1545716890605968,1.180725667444721,1.1610615317016253,22.04006842619746,21.48,-0.03933778757756343,-0.03509160160267,1.0369146797812079,1.0470956343640136,0.09388770740253981,0.0798296016524848,0.01893625438086634,0.0176118783528691,0.3317381569299264,0.2986820197685418
state__state8_k5,4,251,0.4882385952441712,0.4044574659891761,1.1280081599983713,1.082436693106983,46.17760956175298,43.48,-0.11925062471894404,-0.1132531700824209,1.2407613831496542,1.281629961004975,0.014963716598549929,0.0071550560786617,0.04709076989340675,0.0413401867811751,0.046421353661595235,0.053753561748973
