fold,model,protocol,quantum_tasks_per_date,shots,shot_seed,fit_seconds,feature_seconds,cache_paths,test_rmse,test_qlike,test_mz_alpha,test_mz_beta,test_mz_r2,val_rmse,val_qlike,val_mz_alpha,val_mz_beta,val_mz_r2,q90_target_threshold,q95_target_threshold,q90_score_threshold,q90_threshold_source,q90_val_ap,q90_val_auc,q90_val_n_pos,q90_val_f1,q90_val_precision,q90_val_recall,q90_val_called_rate,q90_test_ap,q90_test_auc,q90_test_n_pos,q90_test_f1,q90_test_precision,q90_test_recall,q90_test_called_rate,q95_score_threshold,q95_threshold_source,q95_val_ap,q95_val_auc,q95_val_n_pos,q95_val_f1,q95_val_precision,q95_val_recall,q95_val_called_rate,q95_test_ap,q95_test_auc,q95_test_n_pos,q95_test_f1,q95_test_precision,q95_test_recall,q95_test_called_rate
1,rydberg_multi_lb,exact,2,,,0.08232950000092387,8.338443292013835,"[""scratch/canonical_cache/rydberg_5b6cc197f6ddf389.npz"", ""scratch/canonical_cache/rydberg_fe93bcd3da6ac645.npz""]",0.155865214953993,-1.7829318387896678,-0.22513002944521268,2.4820451322903065,0.3180980943296571,0.0448766948744772,-3.2028799129517753,0.09704569973245832,0.11140445285367419,0.015363519917383606,0.2795172269976487,0.3223546732774423,-1.5364271368080042,train_score_quantile_fallback,,,0,,,,,0.6164964132137635,0.8388963660834454,160,0.574468085106383,0.6639344262295082,0.50625,0.13510520487264674,-1.4651906669860382,train_score_quantile_fallback,,,0,,,,,0.5003353767274132,0.8522166559945761,139,0.46788990825688076,0.6455696202531646,0.3669064748201439,0.08748615725359911
2,rydberg_multi_lb,exact,2,,,0.06891016699955799,11.045147083001211,"[""scratch/canonical_cache/rydberg_4561c7641aa44efb.npz"", ""scratch/canonical_cache/rydberg_5c1880bcf5f14e4f.npz""]",0.07450896406616431,-2.209708628823694,0.0210990052321173,1.1015783673840847,0.2251604870565438,0.19281566407338746,-0.9215323626907704,-0.21327414711601417,2.7205413686402045,0.3945582734481822,0.24830342801938302,0.30498735042250935,-1.5368166503573717,validation_f1,0.7301704897983643,0.7702676446301064,119,0.6871794871794872,0.881578947368421,0.5630252100840336,0.16344086021505377,0.6717465185999713,0.8390220940247982,129,0.3026315789473684,1.0,0.17829457364341086,0.02547065337763012,-1.5368166503573717,validation_f1,0.664097998230472,0.9008704976975968,83,0.7421383647798742,0.7763157894736842,0.7108433734939759,0.16344086021505377,0.17659899985466693,0.7444023796646836,43,0.21212121212121213,0.30434782608695654,0.16279069767441862,0.02547065337763012
3,rydberg_multi_lb,exact,2,,,0.07152179098920897,12.446597625006689,"[""scratch/canonical_cache/rydberg_9f3c4e8010cbece5.npz"", ""scratch/canonical_cache/rydberg_8d6f350de5ad2bd2.npz""]",0.059987604292044326,-2.9954207409368068,0.08339668383344052,0.2624043384929621,0.037882499100994727,0.07854125743516722,-2.3704262734458803,-0.0035877540579057725,1.1803952157810675,0.31549081510918664,0.28046104648449466,0.34527098537914175,-1.8617009837779317,validation_f1,0.5860868026588326,0.8977821695213,69,0.5812807881773399,0.44029850746268656,0.855072463768116,0.28817204301075267,0.012965693506138872,0.39723605977824195,14,0.012461059190031152,0.006514657980456026,0.14285714285714285,0.3399778516057586,-1.8746148153682511,validation_f1,0.10110772001257845,0.7709137709137709,21,0.20481927710843373,0.11724137931034483,0.8095238095238095,0.3118279569892473,,,0,,,,
4,rydberg_multi_lb,exact,2,,,0.09672054200200364,14.722716541000409,"[""scratch/canonical_cache/rydberg_a76866a91ed15425.npz"", ""scratch/canonical_cache/rydberg_df32d6fd387d1e11.npz""]",0.12488281413020366,-2.273261971618002,0.0014537601012881711,0.985625121729979,0.22436820302845983,0.062256332919519965,-2.6596245655427886,0.12468070048549099,0.11325339209990934,0.005642137953547177,0.27692294950967533,0.32879681684688117,-2.2602815519269264,validation_f1,0.02421301179033794,0.3715552739942984,14,0.06334841628959276,0.03271028037383177,1.0,0.9204301075268817,0.5127318534680496,0.8550399572205223,82,0.20876288659793815,0.11671469740634005,0.9878048780487805,0.7685492801771872,-1.4266564680564087,train_score_quantile_fallback,,,0,,,,,0.45702869978110955,0.8047322877230935,43,0.328125,0.24705882352941178,0.4883720930232558,0.09413067552602436
5,rydberg_multi_lb,exact,2,,,0.10630554097588174,16.067018542002188,"[""scratch/canonical_cache/rydberg_de5be6edc3791279.npz"", ""scratch/canonical_cache/rydberg_93cc5dafbd037075.npz""]",0.059453635650989656,-2.3952075466854468,0.065969046431192,0.6735162318217963,0.25436639904880654,0.16491853484988314,-1.1626155661730486,0.03047564009743862,0.9558064706125251,0.1274083002043127,0.26477153686682015,0.31780524482703826,-1.4022547293753438,validation_f1,0.49768724246008444,0.7884563395512301,54,0.5494505494505495,0.6756756756756757,0.46296296296296297,0.07956989247311828,0.27046485422030075,0.8642416730231376,76,0.14414414414414414,0.22857142857142856,0.10526315789473684,0.03871681415929203,-1.1459397881543074,validation_f1,0.3484057428535149,0.6977413019079686,33,0.3829787234042553,0.6428571428571429,0.2727272727272727,0.030107526881720432,0.03064824999966999,0.7755979073243647,12,0.0,0.0,0.0,0.0022123893805309734
