event_id,event_date,origin_regime,destination_regime,relative_week,score,value,above_threshold
3,2004-12-10,1,0,-4,long_regime_uncertainty,0.6350398239874633,1
3,2004-12-10,1,0,-4,one_week_probability_motion,0.005306527802527494,0
3,2004-12-10,1,0,-3,long_regime_uncertainty,0.6795745032216025,1
3,2004-12-10,1,0,-3,one_week_probability_motion,0.022267339617069615,0
3,2004-12-10,1,0,-2,long_regime_uncertainty,0.7705200301121403,1
3,2004-12-10,1,0,-2,one_week_probability_motion,0.04547276344526885,0
3,2004-12-10,1,0,-1,long_regime_uncertainty,0.9752933976010696,1
3,2004-12-10,1,0,-1,one_week_probability_motion,0.10238668374446469,1
3,2004-12-10,1,0,0,long_regime_uncertainty,0.8828258598673131,1
3,2004-12-10,1,0,0,one_week_probability_motion,0.0709403712658086,0
3,2004-12-10,1,0,1,long_regime_uncertainty,0.6367410653285389,1
3,2004-12-10,1,0,1,one_week_probability_motion,0.1230423972693871,1
3,2004-12-10,1,0,2,long_regime_uncertainty,0.5075934697579831,0
3,2004-12-10,1,0,2,one_week_probability_motion,0.06457379778527789,0
4,2006-11-03,0,1,-8,long_regime_uncertainty,0.6280889848672344,1
4,2006-11-03,0,1,-8,one_week_probability_motion,0.014478320389799348,0
4,2006-11-03,0,1,-7,long_regime_uncertainty,0.6602620512725336,1
4,2006-11-03,0,1,-7,one_week_probability_motion,0.016086533202649578,0
4,2006-11-03,0,1,-6,long_regime_uncertainty,0.5604721436293509,1
4,2006-11-03,0,1,-6,one_week_probability_motion,0.04989495382159126,0
4,2006-11-03,0,1,-5,long_regime_uncertainty,0.5814793304350375,1
4,2006-11-03,0,1,-5,one_week_probability_motion,0.010503593402843125,0
4,2006-11-03,0,1,-4,long_regime_uncertainty,0.4498896415332898,0
4,2006-11-03,0,1,-4,one_week_probability_motion,0.06579484445087369,0
4,2006-11-03,0,1,-3,long_regime_uncertainty,0.3349448288613699,0
4,2006-11-03,0,1,-3,one_week_probability_motion,0.057472406335959986,0
