score,relative_week,n_events,mean,median,q25,q75,fraction_above_threshold
long_regime_uncertainty,-8,58,0.39526001410805567,0.37684836152582435,0.09751686269350282,0.6202100804836996,0.3103448275862069
long_regime_uncertainty,-7,58,0.4169624156161274,0.3605086240211162,0.1630944508379706,0.6577253034243477,0.3620689655172414
long_regime_uncertainty,-6,58,0.41730504908654786,0.38436676074656134,0.19394718754973056,0.6235215814828542,0.3275862068965517
long_regime_uncertainty,-5,58,0.4357089522436689,0.41672710773510613,0.22309561884291076,0.6399118226887666,0.3793103448275862
long_regime_uncertainty,-4,58,0.4376506098215315,0.44595653421782544,0.22519712387047686,0.6582674742103449,0.3793103448275862
long_regime_uncertainty,-3,58,0.479979531560749,0.4636872462011086,0.2972281484280065,0.6868543250911352,0.43103448275862066
long_regime_uncertainty,-2,58,0.543047862931574,0.5549777678478708,0.26783057449464653,0.7788667974175896,0.5344827586206896
long_regime_uncertainty,-1,58,0.6845465987525668,0.8162681947215481,0.48368046831647793,0.906119753226829,0.7413793103448276
long_regime_uncertainty,0,58,0.6371941919120325,0.8079671161951472,0.3838810119569118,0.8938595788346781,0.6896551724137931
long_regime_uncertainty,1,58,0.5521359969249272,0.6247536289469532,0.35687605910107156,0.6943681115518674,0.6724137931034483
long_regime_uncertainty,2,58,0.5187485392084442,0.551271117273948,0.35829117185551085,0.7306577592408804,0.5344827586206896
one_week_probability_motion,-8,58,0.05986144315772201,0.030072738774174435,0.013060043626992424,0.08307726592937692,0.27586206896551724
one_week_probability_motion,-7,58,0.0724629404077238,0.06175341671386326,0.01785992716453435,0.10418555550501006,0.3793103448275862
one_week_probability_motion,-6,58,0.10662938490536392,0.048696873844435676,0.01921923384976816,0.13314106284678792,0.39655172413793105
one_week_probability_motion,-5,58,0.07084793642267445,0.0602551188177399,0.012093053242670987,0.09840186349729958,0.3620689655172414
one_week_probability_motion,-4,58,0.09533134761862318,0.06427780823483836,0.03503287167710266,0.11923524206208051,0.43103448275862066
one_week_probability_motion,-3,58,0.0782881539813569,0.061641763627419924,0.022878709980826972,0.09831260424716834,0.41379310344827586
one_week_probability_motion,-2,58,0.09330460290733357,0.08818544306570039,0.037827481046278644,0.1322218530390991,0.5517241379310345
one_week_probability_motion,-1,58,0.11995507072804504,0.10140160496988379,0.04962106459710028,0.1702365387730765,0.603448275862069
one_week_probability_motion,0,58,0.33912960466770026,0.20631839310479944,0.1204190314158445,0.49637255502482613,0.9137931034482759
one_week_probability_motion,1,58,0.08149387012803447,0.07261570721799096,0.021505605697149113,0.13386525909842034,0.5
one_week_probability_motion,2,58,0.08101763390009334,0.06471687743607316,0.032344258251936264,0.11475267726017437,0.3793103448275862
