score,n_events,detected_events,episode_detection_rate,median_first_crossing_relative_week,mean_first_crossing_relative_week,warning_window_start,warning_window_end
long_regime_uncertainty,58,45,0.7758620689655172,-3.0,-2.888888888888889,-4,-1
one_week_probability_motion,58,50,0.8620689655172413,-3.5,-3.0,-4,-1
