feature,orientation,train_threshold_oriented,train_f1,test_average_precision,test_roc_auc,precision,recall,f1,false_positive_rate,tp,fp,fn,tn
long_regime_uncertainty,high,0.599783450023289,0.41721854304635764,0.33573948244320195,0.7482582404942654,0.32014388489208634,0.42995169082125606,0.3670103092783505,0.16071428571428573,89,189,118,987
one_week_probability_motion,high,0.07889327339810254,0.38685208596713017,0.287000873938169,0.7312185743862762,0.3333333333333333,0.5024154589371981,0.4007707129094413,0.17687074829931973,104,208,103,968
state_entropy,high,0.6916074893474635,0.3178694158075601,0.2075703631922245,0.6135553255118472,0.18625,0.7198067632850241,0.2959285004965243,0.5535714285714286,149,651,58,525
abs_return,high,0.05140679829726299,0.247741935483871,0.17428681606378632,0.5298440632291564,0.14918759231905465,0.9758454106280193,0.2588084561178732,0.9795918367346939,202,1152,5,24
realized_vol_4w,high,2.042856487546658,0.2668269230769231,0.17419686408580415,0.5311134115481941,0.15876288659793814,0.3719806763285024,0.22254335260115604,0.3469387755102041,77,408,130,768
realized_vol_13w,high,1.5294990338880807,0.2715886618325643,0.17278160742694254,0.5598565513161786,0.1772972972972973,0.7922705314009661,0.28975265017667845,0.6471088435374149,164,761,43,415
max_state_probability,low,-0.7155120125833461,0.3266787658802178,0.17132214362823828,0.5543272864701436,0.17135549872122763,0.6473429951690821,0.27098078867542974,0.5510204081632653,134,648,73,528
vol_change,high,-0.031227151962396203,0.2485966319165998,0.15883096844220937,0.48950014788524104,0.14796747967479676,0.4396135265700483,0.2214111922141119,0.445578231292517,91,524,116,652
return_reversal,low,-2.0,0.24757076468103084,0.14467137302335364,0.522638765651188,0.14967462039045554,1.0,0.26037735849056604,1.0,207,1176,0,0
