episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
1,581,581,596,1989-10-24,1989-10-24,1989-11-14,9,16,0.16986401788006536,0.0925827300667158,-0.060958070583029156,0.9995341772508708,-0.07962385996677945,-0.0013539369250059607,-0.05977795633175109
2,653,653,664,1990-02-06,1990-02-06,1990-02-22,12,12,0.13937355340650306,0.10467001503052169,-0.13209425821440424,0.44014028559266766,-0.027241288048548758,0.027657487877499776,-0.04978186576726262
3,783,783,805,1990-08-13,1990-08-13,1990-09-13,13,23,0.18591911573661993,0.10031330748937782,-0.11983616149795218,0.8170310576162846,-0.07264753877609267,0.00941796361088798,-0.0832742278299694
4,820,820,835,1990-10-04,1990-10-04,1990-10-25,8,16,0.14592107432425777,0.10731424251153138,-0.25266237565827976,0.8700875098822551,-0.037443084699531254,0.012130908903917437,-0.06541486076781311
5,841,841,846,1990-11-02,1990-11-02,1990-11-09,5,6,0.1542113283973232,0.1129284399894618,-0.29584552369806905,0.8751123837218983,0.026794863788289727,-0.00439451807916047,-0.06218197228521394
6,1113,1113,1121,1991-12-02,1991-12-02,1991-12-12,4,9,0.15537662325144852,0.11774428157831918,-0.06057221867687723,0.4628994588333067,-0.10317901798549176,-0.004067572412340681,-0.05729608076130788
7,1207,1207,1221,1992-04-15,1992-04-15,1992-05-06,7,15,0.12925453352867985,0.11840672141853202,-0.06081557781854097,0.7808942891194188,-0.027162974657536434,0.033766862470817394,-0.04719789559136789
8,1710,1710,1723,1994-04-12,1994-04-12,1994-05-02,5,14,0.17655683949901907,0.10964654269971617,-0.06769219418621808,0.49002931006766454,-0.23127551134202373,-0.004855049107256981,-0.07563634190637991
9,1882,1882,1886,1994-12-15,1994-12-15,1994-12-21,5,5,0.1271357699535799,0.10788446870128836,-0.07155779668193551,0.8702985263430509,-0.0175909127715497,0.02141337659290876,-0.04036139222057411
10,2291,2291,2301,1996-07-30,1996-07-30,1996-08-13,11,11,0.21185775621004055,0.10796636428638415,-0.14006746935081316,0.7677603644646124,-0.13369233199930236,0.005821594665024854,-0.08146050774347824
11,2466,2466,2480,1997-04-09,1997-04-09,1997-04-29,10,15,0.129371380941484,0.10645042604210482,-0.06453527586672048,0.8886891688379495,-0.01787495182376475,0.026121978468852447,-0.046269996544295644
12,2615,2615,2637,1997-11-07,1997-11-07,1997-12-10,12,23,0.2939661543971084,0.10675464569862647,-0.06446551019969471,0.6972352961500805,-0.34279177890793733,0.00451364067700144,-0.07720255977831059
13,2644,2644,2672,1997-12-19,1997-12-19,1998-02-02,18,29,0.139481081781013,0.10787653233941026,-0.0971174308376862,1.0545300687111094,-0.018297572863061856,-0.006170954479406632,-0.04931515320650348
14,2757,2757,2783,1998-06-04,1998-06-04,1998-07-13,20,27,0.11799796229399144,0.10953875090334485,-0.0807268879347185,0.8927357553617186,-0.07188224597722775,-0.008969262927957189,-0.04473561622397604
15,2809,2809,2838,1998-08-18,1998-08-18,1998-09-29,17,30,0.2487705971857941,0.11101443933914608,-0.16304104515577622,0.856672894512764,-0.12167732150232177,0.02633513855567493,-0.06670108366857885
16,2850,2850,2865,1998-10-15,1998-10-15,1998-11-05,16,16,0.3510794084557461,0.11280451486936609,-0.31032422856672015,0.8387151016914599,0.032234595427892476,0.07608809112484849,-0.12076128289677612
17,2937,2937,2949,1999-02-22,1999-02-22,1999-03-10,12,13,0.18152085553744748,0.11570391119871365,-0.08152286842287537,1.0265661590932786,-0.07925732332699653,-0.0015572806000498929,-0.0627685618749858
18,2963,2963,2970,1999-03-30,1999-03-30,1999-04-09,8,8,0.15549938229526802,0.11627582883268385,-0.07930644379285667,1.0375797446321455,-0.007969445452116308,0.03940930609003157,-0.04038681102406105
19,3056,3056,3063,1999-08-11,1999-08-11,1999-08-20,7,8,0.13568464593131707,0.11846251321837163,-0.08074280807213396,0.9256761952692262,-0.021859045429629714,-0.003520268471162602,-0.04092405086538076
20,3091,3091,3114,1999-09-30,1999-09-30,1999-11-02,15,24,0.1615292372183439,0.11922394914399956,-0.08265349935594679,1.0197978636003564,-0.019409315190282272,0.016731756330914394,-0.04077883743565369
21,3215,3215,3215,2000-03-28,2000-03-28,2000-03-28,1,1,0.3262931748055506,0.12256088323955344,-0.07756785743750516,1.0128293150541017,-0.11958707162712934,0.011242844380888073,-0.07189712299316575
22,3235,3235,3251,2000-04-26,2000-04-26,2000-05-18,11,17,0.5128421638467489,0.12326097458899407,-0.20099001732530308,0.8177711121444684,-0.36475994394749783,-0.003813140357587841,-0.17961063586725246
23,3259,3259,3276,2000-05-31,2000-05-31,2000-06-23,15,18,0.3333762068572424,0.12383534203237975,-0.21428925006187605,0.962513439796353,0.22985436159185718,0.03672393769515825,-0.09742514649900791
24,3305,3305,3319,2000-08-04,2000-08-04,2000-08-24,15,15,0.21534626213528327,0.12562148115433613,-0.168995957429255,0.7604890912021277,-0.02213533969613382,0.026987601548739804,-0.0641534157835455
25,3359,3359,3372,2000-10-20,2000-10-20,2000-11-08,11,14,0.2899294024740893,0.12641658352213933,-0.1058916321215011,1.1490104469717484,-0.05397087605928025,0.014589447072785866,-0.08227163400699489
