episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
1,581,1989-10-24,61,relapse,True,0.037221494542236236,-0.04737281123557339
2,653,1990-02-06,21,recovery,True,0.030540264042942047,-0.038869426963744416
3,783,1990-08-13,6,relapse,True,0.04073957179426941,-0.05185036410179742
4,820,1990-10-04,5,relapse,True,0.03197499116847994,-0.0406954433053381
5,841,1990-11-02,8,recovery,True,0.03379159512372272,-0.043007484702919825
6,1113,1991-12-02,18,recovery,True,0.034046940644182185,-0.04333246991077732
7,1207,1992-04-15,8,relapse,True,0.02832293133260246,-0.036047367150584944
8,1710,1994-04-12,51,relapse,True,0.03868806071952952,-0.04923935000667393
9,1882,1994-12-15,10,recovery,True,0.027858656745017026,-0.035456472220930756
10,2291,1996-07-30,13,recovery,True,0.04642338274413249,-0.059084305310714076
11,2466,1997-04-09,18,recovery,True,0.028348535550566004,-0.036079954337084004
12,2615,1997-11-07,80,recovery,True,0.06441540561709651,-0.08198324351266827
13,2644,1997-12-19,6,recovery,True,0.03056382622435579,-0.038899415194634634
14,2757,1998-06-04,7,relapse,True,0.02585633240243893,-0.032908059421285905
15,2809,1998-08-18,6,relapse,True,0.054511918068238276,-0.06937880481412143
16,2850,1998-10-15,5,recovery,True,0.07693036140799221,-0.09791136906471735
17,2937,1999-02-22,35,recovery,True,0.03977580195035567,-0.050623747936816295
18,2963,1999-03-30,9,recovery,True,0.03407384024974058,-0.043366705772397096
19,3056,1999-08-11,21,recovery,True,0.02973193128849491,-0.03784063982172079
20,3091,1999-09-30,27,recovery,True,0.035395133687343205,-0.04504835196570953
21,3215,2000-03-28,5,relapse,True,0.07149907188565946,-0.09099881876356657
22,3235,2000-04-26,53,recovery,True,0.11237666482214168,-0.1430248461372712
23,3259,2000-05-31,2,recovery,True,0.07305114301964545,-0.09297418202500328
24,3305,2000-08-04,17,recovery,True,0.04718780245984098,-0.06005720313070669
25,3359,2000-10-20,28,relapse,True,0.06353085136278054,-0.0808574471889934
26,3395,2000-12-12,76,relapse,True,0.07759565294433134,-0.09875810374733077
27,3451,2001-03-06,6,relapse,True,0.04275313738956759,-0.05441308395035875
28,3478,2001-04-12,12,recovery,True,0.07272606627091988,-0.09256044798117073
29,3547,2001-07-23,33,relapse,True,0.05095051816605809,-0.06484611402952847
30,3592,2001-10-01,8,recovery,True,0.0718413511890118,-0.0914344469678332
31,3687,2002-02-15,12,recovery,True,0.039986900861534246,-0.0508924192783163
32,3778,2002-06-27,3,relapse,True,0.042751508375239125,-0.05441101065939524
33,3800,2002-07-30,38,relapse,True,0.0805126063326273,-0.10247058987788928
34,3830,2002-09-11,8,relapse,True,0.06692741564513684,-0.08518034718471959
35,3856,2002-10-17,14,recovery,True,0.08249689009084357,-0.10499604193380091
36,3878,2002-11-18,5,recovery,True,0.054805140445870974,-0.0697519969311085
37,3932,2003-02-06,23,relapse,True,0.03909470407751563,-0.049756896098656245
