model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
esn_direct_tuned,Transition,1,310,310,0.5057071164181511,0.8277896855588746,-0.32139348439556836,0.8993564438790698,0.184809109564406,selection
esn_direct_tuned,Transition,2,310,310,0.4693509875266701,0.7278531439901414,-1.069240281112797,0.760509977866241,0.14512565436647873,selection
esn_direct_tuned,Transition,3,310,310,0.4972618816848018,0.9319263911011298,0.24339277375762808,1.0236191725532453,0.22317849232003117,selection
esn_direct_tuned,Transition,4,310,310,0.507287676197438,1.0834234659476047,-1.1975586949932302,0.7220194869347453,0.11691640424271832,selection
esn_direct_tuned,Transition,5,310,310,0.5930042742036231,1.6060231972175134,-0.994172096773085,0.7307142431343184,0.09331216681953525,selection
esn_direct_tuned,Transition,6,310,310,0.5634316925688576,1.4891744938259133,-1.2274967643885788,0.6926395387142874,0.10495827143642356,selection
esn_direct_tuned,Transition,7,310,310,0.6119274164800943,1.7346044443713815,-0.9782220330051137,0.7388072831999084,0.08909332304009254,selection
esn_direct_tuned,Transition,8,310,310,0.6192813883407918,1.763992811991955,-0.5726054155921744,0.813307223059799,0.11306395928736757,selection
esn_direct_tuned,Transition,9,310,310,0.5945554228693909,1.8502911980422596,-0.7825167217094501,0.7769338190657753,0.1144444499466385,selection
esn_direct_tuned,Transition,10,310,310,0.6320233659922527,1.8293442549163985,-0.7388071522022566,0.7395062245603942,0.15787505063619023,selection
esn_direct_tuned,L1,1,105,105,0.6988344822472499,1.9394610810580044,-0.2718100541350518,0.807741298510461,0.33007000978897727,selection
esn_direct_tuned,L1,2,105,105,0.5752292028905531,1.4654494435453855,-0.8214106162119695,0.7542389694639747,0.12651613050927268,selection
esn_direct_tuned,L1,3,105,105,0.6572756012647456,2.079362804550265,0.2921700654857538,0.9699470258029699,0.16967317720270791,selection
esn_direct_tuned,L1,4,105,105,0.7172605254510165,2.7610104826355624,0.0058259343590343,0.8905160375444469,0.14546163248182764,selection
esn_direct_tuned,L1,5,105,105,0.6726490452875926,2.8831760659556904,-0.5603913038125505,0.7920669590969674,0.09383179637559547,selection
esn_direct_tuned,L1,6,105,105,0.6869690178805279,2.7881205701656953,0.7845647254929262,1.060187635812902,0.21888901802415717,selection
esn_direct_tuned,L1,7,105,105,0.7459750902574426,3.129143838966018,-0.3837896304547704,0.803102247896303,0.10554912784981796,selection
esn_direct_tuned,L1,8,105,105,0.7369696200260343,2.5993823497789674,-0.12809827939875454,0.8491920420342148,0.1457613433831908,selection
esn_direct_tuned,L1,9,105,105,0.6661166234772546,2.242059567575742,1.7662307307050678,1.2693734024315906,0.2961786625864188,selection
