fold,split,model,variant,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,val,lstm,early_stop,465,0.2415633568411673,-0.057386576835267045,0.02890773595776822,-3.2910907311947346,0.0622774654488541,0.39657057240269916,0.18385970239776095
1,test,lstm,early_stop,903,0.3368274830343053,0.21468012502507294,0.10138132765140916,-2.3904957089022014,0.005135802707851684,1.048493852578215,0.6589910451093233
1,val,lstm,early_stop_standardized,465,0.24149858359842222,-0.05681959369885892,0.028891338513374287,-3.2910128605952997,0.061953003589370156,0.39894639537429505,0.18653730317210526
1,test,lstm,early_stop_standardized,903,0.3360334320021027,0.21837845165985337,0.1007768753092842,-2.393406548220801,0.0023615381213663296,1.0655439852925546,0.6646413347088675
2,val,lstm,early_stop,465,0.377547633916348,0.22447898550617162,0.1336080431561153,-1.6475161979764814,0.027902673092524023,1.0573969916313102,0.5871703400107883
2,test,lstm,early_stop,903,0.34852207162916227,0.258737769089853,0.06387932712855825,-2.419151586918356,0.04648448186369829,0.7609429205346381,0.319795671383896
2,val,lstm,early_stop_standardized,465,0.37869634648846673,0.21975266281721395,0.1331618490541263,-1.659072510822122,0.04392803558569974,0.9621381925594265,0.579655653409139
2,test,lstm,early_stop_standardized,903,0.352702626920387,0.2408480931036464,0.06478466156885859,-2.4101275193866627,0.052083766670146206,0.7191619769650704,0.3110000082833436
3,val,lstm,early_stop,465,0.3817590812757463,0.18458120951505952,0.07460575542243282,-2.406522098341519,0.04195592996966325,0.7908808597331239,0.3556175051908961
3,test,lstm,early_stop,903,0.37557071394753244,0.40057870587980215,0.04828173594255724,-2.9557942042027445,0.06477271270584098,0.4833026561737268,0.1314585222116934
3,val,lstm,early_stop_standardized,465,0.376787658717113,0.20568036080950058,0.07359656390187254,-2.418565970035234,0.039145982539724775,0.8192739842448081,0.3720883270522639
3,test,lstm,early_stop_standardized,903,0.3751167319616112,0.40202696576285324,0.047969685119315444,-2.950467339127254,0.06360657331772317,0.49904603731874037,0.1337288832040081
4,val,lstm,early_stop,465,0.3823672904456465,0.37867074364432474,0.055530919193599496,-2.633484498214668,0.08473966674142654,0.4146689288254014,0.08265802505829933
4,test,lstm,early_stop,903,0.49088925348613366,0.16116510785175153,0.11604879461791837,-2.29777172021588,0.03801344846639891,0.7699131829647907,0.36420336780204887
4,val,lstm,early_stop_standardized,465,0.3839088166021693,0.37365082684754336,0.0554129232195448,-2.6327166926811323,0.08523631122344483,0.4118715113852432,0.07369376325991772
4,test,lstm,early_stop_standardized,903,0.4943978214688532,0.14913132641391258,0.11739368610973808,-2.2745192882778595,0.03877025849978148,0.7636463249502404,0.3494449387743853
5,val,lstm,early_stop,465,0.574072657203931,0.06531638827707997,0.15219715748762022,-1.0352289042398162,0.04627837560948109,0.8999899679729672,0.2783653293350048
5,test,lstm,early_stop,904,0.274258730929907,0.3005483333757797,0.04643731439577936,-2.610343812523125,0.03200476151212185,0.8475720201081693,0.48244137995773584
5,val,lstm,early_stop_standardized,465,0.5732619636593629,0.06795440605047032,0.15169923805597016,-0.9669144628708528,0.039702485589521073,0.9508331020890445,0.28175625769703505
5,test,lstm,early_stop_standardized,904,0.2728922398720538,0.30750098955587213,0.04632034457289895,-2.6117269180151426,0.030833835752460702,0.856874561252977,0.484451661629795
