model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
har,Transition,path,75,750,0.5925492878517616,1.748714867278803,-0.6020224466723065,0.8151842134345101,0.15267412698667682,4
har,L1,path,25,250,0.7622497527619733,3.241733744738031,-1.2072855078292601,0.6301953842659491,0.08403247354756482,4
har,L5,path,25,250,0.5749669740474447,1.6432512229935337,-0.6584848405248085,0.8020520984736927,0.15590449633053038,4
har,L10,path,25,250,0.37647346356672357,0.36115963410484386,-0.2796600681038702,0.9417889124107244,0.35453062468035346,4
har,Controls,path,225,2250,0.4285786955167831,0.4549887209744672,1.6911654540591434,1.3691968740970277,0.5091564425928911,4
har,Pooled,path,300,3000,0.4749088737026906,0.7784202575505512,1.1322583168220637,1.233114586189382,0.3788570490742579,4
persistence,Transition,path,75,750,0.7167509586211468,2.9077118755887454,-2.9803375698741608,0.310371627622636,0.05270739106102185,4
persistence,L1,path,25,250,0.8365067070829588,4.352014872420501,-1.8956141448429513,0.4771650688991696,0.11093763216659058,4
persistence,L5,path,25,250,0.7575444806426248,3.5048825988991883,-3.9391547872231953,0.11138012748993914,0.006062075296435765,4
persistence,L10,path,25,250,0.5172800971486525,0.8662381554465467,-2.860371307680383,0.39708899889695964,0.16762603692414824,4
persistence,Controls,path,225,2250,0.5195745252090446,0.7927136270777949,-1.4587944725451236,0.6912730322904331,0.26620968656102195,4
persistence,Pooled,path,300,3000,0.5752401668918264,1.3214631892055326,-1.8453121662355418,0.5944312232301742,0.18644752931486996,4
sequence_ridge,Transition,path,75,750,0.5908163126189503,1.6936199702319195,-0.029575764081953726,0.9337882506096763,0.1670412539792654,4
sequence_ridge,L1,path,25,250,0.7710867132154658,3.2820758454437327,-0.7357545791797196,0.7263557151226194,0.09988672106098395,4
sequence_ridge,L5,path,25,250,0.5588621775491629,1.4479162973326616,0.33632333535318676,1.0106911202039572,0.20801512252280518,4
sequence_ridge,L10,path,25,250,0.37455319111914853,0.3508677679193638,0.34669919100780544,1.072139674233737,0.3614041176919657,4
sequence_ridge,Controls,path,225,2250,0.44117501729438513,0.49141869488254086,2.5613695017471825,1.5562398861732207,0.5084159172466696,4
sequence_ridge,Pooled,path,300,3000,0.4829518875909784,0.7919690137198856,1.7844058920586074,1.3721893547795236,0.3700811584691521,4
har,Transition,path,85,850,0.594346128793838,1.672963757645021,0.5600477995561182,1.0565988048863841,0.2223562391026651,5
har,L1,path,29,290,0.7179014559866257,2.7563081098868514,0.5422780081341791,0.994212245240516,0.25635707674219266,5
har,L5,path,28,280,0.5920995579000017,1.7854986488499949,1.300843248919551,1.2095527253617842,0.26671102988703477,5
har,L10,path,28,280,0.4335747148203959,0.438393644475294,0.20832826725809558,1.0450125494851343,0.30694120037448236,5
har,Controls,path,255,2550,0.4636895787741563,0.599224321846147,0.7639579905686478,1.1804032946695975,0.3184544052590893,5
har,Pooled,path,340,3400,0.49956766238505795,0.8676591807958656,0.7765091352186393,1.1625703924076438,0.2697601346111417,5
persistence,Transition,path,85,850,0.7143200968069039,2.9598166011328035,-2.7829474842986253,0.3660247459209473,0.08984760145090487,5
persistence,L1,path,29,290,0.7724244113009442,3.3625852258655495,-1.845857336135117,0.5021514060662146,0.21127467588887094,5
persistence,L5,path,28,280,0.7461002907612374,4.480317925605418,-2.6159481544448746,0.3929936129094063,0.08131215851081308,5
persistence,L10,path,28,280,0.611857224451631,1.0221620581869886,-3.298765431007451,0.3244533899889508,0.11228951701110024,5
persistence,Controls,path,255,2550,0.5425752650967371,0.9892149892476662,-2.475667649487531,0.5113208001361393,0.19844527397558043,5
persistence,Pooled,path,340,3400,0.5902154173661105,1.4818653922189504,-2.528080197035563,0.48008776473994924,0.15329865707219015,5
sequence_ridge,Transition,path,85,850,0.5979364714299448,1.6989376481786547,0.7278385843257067,1.0927833683403136,0.1992290506915555,5
sequence_ridge,L1,path,29,290,0.7197955080212088,2.7633807107696566,0.42112579429077696,0.9712892829213257,0.20227838665341946,5
sequence_ridge,L5,path,28,280,0.5993141883468812,1.8694059014983566,1.2453247749110246,1.1989729946281427,0.23604023560861487,5
sequence_ridge,L10,path,28,280,0.4353918802581131,0.4260105086039862,0.833254176170463,1.1758286223865926,0.30829943379172353,5
sequence_ridge,Controls,path,255,2550,0.4672959994685268,0.6075318543514939,1.0708270936660222,1.2417867161979146,0.3062718055507877,5
sequence_ridge,Pooled,path,340,3400,0.5031462702892573,0.8803833028082841,1.1413665047775143,1.2367902653936589,0.26332149624381573,5
har,Transition,path,150,1500,0.5472237594069731,1.2022677721454307,-1.690129348464646,0.5950740061731863,0.09007591127751868,6
har,L1,path,51,510,0.6487237433445671,2.01861822459028,0.07508498248418495,0.9162818083691593,0.17366629154329316,6
har,L5,path,51,510,0.5129636504726274,1.1069648390698343,-0.847769310202778,0.776191924363432,0.15007063178341196,6
har,L10,path,48,480,0.4572424624123658,0.43615478281559916,-2.1846302502479835,0.5477550537043572,0.13467144563385225,6
har,Controls,path,450,4500,0.4568436715361245,0.6160206210599503,0.17021308759136566,1.0394222593599132,0.2604700920131974,6
har,Pooled,path,600,6000,0.4810333313626302,0.7625824088313203,-0.4527800151146967,0.892868198838179,0.19431837647735395,6
