model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
persistence,Transition,1,310,310,0.6213924659827513,1.5271854155682307,-2.79220376714669,0.3736892783363468,0.10228658386367262,selection
persistence,Transition,2,310,310,0.552470593000014,1.0557594707864453,-2.7472361742186675,0.40268974353392967,0.1355965517559914,selection
persistence,Transition,3,310,310,0.6258904637864426,1.6729902696445842,-2.9761024524996684,0.345560994743798,0.08349617871172399,selection
persistence,Transition,4,310,310,0.6145809131251272,1.5018503153350253,-3.1189369049119593,0.3150056709990452,0.07670174036271016,selection
persistence,Transition,5,310,310,0.7524022060020855,2.73608374800606,-3.240407544349715,0.2453134777519316,0.041057267976648215,selection
persistence,Transition,6,310,310,0.6891299796655798,2.3081479501277595,-2.8727432194203546,0.334526054798838,0.07863386035793385,selection
persistence,Transition,7,310,310,0.7723302572469801,3.3746670671506354,-3.474885228356238,0.20267068338509778,0.025138682035707127,selection
persistence,Transition,8,310,310,0.7590744105584728,3.1451920474350104,-2.847102910055247,0.32176518203524584,0.06598485818745237,selection
persistence,Transition,9,310,310,0.7387046759510741,3.686847175795385,-3.0572895240253377,0.2871392746345425,0.05425644786218575,selection
persistence,Transition,10,310,310,0.8531139672940722,4.857595303078029,-2.823356978093201,0.2784906006995005,0.07681019839511605,selection
persistence,L1,1,105,105,0.7762468334164923,2.913768416970482,-1.8740348597515508,0.46623224855655515,0.29760800273695565,selection
persistence,L1,2,105,105,0.6148757326387023,1.611070862976562,-1.8363735583506469,0.5369074860271741,0.18051318390905213,selection
persistence,L1,3,105,105,0.7340174680868523,2.7399902239812435,-2.4634819377478956,0.3920923926810388,0.07714485996348874,selection
persistence,L1,4,105,105,0.7507425544059806,3.182186422359825,-1.3383039432129067,0.6046347743174625,0.19521688905497003,selection
persistence,L1,5,105,105,0.7544124763228148,3.3131564213350195,-1.6513981650595682,0.5475072399502262,0.14410487636973823,selection
persistence,L1,6,105,105,0.7625391068212826,3.1088868592315815,-0.8047358091254831,0.7084985454505257,0.2591077772441521,selection
persistence,L1,7,105,105,0.8646546222045624,4.968985713778284,-2.4770312333755307,0.35183761295335536,0.06278640818503212,selection
persistence,L1,8,105,105,0.8320483154277811,3.6840268622450205,-1.552977044972809,0.5358052630474555,0.17758830016792493,selection
persistence,L1,9,105,105,0.7571264760091936,3.1392256511409045,-0.9857917591909297,0.6733462919090897,0.23787914180052672,selection
persistence,L1,10,105,105,0.8502174897420066,3.838093159615433,-2.556605143921854,0.3313322319018561,0.06908283553162942,selection
persistence,L5,1,104,104,0.4501410898322267,0.5311111001976664,-2.7811360698211716,0.4219725745757883,0.19101842377549272,selection
persistence,L5,2,104,104,0.4662240356830695,0.5801070138774913,-2.8041388289685245,0.41899124910296154,0.17412870438419426,selection
persistence,L5,3,104,104,0.45044861222914345,0.5489070738304015,-2.60515739620464,0.4575623978541785,0.20856054957454506,selection
persistence,L5,4,104,104,0.4567159934063256,0.5309934073016301,-3.17592061092119,0.3363293993473662,0.14443785798847408,selection
persistence,L5,5,104,104,0.8620784510637978,3.878701800033739,-2.681346926502267,0.2949172419639243,0.15162527250707336,selection
persistence,L5,6,104,104,0.7257043622930266,3.034351348546697,-3.2608000366654752,0.23663620282547634,0.046361964760059715,selection
persistence,L5,7,104,104,0.8105277841695745,4.237786762260353,-3.203121330925652,0.2356636191372966,0.0350858382699597,selection
persistence,L5,8,104,104,0.8456431646704934,4.893040797066467,-2.587701945160063,0.33986845786132913,0.08030684154753187,selection
persistence,L5,9,104,104,0.8728987821145835,7.057367602344159,-3.430002285860541,0.17579783457749407,0.018737678809901848,selection
persistence,L5,10,104,104,0.8768717173394298,6.426583040915072,-2.590353115742544,0.33402238884583063,0.07246242497273636,selection
persistence,L10,1,101,101,0.5916744702426083,1.1113489170662731,-3.429469408842834,0.2947708955967939,0.11029574611695148,selection
persistence,L10,2,101,101,0.5656490389156038,0.9682362959207911,-3.28296821611936,0.31863092359897843,0.1368427556487013,selection
persistence,L10,3,101,101,0.6582678058519207,1.7212046969646415,-3.6206901691465774,0.235810270992799,0.05734164962826571,selection
persistence,L10,4,101,101,0.598820528400876,0.7546604856109578,-4.107630281622805,0.1571408467960793,0.0465018110929486,selection
persistence,L10,5,101,101,0.6169524486040334,0.9595995092890354,-4.019838295838697,0.17960028418525334,0.050435860817138356,selection
persistence,L10,6,101,101,0.5575214965410917,0.7279228125884449,-3.528965565388218,0.2741253739290391,0.12315661520841703,selection
persistence,L10,7,101,101,0.6140991828586222,0.8284501742069349,-3.9704213814031837,0.18368832952969844,0.05158519834485331,selection
persistence,L10,8,101,101,0.5589636828847684,0.785252190833795,-3.421410466690967,0.29570634534418827,0.13231523569785653,selection
persistence,L10,9,101,101,0.5425365377717485,0.7855217869602159,-3.6425209298780903,0.24696627705439728,0.1207639967672498,selection
persistence,L10,10,101,101,0.8310301550705602,4.301882435043575,-3.1547531870552548,0.20369661586069157,0.11680053987220484,selection
persistence,Controls,1,930,930,0.5322626116335023,1.2575163794688462,-1.808144922580258,0.6196934541339771,0.25191146137859544,selection
persistence,Controls,2,930,930,0.5011644407182463,0.7452139847070676,-1.641581708855361,0.6565325887322013,0.2968157358018393,selection
persistence,Controls,3,930,930,0.541129638621877,1.0837759381363266,-2.016300306782393,0.5725471645029128,0.22274707918357683,selection
persistence,Controls,4,930,930,0.5363521843285215,0.9098439391674709,-2.018702684250529,0.5724218700910324,0.2262314850404472,selection
persistence,Controls,5,930,930,0.5387840355166411,0.8741358208648167,-2.0993685543518343,0.5532078225610952,0.21558703217591735,selection
persistence,Controls,6,930,930,0.5473010335798054,0.8554449877039343,-1.9382007233710041,0.5927049491158267,0.22750789302145624,selection
persistence,Controls,7,930,930,0.5661363583463258,1.0475778731202645,-2.1802993667521657,0.5360897426481196,0.1887928470573943,selection
persistence,Controls,8,930,930,0.5584599645945157,0.9765591367073975,-2.1725574878181635,0.5382997929619188,0.19470749091950912,selection
persistence,Controls,9,930,930,0.5398011728583378,0.8602166062349852,-2.0137770256324172,0.5733147599112701,0.22407362258686503,selection
persistence,Controls,10,930,930,0.5523641452492809,0.9440706734816423,-2.1162790257579163,0.5508967039722564,0.20457419484949035,selection
persistence,Pooled,1,1240,1240,0.5558864677271956,1.3249336384936923,-2.084250352824881,0.5513443752932986,0.20183046395868875,selection
persistence,Pooled,2,1240,1240,0.5144708801407241,0.8228503562269118,-1.9279945041832798,0.5904130745970344,0.2502854655219682,selection
persistence,Pooled,3,1240,1240,0.5635163551406334,1.231079521013391,-2.271927507598038,0.5120128901275202,0.17875316013587317,selection
persistence,Pooled,4,1240,1240,0.5569404581460311,1.0578455332093595,-2.308796286518569,0.5043466711125664,0.1794398702442267,selection
persistence,Pooled,5,1240,1240,0.5993692080803776,1.3396228026501276,-2.44342165008731,0.4632387536563657,0.1421113914480917,selection
persistence,Pooled,6,1240,1240,0.5859853652068566,1.2186207283098907,-2.2263275764671895,0.5161762013256666,0.16899289046156407,selection
persistence,Pooled,7,1240,1240,0.6241043893020031,1.6293501716278571,-2.5538609619358845,0.441541546638038,0.12087369952883709,selection
persistence,Pooled,8,1240,1240,0.614781781799326,1.5187173643893006,-2.412381799526073,0.46877894897917743,0.13718439448724118,selection
persistence,Pooled,9,1240,1240,0.5957853046462485,1.5668742486250853,-2.3332756147762517,0.48885996351807337,0.1537474411387041,selection
persistence,Pooled,10,1240,1240,0.6409215802387873,1.9224518308807388,-2.415616831049346,0.4565257681354143,0.12625734299356706,selection
har,Transition,1,310,310,0.5124714478136602,0.8837914685607071,-0.8460414818180779,0.7870768386287678,0.1841789758508665,selection
har,Transition,2,310,310,0.474000284215354,0.7597344987629062,-1.4298572982565116,0.6831918758065341,0.15224095737499865,selection
har,Transition,3,310,310,0.5055087950288225,1.0039839741888137,-0.5118404370317656,0.8631631923762106,0.21164094162415303,selection
har,Transition,4,310,310,0.5169179762100694,1.1546128888424962,-1.6730311226024395,0.6209939278981654,0.11451001408991246,selection
har,Transition,5,310,310,0.60197118965321,1.7174523544748228,-1.458627264603462,0.6305764094195403,0.09238316149449721,selection
har,Transition,6,310,310,0.5718687771262557,1.5313014719782334,-1.5287739940237857,0.6270060101851985,0.10779251043063942,selection
har,Transition,7,310,310,0.6195842718989361,1.8234267892229714,-1.3404325233340249,0.6602951410025897,0.08950355925174269,selection
har,Transition,8,310,310,0.6318108849537153,1.8989077909552554,-1.153375919178723,0.6879875793894005,0.10432301378134556,selection
har,Transition,9,310,310,0.6071520984614162,1.9678904244522426,-1.3996891111736565,0.6446187265733694,0.10441191534161431,selection
har,Transition,10,310,310,0.644879354844929,1.8942435084825715,-1.047972812209438,0.6707279145737304,0.16375939146488072,selection
har,L1,1,105,105,0.7147875005020696,2.078520304059986,-0.5952274307231499,0.7373792744294934,0.33827294092583626,selection
har,L1,2,105,105,0.5850339595326067,1.5477724637998942,-1.0414615272785717,0.7058105425810824,0.1369864445106609,selection
har,L1,3,105,105,0.6714462351454854,2.257913834654509,-0.258456601439322,0.8517505337840192,0.16485301915002537,selection
har,L1,4,105,105,0.7290534464186511,2.942364132370305,-0.46223609557224254,0.7903251759492914,0.14489801018926074,selection
har,L1,5,105,105,0.68317012498614,3.133387330375189,-0.9855338793969356,0.6998914860555658,0.09227279628702578,selection
har,L1,6,105,105,0.6951078046076592,2.8246634039691307,0.5681827975356167,1.0109158975922126,0.2356565715829646,selection
har,L1,7,105,105,0.7574943696295737,3.255901722691352,-0.6824971905736531,0.7375959129278985,0.10582509073591517,selection
har,L1,8,105,105,0.7531331098145637,2.756205014264638,-0.6097855752343875,0.7445023942673743,0.13713055744910663,selection
har,L1,9,105,105,0.6757991308784206,2.398373102614866,1.0670797526534375,1.1181857085383136,0.28742724216602444,selection
har,L1,10,105,105,0.6839362434546787,1.9406899539881102,-0.7234630539261203,0.7347610018962947,0.14398383211986898,selection
har,L5,1,104,104,0.3672668230363333,0.26154068134380243,-1.1513641880178433,0.7722569885053584,0.2671041135121327,selection
har,L5,2,104,104,0.38672954563706574,0.2792671484960837,-1.1043625749236825,0.7830979307764213,0.24365237106028148,selection
har,L5,3,104,104,0.3354144806513436,0.23070452735823452,-0.09248136502446787,0.9893069410486912,0.4044460238232692,selection
har,L5,4,104,104,0.32093218952958474,0.19209605998846144,-1.0177833850264397,0.79436396683658,0.32049996613861365,selection
har,L5,5,104,104,0.655881841164254,1.6736333827559748,-0.9430043757029352,0.6744239326332129,0.27992996752849075,selection
har,L5,6,104,104,0.5629424503806206,1.4333847273817641,-1.987568855900621,0.5136092765362865,0.08876331195419751,selection
har,L5,7,104,104,0.6153824074519519,1.8615800403155711,-0.1962278698491162,0.8805726860360522,0.17152205066914794,selection
har,L5,8,104,104,0.6942832906584717,2.643256945537193,-1.3881970792084157,0.6044158393432101,0.09196687082494681,selection
har,L5,9,104,104,0.7054058494734685,3.2166920951210916,-1.940612147762792,0.4964560446635578,0.059644876322678675,selection
har,L5,10,104,104,0.6508146069995763,2.3934645393171823,-0.17955068088468218,0.8675890066596041,0.18736761166105076,selection
har,L10,1,101,101,0.3688302454550873,0.2824801234432198,-0.2290250662247698,0.9737146455178903,0.45049080003814235,selection
har,L10,2,101,101,0.4240030048793853,0.43522576706850835,-1.5529440756703856,0.6857512444429701,0.22729896669237248,selection
har,L10,3,101,101,0.44697697675905534,0.4966416684609148,-0.6162035382206401,0.8685735506728011,0.2935486048827495,selection
har,L10,4,101,101,0.4018777196804217,0.2871660534999185,-2.3875009346170555,0.5203766890491459,0.17873474597372185,selection
