model,split,n_rows,rmse,qlike,corr,actual_std,pred_std,pred_mean,n_qubits,h,seed,features,effective_rank,elapsed_feature_seconds,q80_precision,q80_recall,q80_f1,q80_pred_rate,q90_precision,q90_recall,q90_f1,q90_pred_rate,q95_precision,q95_recall,q95_f1,q95_pred_rate,top20_pred_actual_ratio
TFIM_8q_h0.2_seed0,train,1600,0.05974988940518509,-2.7873483241566053,0.5270063110569666,0.06876837833520376,0.029737983417079335,0.1295631853452149,8,0.2,0,36,20.137671688065478,70.55662083625793,0.6,0.159375,0.2518518518518518,0.053125,0.6764705882352942,0.14375,0.23711340206185566,0.02125,0.8571428571428571,0.075,0.13793103448275862,0.004375,
TFIM_8q_h0.2_seed0,val,500,0.06758895951271114,-2.799270272364066,0.3270843292270924,0.0542449043115403,0.02428565029114145,0.1785794211411699,8,0.2,0,36,20.137671688065478,70.55662083625793,0.27631578947368424,0.5060240963855421,0.3574468085106383,0.304,0.2222222222222222,0.2631578947368421,0.24096385542168675,0.09,0.0,0.0,0.0,0.0,
TFIM_8q_h0.2_seed0,test,700,0.14949486618135147,-1.3466516467105607,0.37365270549308527,0.14797582618463517,0.021600972804256956,0.14443831387445397,8,0.2,0,36,20.137671688065478,70.55662083625793,0.7666666666666667,0.08984375,0.16083916083916083,0.04285714285714286,1.0,0.07853403141361257,0.14563106796116504,0.02142857142857143,0.0,0.0,0.0,0.0,0.3925354374542729
TFIM_8q_h0.2_seed1,train,1600,0.05503590194636776,-2.838668941590872,0.6308551361773674,0.06876837833520376,0.034066871868670696,0.13039667609220829,8,0.2,1,36,20.428578622395214,74.27252697944641,0.6902654867256637,0.24375,0.36027713625866054,0.070625,0.6956521739130435,0.2,0.3106796116504854,0.02875,0.8461538461538461,0.1375,0.23655913978494625,0.008125,
TFIM_8q_h0.2_seed1,val,500,0.0640409194807278,-2.819393802009817,0.2606327692068989,0.0542449043115403,0.01399671746478031,0.1718753541920335,8,0.2,1,36,20.428578622395214,74.27252697944641,0.5121951219512195,0.25301204819277107,0.3387096774193548,0.082,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,
TFIM_8q_h0.2_seed1,test,700,0.15536399611151175,-1.0299225699364238,0.18158368572537983,0.14797582618463517,0.0199392751222401,0.1391701743980949,8,0.2,1,36,20.428578622395214,74.27252697944641,1.0,0.04296875,0.08239700374531835,0.015714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614060058653671
TFIM_8q_h0.2_seed2,train,1600,0.06131993040677461,-2.7730430287894485,0.4977188502855901,0.06876837833520376,0.025617765889736886,0.12881837169025714,8,0.2,2,36,20.67255743804627,73.83436393737793,0.6101694915254238,0.1125,0.18997361477572558,0.036875,0.631578947368421,0.075,0.1340782122905028,0.011875,1.0,0.025,0.04878048780487805,0.00125,
TFIM_8q_h0.2_seed2,val,500,0.07300707249017684,-2.7626164185765303,0.32660406616152843,0.0542449043115403,0.015364292065126696,0.18693800675311542,8,0.2,2,36,20.67255743804627,73.83436393737793,0.26785714285714285,0.5421686746987951,0.35856573705179284,0.336,0.18518518518518517,0.13157894736842105,0.15384615384615385,0.054,0.0,0.0,0.0,0.002,
TFIM_8q_h0.2_seed2,test,700,0.14376500394780295,-1.7409050020003756,0.4560027030201092,0.14797582618463517,0.013524657213372574,0.17281887615924196,8,0.2,2,36,20.67255743804627,73.83436393737793,0.7045454545454546,0.12109375,0.20666666666666667,0.06285714285714286,1.0,0.08900523560209424,0.16346153846153846,0.024285714285714285,1.0,0.035211267605633804,0.06802721088435375,0.007142857142857143,0.4468041304637105
TFIM_8q_h0.5_seed0,train,1600,0.058546938501227115,-2.8141131253972644,0.5770468101383182,0.06876837833520376,0.027217483745248627,0.129289053796418,8,0.5,0,36,21.80505938861681,87.56033992767334,0.6271186440677966,0.115625,0.19525065963060687,0.036875,1.0,0.01875,0.03680981595092025,0.001875,0.0,0.0,0.0,0.0,
TFIM_8q_h0.5_seed0,val,500,0.06892517416441189,-2.791729221909823,0.2883228014238552,0.0542449043115403,0.021872054241879657,0.17989323621948716,8,0.5,0,36,21.80505938861681,87.56033992767334,0.26582278481012656,0.5060240963855421,0.34854771784232363,0.316,0.12121212121212122,0.10526315789473684,0.11267605633802817,0.066,0.0,0.0,0.0,0.0,
TFIM_8q_h0.5_seed0,test,700,0.14781661057098183,-1.4163712684453105,0.5503274370831894,0.14797582618463517,0.01561957940893573,0.1456970074085953,8,0.5,0,36,21.80505938861681,87.56033992767334,1.0,0.0859375,0.15827338129496402,0.03142857142857143,1.0,0.02617801047120419,0.05102040816326531,0.007142857142857143,0.0,0.0,0.0,0.0,0.40087607243798623
TFIM_8q_h0.5_seed1,train,1600,0.05247275301135238,-2.8887301885191072,0.6849996202312891,0.06876837833520376,0.03465633684433735,0.13075406497883985,8,0.5,1,36,23.425543836967986,80.03885269165039,0.7008547008547008,0.25625,0.37528604118993136,0.073125,0.5151515151515151,0.10625,0.17616580310880828,0.020625,0.75,0.0375,0.07142857142857142,0.0025,
TFIM_8q_h0.5_seed1,val,500,0.054968443458396424,-2.869253340849214,0.2931429472009912,0.0542449043115403,0.008964240243382918,0.15186121395742946,8,0.5,1,36,23.425543836967986,80.03885269165039,0.5,0.024096385542168676,0.04597701149425287,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_8q_h0.5_seed1,test,700,0.15439617427031702,-1.0863908856127331,0.35006387083900525,0.14797582618463517,0.010830558487499921,0.13888374232221065,8,0.5,1,36,23.425543836967986,80.03885269165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603449831277674
TFIM_8q_h0.5_seed2,train,1600,0.06033658867952965,-2.7931385675499794,0.5723394983057448,0.06876837833520376,0.02147094485607183,0.1282953723368364,8,0.5,2,36,24.549087939359215,98.44462418556213,0.75,0.05625,0.10465116279069768,0.015,1.0,0.01875,0.03680981595092025,0.001875,0.0,0.0,0.0,0.0,
TFIM_8q_h0.5_seed2,val,500,0.0750729054971435,-2.749912756404719,0.06726323336353557,0.0542449043115403,0.008140487337714686,0.18684837545206778,8,0.5,2,36,24.549087939359215,98.44462418556213,0.19858156028368795,0.3373493975903614,0.25,0.282,0.25,0.02631578947368421,0.047619047619047616,0.008,0.0,0.0,0.0,0.0,
TFIM_8q_h0.5_seed2,test,700,0.15183317216069245,-1.575059138389303,-0.12339392632235947,0.14797582618463517,0.019381195525715246,0.18461412902861177,8,0.5,2,36,24.549087939359215,98.44462418556213,0.24489795918367346,0.1875,0.21238938053097345,0.28,0.18604651162790697,0.041884816753926704,0.06837606837606838,0.06142857142857143,0.0,0.0,0.0,0.018571428571428572,0.44409927181738723
TFIM_8q_h1_seed0,train,1600,0.05607403877512462,-2.863857349047093,0.6570389085271117,0.06876837833520376,0.02676374657945791,0.1293126932618143,8,1.0,0,36,28.40726899984891,69.28656196594238,0.5625,0.028125,0.05357142857142857,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_8q_h1_seed0,val,500,0.05924117650583617,-2.8353767725712937,0.1337634518830779,0.0542449043115403,0.014128859978713137,0.15894156656368438,8,1.0,0,36,28.40726899984891,69.28656196594238,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_8q_h1_seed0,test,700,0.15936201567136168,-0.7370274532190334,0.008649567672778915,0.14797582618463517,0.02142466187333142,0.13752689461482506,8,1.0,0,36,28.40726899984891,69.28656196594238,0.0,0.0,0.0,0.017142857142857144,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0,0.3445418737500927
TFIM_8q_h1_seed1,train,1600,0.05636305381464314,-2.857295256172758,0.6181474243695355,0.06876837833520376,0.030313944041232773,0.12985541832366226,8,1.0,1,36,27.179218326229933,56.44041919708252,0.575,0.14375,0.23,0.05,0.2857142857142857,0.0375,0.06629834254143646,0.013125,0.3333333333333333,0.0125,0.024096385542168676,0.001875,
