episode_id,start_date,end_date,n_markets,n_index_events
GE086,2002-01-10,2002-01-10,1,1
GE087,2002-02-19,2002-02-19,1,1
GE088,2002-05-28,2002-05-28,1,1
GE089,2002-06-05,2002-06-12,4,4
GE090,2002-06-13,2002-06-19,3,3
GE091,2002-06-26,2002-06-26,1,1
GE092,2002-07-11,2002-07-15,3,3
GE093,2002-07-22,2002-07-22,1,1
GE094,2002-09-17,2002-09-17,1,1
GE095,2002-10-02,2002-10-02,1,1
GE096,2002-11-25,2002-11-25,1,1
GE097,2003-01-24,2003-01-24,1,1
GE098,2003-03-13,2003-03-13,1,1
GE099,2003-09-22,2003-09-22,1,1
GE100,2003-10-28,2003-10-28,1,1
GE101,2004-01-06,2004-01-06,1,1
GE102,2004-04-22,2004-04-29,2,2
GE103,2004-04-30,2004-04-30,1,1
GE104,2004-05-11,2004-05-11,1,1
GE105,2005-10-05,2005-10-05,2,2
GE106,2006-04-28,2006-04-28,1,1
GE107,2006-05-11,2006-05-15,5,5
GE108,2006-12-25,2006-12-25,1,1
GE109,2007-02-20,2007-02-23,2,2
GE110,2007-07-24,2007-07-27,6,6
GE111,2007-07-31,2007-08-06,4,4
GE112,2007-10-03,2007-10-03,2,2
GE113,2007-10-11,2007-10-11,1,1
GE114,2007-10-19,2007-10-19,1,1
GE115,2007-11-01,2007-11-07,2,2
GE116,2008-01-02,2008-01-07,8,8
GE117,2008-01-10,2008-01-17,6,6
GE118,2008-01-18,2008-01-18,1,1
GE119,2008-02-29,2008-03-04,3,3
GE120,2008-06-04,2008-06-06,2,2
GE121,2008-06-20,2008-06-26,2,2
GE122,2008-07-01,2008-07-01,2,2
GE123,2008-08-25,2008-08-29,3,3
GE124,2008-09-02,2008-09-09,5,5
GE125,2008-09-12,2008-09-18,3,3
GE126,2008-09-23,2008-09-30,2,2
GE127,2009-01-02,2009-01-09,6,6
GE128,2009-02-03,2009-02-03,1,1
GE129,2009-02-16,2009-02-16,1,1
GE130,2009-03-23,2009-03-23,1,1
GE131,2009-06-10,2009-06-15,3,3
GE132,2009-07-09,2009-07-09,1,1
GE133,2009-07-29,2009-07-29,1,1
GE134,2009-08-13,2009-08-13,1,1
GE135,2009-10-21,2009-10-21,1,1
GE136,2010-01-20,2010-01-20,1,1
GE137,2010-04-22,2010-04-28,7,7
GE138,2010-05-04,2010-05-05,4,4
GE139,2011-01-07,2011-01-07,1,1
GE140,2011-01-27,2011-01-27,1,1
GE141,2011-07-18,2011-07-25,2,2
GE142,2011-07-26,2011-08-01,10,10
GE143,2011-08-03,2011-08-04,4,4
GE144,2011-09-07,2011-09-07,1,1
GE145,2011-10-24,2011-10-24,1,1
GE146,2012-04-04,2012-04-04,1,1
GE147,2012-05-02,2012-05-04,2,2
GE148,2013-05-23,2013-05-23,1,1
GE149,2013-06-07,2013-06-13,2,2
GE150,2013-08-27,2013-08-27,1,1
GE151,2014-01-23,2014-01-23,1,1
GE152,2014-09-25,2014-10-01,2,2
GE153,2014-12-02,2014-12-02,1,1
GE154,2015-01-12,2015-01-12,1,1
GE155,2015-05-21,2015-05-21,1,1
GE156,2015-06-18,2015-06-18,1,1
GE157,2015-08-12,2015-08-19,5,5
GE158,2015-08-20,2015-08-24,2,2
GE159,2015-09-21,2015-09-21,1,1
GE160,2015-10-29,2015-10-29,1,1
GE161,2015-12-01,2015-12-01,1,1
GE162,2015-12-28,2016-01-04,5,5
GE163,2016-01-05,2016-01-07,2,2
GE164,2018-10-10,2018-10-11,2,2
GE165,2018-12-03,2018-12-04,2,2
GE166,2019-04-22,2019-04-22,1,1
GE167,2019-08-09,2019-08-09,1,1
GE168,2019-08-21,2019-08-21,1,1
GE169,2020-02-24,2020-03-02,16,16
GE170,2020-03-04,2020-03-10,5,5
GE171,2020-06-05,2020-06-10,2,2
GE172,2020-07-06,2020-07-06,1,1
GE173,2020-09-02,2020-09-02,1,1
GE174,2020-10-19,2020-10-19,1,1
GE175,2020-10-27,2020-10-27,1,1
GE176,2020-12-31,2020-12-31,1,1
GE177,2021-01-19,2021-01-19,1,1
GE178,2021-02-17,2021-02-17,1,1
GE179,2021-04-20,2021-04-20,1,1
GE180,2021-09-13,2021-09-20,2,2
GE181,2021-10-27,2021-10-27,1,1
GE182,2021-11-26,2021-11-26,1,1
GE183,2022-01-10,2022-01-10,1,1
GE184,2022-02-14,2022-02-21,6,6
GE185,2022-02-22,2022-02-22,1,1
GE186,2022-03-07,2022-03-07,1,1
GE187,2022-04-05,2022-04-05,1,1
GE188,2022-04-21,2022-04-21,2,2
GE189,2022-06-07,2022-06-09,2,2
GE190,2022-06-27,2022-06-27,1,1
GE191,2022-09-02,2022-09-02,1,1
GE192,2022-09-21,2022-09-28,2,2
GE193,2022-12-28,2022-12-28,1,1
GE194,2023-03-07,2023-03-07,1,1
GE195,2023-08-02,2023-08-02,1,1
GE196,2023-10-20,2023-10-20,1,1
GE197,2024-04-02,2024-04-02,1,1
GE198,2024-04-15,2024-04-15,1,1
