lag,raw_logvol_level,raw_local_instability_5,encoded_channel_0,encoded_channel_1
1,-4.425388533737628,0.0,0.3099192113203234,-0.813506848927646
2,-4.4493693628020345,0.016957006849917182,0.2912344352642091,-0.7819923340482677
3,-3.173541618836341,0.736729600426825,1.0,0.5557015355605035
4,-3.779023252840955,0.7062080999167499,0.8135377681085622,0.4989774750892765
5,-4.732946458382587,0.7622189978769787,0.07028400392860586,0.6030734569331234
6,-4.210574662683095,0.797215315528401,0.477292451987736,0.6681139433297296
7,-3.481743666911209,0.861206228124305,1.0,0.7870407436192784
8,-4.037474320866231,0.6913003637020809,0.6121643996338472,0.47127151973328585
9,-4.135373053736506,0.6375667991754049,0.5358861402398266,0.37140795101589547
10,-4.496669767380588,0.5006042249667987,0.25438010197405353,0.11686367200381535
11,-3.7159987879836525,0.5638435661428275,0.8626435771176009,0.23439368045951003
12,-3.4880020982747157,0.47125061390383344,1.0,0.06231012839822206
13,-4.346543161280162,0.5547327108878555,0.37135195509544555,0.21746120021473855
14,-4.331352922314677,0.5530440279231246,0.38318750142066516,0.2143227911258241
15,-4.847633979053133,0.5771133854562952,-0.019075318653812928,0.25905557520911215
16,-4.213339716323149,0.5400335789603706,0.47513804740444227,0.19014293491339926
17,-4.083106502690918,0.5335090498648509,0.576609869969496,0.17801712927555483
18,-4.554509343946275,0.42621295459326,0.20931412312870973,-0.021392142706443393
19,-4.290404936108134,0.4422234295455834,0.4150923179790604,0.008363247238060555
20,-5.064726943793785,0.512022704620537,-0.18822432591468513,0.13808486098678566
21,-4.2992306689767075,0.5467159381728863,0.40821570659346196,0.20256206705718352
22,-4.533081788298496,0.5535733449754191,0.226009504161342,0.21530652429690117
23,-4.270536725392206,0.5251526468845447,0.43057272805436553,0.16248679491927492
24,-5.813706011895368,0.859132914189226,-0.7717948989173798,0.7831874997399207
25,-4.3073718869822235,1.035375752614274,0.4018724381915011,1.0
26,-4.596297292232691,0.9856478162658501,0.17675484615462586,1.0
27,-4.250084816528323,0.9922383605639815,0.44650792929429656,1.0
28,-4.1944581052011225,0.9855809699694997,0.48984974375347884,1.0
29,-4.423053687122117,0.7110181059716016,0.3117384180716429,0.5079168479825689
30,-4.381156377089121,0.22823085847771415,0.3443829047663111,-0.38934090684310124
31,-4.389174335588118,0.18816642722160412,0.3381356745901308,-0.46380045776087864
32,-3.7885089618742818,0.28912586688573955,0.8061469331818314,-0.2761678294515595
33,-4.826142579584023,0.5461790966524588,-0.0023301934067118816,0.2015643496986236
34,-4.500141368392037,0.5559818122430489,0.25167518767434827,0.2197826490171424
35,-5.09510220272772,0.6160847161763932,-0.21189135215897198,0.33148360408932087
36,-4.420429719124449,0.6859913352227779,0.31378289511132956,0.46140471608763794
37,-4.3039887766473415,0.6333530077152587,0.40450840456324844,0.363576640051365
38,-4.684418898661221,0.463405592336543,0.10809448093539346,0.047730193914523614
39,-4.298057027317724,0.472593360294729,0.40913015502680566,0.06480561604469404
40,-4.175570530470655,0.3943975072156954,0.5045660866761558,-0.08052099714688568
