x,delta_end_over_omega,omega_max_rad_s,shots_requested,shots_returned,valid_shots,empty_site_fraction,n_unique_states,entropy_bits,mean_excitation,var_excitation,nearest_pair_11_mean,next_nearest_pair_11_mean,blockade_contrast_nnn_minus_nn,staggered_even_minus_odd,top1_state,top1_freq,top2_state,top2_freq,top3_state,top3_freq,top4_state,top4_freq,top5_state,top5_freq,site_0_excitation,site_1_excitation,site_2_excitation,site_3_excitation,site_4_excitation,site_5_excitation
-0.3,-0.5,6300000.0,300,300,300,0.0,18,2.619442794714331,5.426666666666667,0.4446222222222222,0.82,0.8225,0.0025000000000000577,-0.006666666666666821,b111111,0.5233333333333333,b011111,0.09333333333333334,b111110,0.07,b111011,0.06666666666666667,b111101,0.06333333333333334,0.87,0.9333333333333333,0.9266666666666666,0.9,0.9133333333333333,0.8833333333333333
-0.285,-0.4249999999999998,6300000.0,300,300,300,0.0,17,2.519164143756225,5.443333333333333,0.4534555555555556,0.824,0.8275,0.0035000000000000586,-0.11000000000000032,b111111,0.5466666666666666,b110111,0.09666666666666666,b011111,0.09,b111110,0.05,b111101,0.05,0.8633333333333333,0.9366666666666666,0.8766666666666667,0.9366666666666666,0.9266666666666666,0.9033333333333333
-0.27,-0.3500000000000001,6300000.0,300,300,300,0.0,19,2.9302718258526883,5.3,0.51,0.7913333333333333,0.7941666666666667,0.0028333333333333544,-0.013333333333333197,b111111,0.44,b011111,0.11333333333333333,b111110,0.09666666666666666,b111101,0.06,b111011,0.06,0.8066666666666666,0.9066666666666666,0.9266666666666666,0.9133333333333333,0.91,0.8366666666666667
-0.255,-0.2749999999999999,6300000.0,300,300,300,0.0,20,3.0203950656418503,5.273333333333333,0.545288888888889,0.7753333333333333,0.7808333333333334,0.00550000000000006,-0.013333333333333641,b111111,0.43333333333333335,b111110,0.08333333333333333,b011111,0.08333333333333333,b111011,0.08,b111101,0.07,0.8366666666666667,0.9166666666666666,0.9066666666666666,0.8933333333333333,0.8866666666666667,0.8333333333333334
-0.24,-0.19999999999999996,6300000.0,300,300,300,0.0,18,3.000279134320533,5.28,0.4949333333333334,0.774,0.7783333333333333,0.0043333333333333,-0.033333333333333215,b111111,0.42,b011111,0.09333333333333334,b111110,0.08,b111011,0.07333333333333333,b110111,0.07,0.8366666666666667,0.9033333333333333,0.8966666666666666,0.9,0.89,0.8533333333333334
-0.225,-0.125,6300000.0,300,300,300,0.0,20,3.3923497033550007,5.09,0.46856666666666663,0.72,0.735,0.015000000000000013,0.0033333333333334103,b111111,0.2733333333333333,b111110,0.14333333333333334,b011111,0.11333333333333333,b111101,0.08333333333333333,b101111,0.08333333333333333,0.8066666666666666,0.8633333333333333,0.8933333333333333,0.9066666666666666,0.8466666666666667,0.7733333333333333
-0.21000000000000002,-0.050000000000000044,6300000.0,300,300,300,0.0,20,3.4722713484480567,5.0633333333333335,0.5793222222222222,0.7173333333333334,0.7258333333333333,0.008499999999999952,0.05666666666666664,b111111,0.31,b111110,0.12,b011111,0.09666666666666666,b111011,0.07,b111101,0.06333333333333334,0.7766666666666666,0.8866666666666667,0.89,0.8533333333333334,0.8933333333333333,0.7633333333333333
-0.195,0.02499999999999991,6300000.0,300,300,300,0.0,21,3.513831390479244,5.046666666666667,0.5978222222222223,0.71,0.7283333333333334,0.018333333333333424,-0.006666666666666821,b111111,0.3,b111110,0.12,b011111,0.09666666666666666,b111101,0.08666666666666667,b101111,0.06333333333333334,0.7833333333333333,0.8866666666666667,0.8866666666666667,0.88,0.85,0.76
-0.18,0.10000000000000009,6300000.0,300,300,300,0.0,20,3.886538918133578,4.806666666666667,0.5959555555555556,0.636,0.6433333333333333,0.007333333333333303,-0.05999999999999961,b111111,0.17666666666666667,b111110,0.10333333333333333,b110111,0.09666666666666666,b011111,0.09,b111011,0.07333333333333333,0.72,0.8766666666666667,0.7966666666666666,0.8433333333333334,0.8566666666666667,0.7133333333333334
-0.165,0.17499999999999993,6300000.0,300,300,300,0.0,21,3.9126392192768176,4.75,0.7008333333333333,0.6286666666666667,0.6441666666666667,0.015499999999999958,0.03000000000000025,b111111,0.18333333333333332,b111110,0.11666666666666667,b011111,0.11333333333333333,b111011,0.08666666666666667,b111101,0.056666666666666664,0.69,0.8933333333333333,0.8233333333333334,0.8,0.8766666666666667,0.6666666666666666
