x,shots_requested,shots_returned,valid_shots,empty_site_fraction,n_unique_states,entropy_bits,mean_excitation,var_excitation,nearest_pair_11_mean,next_nearest_pair_11_mean,staggered_even_minus_odd,top1_state,top1_freq,top2_state,top2_freq,top3_state,top3_freq,site_0_excitation,site_1_excitation,site_2_excitation,site_3_excitation,site_4_excitation,site_5_excitation
-1.0,300,300,300,0.0,19,2.714773561721883,5.39,0.4845666666666667,0.8053333333333333,0.805,-0.08333333333333348,111111,0.5033333333333333,110111,0.08666666666666667,011111,0.08333333333333333,0.8566666666666667,0.9266666666666666,0.88,0.9133333333333333,0.9166666666666666,0.8966666666666666
-0.9333333333333333,300,300,300,0.0,17,2.747484035729979,5.373333333333333,0.48728888888888877,0.808,0.8091666666666667,-0.10666666666666691,111111,0.49666666666666665,011111,0.09,111110,0.08,0.8433333333333334,0.9366666666666666,0.8866666666666667,0.94,0.9033333333333333,0.8633333333333333
-0.8666666666666667,300,300,300,0.0,17,2.7577273178350734,5.373333333333333,0.4139555555555556,0.806,0.8066666666666666,0.02666666666666684,111111,0.46,011111,0.11,111110,0.09666666666666666,0.8566666666666667,0.9166666666666666,0.9233333333333333,0.8966666666666666,0.92,0.86
-0.8,300,300,300,0.0,16,2.777802544637553,5.34,0.4644,0.7913333333333333,0.7891666666666667,-0.026666666666666394,111111,0.44,111011,0.10333333333333333,011111,0.1,0.8466666666666667,0.93,0.9066666666666666,0.8766666666666667,0.9033333333333333,0.8766666666666667
-0.7333333333333334,300,300,300,0.0,17,3.017361101554877,5.26,0.49906666666666655,0.7733333333333333,0.7766666666666666,-0.02666666666666684,111111,0.4,011111,0.1,111110,0.09666666666666666,0.82,0.9,0.9033333333333333,0.91,0.8933333333333333,0.8333333333333334
-0.6666666666666667,300,300,300,0.0,19,3.1244665808982135,5.23,0.5237666666666666,0.756,0.7675,-0.13666666666666627,111111,0.39666666666666667,011111,0.10333333333333333,110111,0.09,0.8033333333333333,0.8933333333333333,0.87,0.9133333333333333,0.8733333333333333,0.8766666666666667
-0.6,300,300,300,0.0,20,3.478299422710333,5.0633333333333335,0.5793222222222222,0.7093333333333334,0.725,-0.036666666666666625,111111,0.2966666666666667,011111,0.12666666666666668,111110,0.09333333333333334,0.78,0.8866666666666667,0.8633333333333333,0.8633333333333333,0.87,0.8
-0.5333333333333333,300,300,300,0.0,21,3.6884161210257034,4.95,0.6408333333333331,0.6766666666666666,0.6925,0.05666666666666664,111111,0.26,111110,0.12333333333333334,110111,0.08,0.8,0.8533333333333334,0.83,0.8766666666666667,0.8733333333333333,0.7166666666666667
-0.4666666666666667,300,300,300,0.0,21,3.833836132110537,4.84,0.6277333333333334,0.6493333333333333,0.6641666666666667,0.046666666666666856,111111,0.20666666666666667,011111,0.12,111011,0.08333333333333333,0.7066666666666667,0.85,0.8466666666666667,0.82,0.89,0.7266666666666667
-0.4,300,300,300,0.0,21,3.952778830412735,4.773333333333333,0.7019555555555554,0.6206666666666667,0.655,0.10666666666666647,111111,0.20333333333333334,111110,0.11,111011,0.08333333333333333,0.7533333333333333,0.8333333333333334,0.8233333333333334,0.81,0.8633333333333333,0.69
-0.33333333333333337,300,300,300,0.0,21,4.042116533069626,4.6866666666666665,0.6884888888888889,0.594,0.6216666666666667,-0.046666666666666856,111111,0.17,011111,0.10333333333333333,111110,0.07333333333333333,0.69,0.8433333333333334,0.8066666666666666,0.81,0.8233333333333334,0.7133333333333334
-0.2666666666666667,300,300,300,0.0,21,4.058044039545741,4.68,0.7309333333333332,0.5893333333333334,0.6316666666666667,-0.04666666666666641,111111,0.17666666666666667,111110,0.08333333333333333,111101,0.08,0.7166666666666667,0.8433333333333334,0.7866666666666666,0.8233333333333334,0.8133333333333334,0.6966666666666667
-0.19999999999999996,300,300,300,0.0,21,4.148664833714703,4.506666666666667,0.5832888888888891,0.5586666666666666,0.5783333333333334,0.10666666666666647,111110,0.11,011111,0.11,111111,0.07666666666666666,0.6433333333333333,0.84,0.7866666666666666,0.7833333333333333,0.8766666666666667,0.5766666666666667
-0.1333333333333333,300,300,300,0.0,21,4.215393765876071,4.4366666666666665,0.6926555555555555,0.524,0.5716666666666667,-0.07000000000000028,011111,0.11333333333333333,111111,0.1,011110,0.07666666666666666,0.5666666666666667,0.8,0.7733333333333333,0.7666666666666667,0.8433333333333334,0.6866666666666666
-0.06666666666666665,300,300,300,0.0,21,4.18621961834773,4.43,0.6784333333333332,0.5393333333333333,0.57,-0.08999999999999986,111110,0.09666666666666666,011110,0.09333333333333334,111111,0.08666666666666667,0.5833333333333334,0.8733333333333333,0.7566666666666667,0.8066666666666666,0.83,0.58
0.0,300,300,300,0.0,21,4.265168797549976,4.306666666666667,0.6592888888888888,0.49733333333333335,0.5508333333333333,0.06666666666666643,111110,0.10333333333333333,011111,0.08666666666666667,011110,0.07,0.5733333333333334,0.8266666666666667,0.79,0.74,0.8233333333333334,0.5533333333333333
0.06666666666666665,300,300,300,0.0,21,4.24167762634272,4.21,0.6192333333333333,0.476,0.535,-0.08999999999999986,011110,0.11666666666666667,011111,0.07666666666666666,011101,0.06666666666666667,0.5,0.8333333333333334,0.7566666666666667,0.7766666666666666,0.8033333333333333,0.54
0.1333333333333333,300,300,300,0.0,21,4.245431329811903,4.09,0.6752333333333335,0.44333333333333336,0.5041666666666667,0.07666666666666666,011110,0.09666666666666666,010110,0.09333333333333334,011010,0.08666666666666667,0.49333333333333335,0.8266666666666667,0.7533333333333333,0.71,0.8366666666666667,0.47
0.19999999999999996,300,300,300,0.0,21,4.228270411411987,4.046666666666667,0.6444888888888889,0.42933333333333334,0.485,-0.06666666666666665,010110,0.1,011110,0.09333333333333334,011010,0.08,0.4633333333333333,0.8566666666666667,0.6933333333333334,0.7166666666666667,0.8333333333333334,0.48333333333333334
0.2666666666666666,300,300,300,0.0,21,4.072703218475141,4.0,0.62,0.434,0.4925,-0.06666666666666665,011110,0.14,011010,0.10666666666666667,010110,0.1,0.38333333333333336,0.85,0.7366666666666667,0.7366666666666667,0.8466666666666667,0.44666666666666666
0.33333333333333326,300,300,300,0.0,21,4.065083006555855,3.8033333333333332,0.49798888888888904,0.35733333333333334,0.43416666666666665,-0.07000000000000006,010110,0.14333333333333334,011010,0.12333333333333334,011110,0.07666666666666666,0.38666666666666666,0.8466666666666667,0.64,0.6566666666666666,0.84,0.43333333333333335
0.3999999999999999,300,300,300,0.0,21,3.8992787919141083,3.756666666666667,0.5241222222222222,0.364,0.43,-0.15666666666666673,010110,0.16666666666666666,011010,0.15333333333333332,011110,0.10333333333333333,0.31,0.8766666666666667,0.6466666666666666,0.6966666666666667,0.8433333333333334,0.38333333333333336
