episode_id,start_date,end_date,n_markets,n_index_events
GE127,2013-05-23,2013-05-23,1,1
GE128,2013-06-07,2013-06-13,2,2
GE129,2013-08-27,2013-08-27,1,1
GE130,2014-01-23,2014-01-23,1,1
GE131,2014-09-25,2014-10-01,2,2
GE132,2014-12-02,2014-12-02,1,1
GE133,2015-01-12,2015-01-12,1,1
GE134,2015-05-21,2015-05-21,1,1
GE135,2015-06-18,2015-06-18,1,1
GE136,2015-08-12,2015-08-24,5,5
GE137,2015-09-18,2015-09-21,2,2
GE138,2015-10-29,2015-10-29,1,1
GE139,2015-12-01,2015-12-01,1,1
GE140,2015-12-28,2016-01-07,6,6
GE141,2018-10-10,2018-10-11,2,2
GE142,2018-12-03,2018-12-04,2,2
GE143,2019-04-22,2019-04-22,1,1
GE144,2019-08-09,2019-08-09,1,1
GE145,2019-08-21,2019-08-21,1,1
GE146,2020-02-24,2020-03-10,21,21
GE147,2020-06-05,2020-06-10,2,2
GE148,2020-07-06,2020-07-06,1,1
GE149,2020-09-02,2020-09-02,1,1
GE150,2020-10-19,2020-10-19,1,1
GE151,2020-10-27,2020-10-27,1,1
GE152,2020-12-31,2020-12-31,1,1
GE153,2021-01-19,2021-01-19,1,1
GE154,2021-02-17,2021-02-17,1,1
GE155,2021-04-20,2021-04-20,1,1
GE156,2021-09-13,2021-09-20,2,2
GE157,2021-10-27,2021-10-27,1,1
GE158,2021-11-26,2021-11-26,1,1
GE159,2022-01-10,2022-01-10,1,1
GE160,2022-02-14,2022-02-22,7,7
GE161,2022-03-07,2022-03-07,1,1
GE162,2022-04-05,2022-04-05,1,1
GE163,2022-04-21,2022-04-21,2,2
GE164,2022-06-07,2022-06-09,2,2
GE165,2022-06-27,2022-06-27,1,1
GE166,2022-09-02,2022-09-02,1,1
GE167,2022-09-21,2022-09-28,2,2
GE168,2022-12-28,2022-12-28,1,1
GE169,2023-03-07,2023-03-07,1,1
GE170,2023-08-02,2023-08-02,1,1
GE171,2023-10-20,2023-10-20,1,1
GE172,2024-04-02,2024-04-02,1,1
GE173,2024-04-15,2024-04-15,1,1
