date,y_true,origin_regime,p_momentum,p_rydberg,momentum_log_loss,rydberg_log_loss,rydberg_minus_momentum_log_loss,probability_shift,momentum_correct_0_5,rydberg_correct_0_5
2003-08-22,1,bull_side,0.6800412264630261,0.7000823188062476,0.3856018554982271,0.35655735255823034,-0.029044502939996775,0.02004109234322149,True,True
2003-12-12,1,bull_side,0.6758621099596501,0.675375837392701,0.39176620309541993,0.392485946925726,0.0007197438303060966,-0.0004862725669491086,True,True
2004-04-02,0,bear_side,0.6526367557702316,0.6594771234949736,1.0573842332200203,1.0772729706125952,0.019888737392574907,0.006840367724741947,False,False
2004-05-28,0,bear_side,0.5854408880355756,0.4794054263209769,0.880539704286551,0.6527837096818657,-0.22775599460468532,-0.10603546171459871,False,True
2004-08-06,1,bear_side,0.5563610611394023,0.5409085009741205,0.5863378049558571,0.6145051438775067,0.028167338921649576,-0.015452560165281848,True,True
2004-09-24,1,bear_side,0.5704595434191451,0.4709193248716928,0.5613130264466971,0.7530684844101074,0.19175545796341031,-0.09954021854745226,True,False
2005-01-07,1,bear_side,0.6767849841519166,0.6756373787022747,0.3904016574730147,0.3920987689030019,0.001697111429987186,-0.0011476054496418753,True,True
2005-03-11,0,bear_side,0.6262575070297891,0.6689262309909034,0.9841882401773936,1.1054140613392878,0.12122582116189418,0.04266872396111432,False,False
2005-05-20,1,bear_side,0.5925863434245662,0.5768483911971211,0.5232586892911962,0.5501758005576507,0.026917111266454463,-0.015737952227445118,True,True
2006-07-28,1,bear_side,0.5783501077713535,0.6351043701131467,0.5475758708979522,0.4539659312125538,-0.09360993968539844,0.05675426234179315,True,True
2007-03-02,1,bull_side,0.6064617738917315,0.6847351507121564,0.500113579968131,0.37872315678105184,-0.12139042318707916,0.0782733768204249,True,True
2007-07-27,1,bear_side,0.5892399739058025,0.5845560864529417,0.5289217523198982,0.5369025463810666,0.007980794061168361,-0.004683887452860858,True,True
2007-11-09,0,bull_side,0.6238501028465969,0.6316845766163881,0.9777675523950504,0.9988155791784793,0.021048026783428875,0.007834473769791184,False,False
2008-01-04,0,bull_side,0.4974883874033194,0.438447097683946,0.6881365296707943,0.5770492931846068,-0.11108723648618746,-0.05904128971937339,True,True
