subgroup,n,mean_probability_shift,median_probability_shift,episodes_with_lower_rydberg_loss,episodes_with_higher_rydberg_loss,mean,bootstrap_q025,bootstrap_q50,bootstrap_q975,bootstrap_fraction_below_zero
all,48,0.0003527941113487844,-0.0008169390082954919,22,26,0.008066269310214575,-0.02756482905844622,0.0078789786251772,0.04379235676882503,0.3315
positive,35,0.0008042092931050309,-0.0011476054496418753,16,19,0.006481900936055767,-0.030787420742110386,0.006026069894220722,0.0463474342544718,0.3772
negative,13,-0.0008625544549180331,0.0003294151351098673,6,7,0.012331876471411377,-0.06529127099009406,0.01078967397239624,0.09527413180107785,0.394
