threshold,model,positive_recall,negative_recall,balanced_accuracy,accuracy
0.35,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.35,rydberg_uncertainty,1.0,0.07692307692307693,0.5384615384615384,0.75
0.375,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.375,rydberg_uncertainty,1.0,0.07692307692307693,0.5384615384615384,0.75
0.4,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.4,rydberg_uncertainty,1.0,0.07692307692307693,0.5384615384615384,0.75
0.425,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.425,rydberg_uncertainty,1.0,0.07692307692307693,0.5384615384615384,0.75
0.45,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.45,rydberg_uncertainty,0.9428571428571428,0.23076923076923078,0.5868131868131868,0.75
0.475,momentum,1.0,0.07692307692307693,0.5384615384615384,0.75
0.475,rydberg_uncertainty,0.8857142857142857,0.23076923076923078,0.5582417582417583,0.7083333333333334
0.5,momentum,1.0,0.23076923076923078,0.6153846153846154,0.7916666666666666
0.5,rydberg_uncertainty,0.8857142857142857,0.3076923076923077,0.5967032967032967,0.7291666666666666
0.525,momentum,0.9714285714285714,0.3076923076923077,0.6395604395604395,0.7916666666666666
0.525,rydberg_uncertainty,0.8857142857142857,0.38461538461538464,0.6351648351648351,0.75
0.55,momentum,0.9428571428571428,0.38461538461538464,0.6637362637362637,0.7916666666666666
0.55,rydberg_uncertainty,0.7714285714285715,0.38461538461538464,0.5780219780219781,0.6666666666666666
0.575,momentum,0.8285714285714286,0.38461538461538464,0.6065934065934067,0.7083333333333334
0.575,rydberg_uncertainty,0.6857142857142857,0.38461538461538464,0.5351648351648352,0.6041666666666666
0.6,momentum,0.6857142857142857,0.46153846153846156,0.5736263736263736,0.625
0.6,rydberg_uncertainty,0.6285714285714286,0.46153846153846156,0.5450549450549451,0.5833333333333334
0.625,momentum,0.4857142857142857,0.5384615384615384,0.512087912087912,0.5
0.625,rydberg_uncertainty,0.6285714285714286,0.46153846153846156,0.5450549450549451,0.5833333333333334
0.65,momentum,0.4857142857142857,0.7692307692307693,0.6274725274725275,0.5625
0.65,rydberg_uncertainty,0.6,0.5384615384615384,0.5692307692307692,0.5833333333333334
