date,model,train_n,intercept,momentum_13w,return_1w,vol_13w,bull_probability,long_regime_uncertainty,one_week_probability_motion
2003-08-22,momentum_13w,83,0.43114968035851087,0.39306117329421314,,,,,
2003-08-22,compact_directional,83,0.4557890786373425,0.37520391078030874,0.24590697522415758,-0.09283657352328994,-0.3351705513993549,,
2003-08-22,compact_transition,83,0.4586085659334288,0.3102875745813493,0.07853082086871428,-0.035267793125866816,-0.4604285269096998,0.36587338312226614,-0.7706111386806449
2003-12-12,momentum_13w,84,0.452744689541346,0.40744484367058925,,,,,
2003-12-12,compact_directional,84,0.4770794727491218,0.3886066632256096,0.2496920860683495,-0.09109989472273498,-0.31363812091043386,,
2003-12-12,compact_transition,84,0.47896432815210194,0.32071534641865734,0.07951957095738231,-0.03319879708172217,-0.4437685964320067,0.36437720585341465,-0.7813952181590855
2004-04-02,momentum_13w,85,0.4738581478645958,0.419480837485884,,,,,
2004-04-02,compact_directional,85,0.49763808390419534,0.39709062140074847,0.26227923044836515,-0.0798250678635899,-0.28356094717461644,,
2004-04-02,compact_transition,85,0.49787666581936296,0.3266784830160079,0.08885770879852566,-0.023272490988159616,-0.4176283873107386,0.3523034793011769,-0.7876764721657091
2004-05-28,momentum_13w,85,0.4738581478645958,0.419480837485884,,,,,
2004-05-28,compact_directional,85,0.49763808390419534,0.39709062140074847,0.26227923044836515,-0.0798250678635899,-0.28356094717461644,,
2004-05-28,compact_transition,85,0.49787666581936296,0.3266784830160079,0.08885770879852566,-0.023272490988159616,-0.4176283873107386,0.3523034793011769,-0.7876764721657091
2004-08-06,momentum_13w,87,0.4116663726410485,0.407192246223471,,,,,
2004-08-06,compact_directional,87,0.4242538386866134,0.4152835705728651,0.15148441121746886,0.02181839861043988,-0.18829935436347944,,
2004-08-06,compact_transition,87,0.4184001091068376,0.3483398860542518,-0.01608640018029991,0.08718911421004778,-0.30576015854260374,0.3711166074822642,-0.7800744176750711
2004-09-24,momentum_13w,87,0.4116663726410485,0.407192246223471,,,,,
2004-09-24,compact_directional,87,0.4242538386866134,0.4152835705728651,0.15148441121746886,0.02181839861043988,-0.18829935436347944,,
2004-09-24,compact_transition,87,0.4184001091068376,0.3483398860542518,-0.01608640018029991,0.08718911421004778,-0.30576015854260374,0.3711166074822642,-0.7800744176750711
2005-01-07,momentum_13w,89,0.4495882691640174,0.3904540614633893,,,,,
2005-01-07,compact_directional,89,0.4638462152099605,0.41253047752618444,0.10906744774394325,-0.019134823801217487,-0.25539450728272556,,
2005-01-07,compact_transition,89,0.46657460873183243,0.34199243006961977,-0.05974055078685422,0.05387909507353935,-0.3669690365227221,0.3509987108473771,-0.8004646823759322
2005-03-11,momentum_13w,90,0.4695152707178609,0.40264530894495004,,,,,
2005-03-11,compact_directional,90,0.48500248920011163,0.430832118120215,0.09260897511219378,-0.024522263994542905,-0.2735265161599142,,
2005-03-11,compact_transition,90,0.48985405900893797,0.3532556634713043,-0.07431292959274509,0.050524301895633485,-0.38251931369930964,0.3577883918438769,-0.8124170880835767
2005-05-20,momentum_13w,91,0.43963765987755893,0.39464417818047487,,,,,
2005-05-20,compact_directional,91,0.4521422979887813,0.4156070558771976,0.11429430198341586,0.0159813494031787,-0.2158972917866778,,
2005-05-20,compact_transition,91,0.4468510427166051,0.3414048263382579,-0.03619873957047804,0.10148983335766985,-0.3044174458891338,0.39232309394834386,-0.7928944744354762
2006-07-28,momentum_13w,92,0.4580262540719567,0.3910835010112249,,,,,
2006-07-28,compact_directional,92,0.4716228824577864,0.4028493626548842,0.14341708654177318,-0.0019934035327691404,-0.22447951575491318,,
2006-07-28,compact_transition,92,0.4654265581025406,0.32989901863655413,-0.010772795743506532,0.08716920138965756,-0.3136365155156711,0.41722678231775473,-0.804926558561429
2007-03-02,momentum_13w,93,0.4757752601727562,0.38376430335560624,,,,,
2007-03-02,compact_directional,93,0.4908474790595912,0.3890520069716553,0.17112734901511517,-0.017546129328673978,-0.23549814978730707,,
2007-03-02,compact_transition,93,0.4846589260011439,0.3160812775119655,0.015592264108816811,0.07160856239441717,-0.32579369513937473,0.42257810194843287,-0.8055929487575701
2007-07-27,momentum_13w,94,0.49355364096332927,0.3813957143812676,,,,,
2007-07-27,compact_directional,94,0.5063311906169212,0.39500437487236706,0.12759179997436218,-0.009401707756274682,-0.21753005544772536,,
2007-07-27,compact_transition,94,0.5048622225170319,0.3268988721269639,-0.035171674433476144,0.07455752557529129,-0.30358516997448065,0.40373440348897666,-0.764947800255722
2007-11-09,momentum_13w,95,0.5106624300297937,0.3747322762500807,,,,,
2007-11-09,compact_directional,95,0.5236609278582901,0.4026298354814721,0.08654110881195015,-0.009552024651148383,-0.24017975430711966,,
2007-11-09,compact_transition,95,0.5320801179610591,0.3557015333809516,-0.07509613097320476,0.03790031666979425,-0.32716113661796586,0.22181271182222873,-0.5427538891306283
2008-01-04,momentum_13w,95,0.5106624300297937,0.3747322762500807,,,,,
2008-01-04,compact_directional,95,0.5236609278582901,0.4026298354814721,0.08654110881195015,-0.009552024651148383,-0.24017975430711966,,
2008-01-04,compact_transition,95,0.5320801179610591,0.3557015333809516,-0.07509613097320476,0.03790031666979425,-0.32716113661796586,0.22181271182222873,-0.5427538891306283
2008-02-15,momentum_13w,96,0.48206636593299074,0.37088808782776744,,,,,
2008-02-15,compact_directional,96,0.4972203853911754,0.38773305345492204,0.12641263604017347,-0.03679924200440728,-0.26582186447732215,,
2008-02-15,compact_transition,96,0.5044858079253922,0.340715254939954,-0.016852280648740614,-0.00012758125067285992,-0.3508010157820331,0.18186348134259675,-0.49154235452237155
2008-08-29,momentum_13w,98,0.43216784012995224,0.42532884049711106,,,,,
2008-08-29,compact_directional,98,0.44654478048789586,0.42982940896890964,0.1338755927638664,-0.06608063248621897,-0.26883150004786716,,
2008-08-29,compact_transition,98,0.45233217855270075,0.38775494769580143,0.002048048575601598,-0.03393858441187042,-0.3531864861550232,0.17221983960434945,-0.46585850558663044
2008-12-05,momentum_13w,99,0.4079912492952446,0.45093299455039504,,,,,
2008-12-05,compact_directional,99,0.4242291927564354,0.45855518460683126,0.12649722898125668,-0.06443563547389368,-0.3005136432398926,,
2008-12-05,compact_transition,99,0.43013727407257796,0.4248396340519309,0.00042119363626536325,-0.03298320219939402,-0.3888531738148051,0.18762261943613998,-0.4512865047526868
2009-02-20,momentum_13w,100,0.38128170020142826,0.5252613832004254,,,,,
2009-02-20,compact_directional,100,0.38884045619927654,0.5093220140319501,0.12926354230180095,-0.10080274949136868,-0.3121409394909231,,
2009-02-20,compact_transition,100,0.3960275571168817,0.47348365824116434,0.003490013591782731,-0.06526058478296902,-0.403114424076211,0.1897615511931525,-0.44953074531905013
2009-06-05,momentum_13w,101,0.39859711561087074,0.5150828054755001,,,,,
2009-06-05,compact_directional,101,0.41109014572250085,0.5555291879667377,0.049924714016359076,0.02059151077134607,-0.28787903508375995,,
2009-06-05,compact_transition,101,0.41594124007535155,0.5084616610779792,-0.06721784100527496,0.03593041310633053,-0.3898695390653143,0.25877970049139426,-0.4945491725800728
2009-08-07,momentum_13w,102,0.4235566219734317,0.5651342033118596,,,,,
2009-08-07,compact_directional,102,0.4402085367417854,0.6046319880055324,0.050463357203374956,0.025971945334816848,-0.2893239564842195,,
2009-08-07,compact_transition,102,0.4453766475076486,0.5537011638217144,-0.06736639973697242,0.04113362805231995,-0.3916069983673411,0.25818570700928517,-0.49512599657838174
2009-12-04,momentum_13w,103,0.44212610575448297,0.5812485161220771,,,,,
2009-12-04,compact_directional,103,0.4615561580035914,0.6229377652098619,0.0559291698000593,0.04052137500616821,-0.2940661001092733,,
2009-12-04,compact_transition,103,0.46691151982435797,0.5675159264226708,-0.06496996281846809,0.05290393420907496,-0.39704902872164904,0.26177436022206046,-0.5025331713118991
2010-10-01,momentum_13w,104,0.41285345467491563,0.5386484071460207,,,,,
2010-10-01,compact_directional,104,0.42648945005279976,0.5636159891739755,0.04618803243986913,0.015354807428114417,-0.27508914575266774,,
