encoding,channel,minimum,q01,median,q99,maximum,fraction_abs_above_0_95
return_only,return_pct,-0.9999266706554512,-0.9253999019058642,0.002345934786727973,0.8935994325599894,0.9972414804667352,0.011156782149148562
return_uncertainty,return_pct,-0.9999266706554512,-0.9253999019058642,0.002345934786727973,0.8935994325599894,0.9972414804667352,0.011156782149148562
return_uncertainty,long_regime_uncertainty,-0.44582760846784875,-0.4458212462842839,-0.003296022553758774,0.8720323068670395,0.8808949758977828,0.0
return_volatility,return_pct,-0.9999266706554512,-0.9253999019058642,0.002345934786727973,0.8935994325599894,0.9972414804667352,0.011156782149148562
return_volatility,rolling_vol_13w,-0.7029732971388906,-0.6214730948414278,-0.0030686246208541535,0.9977471909470708,0.999552501829005,0.03405754550792719
