partition,origin_regime,n,n_positive,n_negative,positive_fraction,median_future_return_pct,mean_future_return_pct
all,all,131,85,46,0.648854961832061,2.794271203124854,1.0852921553049462
holdout,all,48,35,13,0.7291666666666666,3.0811237598910246,1.3310626705359576
train,all,83,50,33,0.6024096385542169,2.4382025715833144,0.9431598091472526
all,bear_side,82,58,24,0.7073170731707317,2.992471252584883,1.6701241075531728
all,bull_side,49,27,22,0.5510204081632653,1.5422902865971366,0.10659378623648487
holdout,bear_side,32,25,7,0.78125,3.0811237598910246,2.242155146672081
holdout,bull_side,16,10,6,0.625,2.8902750264879984,-0.4911222817362897
train,bear_side,50,33,17,0.66,2.821405142315214,1.3040242425170714
train,bull_side,33,17,16,0.5151515151515151,1.5422902865971366,0.3963955161626788
