feature,orientation,train_n,holdout_n,holdout_prevalence_recovery,holdout_roc_auc,holdout_average_precision
momentum_13w,high_recovery,83,48,0.7291666666666666,0.6637362637362637,0.850681340450257
bull_probability,low_recovery,83,48,0.7291666666666666,0.6021978021978022,0.7944877836286437
return_1w,high_recovery,83,48,0.7291666666666666,0.5868131868131868,0.8227533508727384
momentum_4w,high_recovery,83,48,0.7291666666666666,0.5714285714285714,0.7865737104407176
vol_4w,low_recovery,83,48,0.7291666666666666,0.5340659340659341,0.7534662020492214
vol_13w,low_recovery,83,48,0.7291666666666666,0.5296703296703297,0.7582043868404884
one_week_probability_motion,low_recovery,83,48,0.7291666666666666,0.5010989010989011,0.7234016933012486
long_regime_uncertainty,low_recovery,83,48,0.7291666666666666,0.4945054945054945,0.7191635490617919
