class,n,mean_momentum_probability,mean_rydberg_probability,mean_probability_shift,fraction_shifted_down,fraction_shifted_up
positive,35,0.6591560757731124,0.6599602850662174,0.0008042092931050309,0.5428571428571428,0.45714285714285713
negative,13,0.5685431962854354,0.5676806418305174,-0.0008625544549180331,0.46153846153846156,0.5384615384615384
