model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
garch_1_1_t,Transition,path,72,720,0.5616157816744348,0.9651579840905729,-2.13877529776889,0.5282212707996761,0.12219766750547034,4
garch_1_1_t,L1,path,24,240,0.5955253229045399,1.631369370483355,-1.9227551131773895,0.5097592441494333,0.10962139038471574,4
garch_1_1_t,L5,path,24,240,0.5204523582186433,0.8285950032961267,-1.8711891036502588,0.5890535522399776,0.1589766040509072,4
garch_1_1_t,L10,path,24,240,0.5663177476306531,0.4355095784922367,-2.13378987651348,0.5971862201327991,0.2672376047418108,4
garch_1_1_t,Controls,path,216,2160,0.6014568736241629,0.4714215430203795,-0.3188799914542376,1.0236016875489142,0.45264707619887945,4
garch_1_1_t,Pooled,path,288,2880,0.5917481302706084,0.5948556532879279,-0.8888397288710725,0.8719365419013949,0.31594497768338703,4
garch_1_1_t,Transition,path,85,850,0.55762120921578,0.7969065404772925,-1.4995766051825365,0.682969487237448,0.16017247874784324,5
garch_1_1_t,L1,path,29,290,0.5173199485471803,1.0169829813586206,-1.329421929773414,0.6572791121600029,0.19070940117158963,5
garch_1_1_t,L5,path,28,280,0.5674105347294327,0.9051808516217672,-1.461782757732673,0.6913027716031785,0.16271343216776402,5
garch_1_1_t,L10,path,28,280,0.5871939974702519,0.46069591556287026,-1.4200423954446733,0.766830179025486,0.26720656842495194,5
garch_1_1_t,Controls,path,253,2530,0.6411234527095696,0.6431508634224958,-1.1532995029267137,0.842471982600175,0.26014423943987963,5
garch_1_1_t,Pooled,path,338,3380,0.6211817291922783,0.6818172319126075,-1.1220947187947137,0.8287743913911646,0.2249154200821034,5
garch_1_1_t,Transition,path,150,1500,0.5773584995773411,0.6487559014312485,-2.5177413489878133,0.4568009007657499,0.08313681409415263,6
garch_1_1_t,L1,path,51,510,0.47391730468344767,0.7296180436446408,-1.5392661879155998,0.6267284878613576,0.1472540580878049,6
garch_1_1_t,L5,path,51,510,0.5576827128346504,0.6409441705304345,-2.398486916579478,0.4857979335939182,0.0993675332069548,6
garch_1_1_t,L10,path,48,480,0.6874687408288223,0.5711398394116343,-2.789861173643492,0.4551285375606135,0.1278859877204246,6
garch_1_1_t,Controls,path,434,4340,0.6417686980035792,0.5903014025327697,-1.4645565827568245,0.749765657054526,0.1900003389004351,6
garch_1_1_t,Pooled,path,584,5840,0.6258579458678754,0.6053154005375161,-1.8658801856054041,0.6423551597048441,0.14523122711587766,6
garch_1_1_t,Transition,path,123,1230,0.5841800649784711,1.0312463748411518,-1.9540563454729145,0.5806967257642057,0.09415205045623443,7
garch_1_1_t,L1,path,41,410,0.6121658836901294,1.7169176886495072,-1.9924048799084415,0.5016426790339008,0.0749056356496477,7
garch_1_1_t,L5,path,41,410,0.5531512291465447,0.9008071009583642,-1.659734532150187,0.6441682102014952,0.1270756765392318,7
garch_1_1_t,L10,path,41,410,0.5857266371732655,0.4760143349155841,-1.8089475987063954,0.6854298131351754,0.2133705276544432,7
garch_1_1_t,Controls,path,369,3690,0.6609185772809032,0.5474822587477969,-1.6145456040581938,0.7446421613250225,0.1617661706327005,7
garch_1_1_t,Pooled,path,492,4920,0.6425936596526786,0.6684232877711356,-1.635305667182134,0.717908807528389,0.13342555497626007,7
garch_1_1_t,Transition,path,90,900,0.6425956490171925,0.9881661860621355,-1.6080006816098054,0.6742849021063003,0.1325931723837518,8
garch_1_1_t,L1,path,30,300,0.5605293454808528,1.181941343781377,-0.5309932085189881,0.8457346878410816,0.22068462632579167,8
garch_1_1_t,L5,path,30,300,0.6474048593286864,1.0963188559683446,-1.5717196413489471,0.6766716641351781,0.1353181556309857,8
garch_1_1_t,L10,path,30,300,0.7109580194216049,0.6862383584366847,-2.1185598860978736,0.6336156264677348,0.1742394287200527,8
garch_1_1_t,Controls,path,270,2700,0.7499777128448183,0.7059981622109617,-1.7972206730372153,0.7288254904699407,0.2397810083245201,8
garch_1_1_t,Pooled,path,360,3600,0.724625571834803,0.7765401681737553,-1.627428940588439,0.7423396011482689,0.1970810850868998,8
