model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
garch_1_1_t,Transition,1,307,307,0.5616273572678527,0.49457736227910326,-2.164050374648214,0.5556224852615813,0.15184643542627574,selection
garch_1_1_t,Transition,2,307,307,0.5972752130654142,0.5883942509741944,-2.507742658533969,0.4999929342599113,0.13684261165227918,selection
garch_1_1_t,Transition,3,307,307,0.5828004873892869,0.5946347388061024,-1.9020089979289798,0.6277800983699838,0.1803672497115213,selection
garch_1_1_t,Transition,4,307,307,0.5997011180480943,0.7935734376072004,-2.6814988726924245,0.4483101472489675,0.10085222997690424,selection
garch_1_1_t,Transition,5,307,307,0.5635121051739892,0.8026333625896529,-2.3631916249194327,0.47306763976237015,0.09760816181662946,selection
garch_1_1_t,Transition,6,307,307,0.5663217128971014,0.8120399096896346,-2.4710832624450836,0.4620043043659223,0.09630175862773716,selection
garch_1_1_t,Transition,7,307,307,0.5966367555245065,0.9327106752836901,-2.3584302080633233,0.4810527359932448,0.08938700092024154,selection
garch_1_1_t,Transition,8,307,307,0.5698969765465464,0.9629852900204358,-2.135304593933011,0.5209191541812217,0.1083167716950253,selection
garch_1_1_t,Transition,9,307,307,0.5630637520490239,0.9018410584293906,-2.199365870610177,0.5151647342613662,0.1105330467048874,selection
garch_1_1_t,Transition,10,307,307,0.470985162983247,0.7564084814143537,-1.6861121003547697,0.5715277103326724,0.20010861744003539,selection
garch_1_1_t,L1,1,104,104,0.4167850254187363,0.5227660623797044,-1.7756383751312153,0.5336791919130047,0.3172107184057613,selection
garch_1_1_t,L1,2,104,104,0.5003436899655301,0.740983782317638,-2.5609859615978197,0.42282536139445054,0.09216288546101603,selection
garch_1_1_t,L1,3,104,104,0.5232848233835772,0.8533155051957183,-1.7906535475690954,0.5834155998231793,0.1378774823743617,selection
garch_1_1_t,L1,4,104,104,0.5416117097256447,1.4133965134868554,-2.0669371839380397,0.49791092447493673,0.10601135547442508,selection
garch_1_1_t,L1,5,104,104,0.5515440585645798,1.3186129582578587,-1.9079428895915793,0.5433622889336562,0.11296967026817362,selection
garch_1_1_t,L1,6,104,104,0.5077636482214948,1.1419896476161069,-1.0468176279518595,0.7243623217277556,0.2146743788405563,selection
garch_1_1_t,L1,7,104,104,0.5728672059564853,1.383766664332614,-2.0235052812103196,0.48958542438180236,0.09837069452579061,selection
garch_1_1_t,L1,8,104,104,0.5333102473619383,1.080212319420943,-1.7968154931076383,0.5352950631675853,0.13893276894155993,selection
garch_1_1_t,L1,9,104,104,0.49868370903475484,0.9510462190933947,-1.1952776604396256,0.693101300191597,0.20314603338339832,selection
garch_1_1_t,L1,10,104,104,0.5015310089432621,0.7723614410604355,-1.4694845280339175,0.6152300394031478,0.18533401590374898,selection
garch_1_1_t,L5,1,103,103,0.6157983714739601,0.466216345903415,-2.5816302679938556,0.5144156396785553,0.2113740827146564,selection
garch_1_1_t,L5,2,103,103,0.6326086783799154,0.4981368464016526,-2.3173771837432566,0.5795566498430089,0.24019758627086807,selection
garch_1_1_t,L5,3,103,103,0.595287949069271,0.4397040090610985,-1.7114947049857647,0.7158536600813887,0.362685085550671,selection
garch_1_1_t,L5,4,103,103,0.5801181293692318,0.4201648962328799,-2.509213384932857,0.5271907933461593,0.26006912822538564,selection
garch_1_1_t,L5,5,103,103,0.405602939247092,0.4976301330758721,-1.971671661206911,0.4927476817696777,0.29550531361442556,selection
garch_1_1_t,L5,6,103,103,0.5211480547151844,0.7625917518152752,-3.018448665137133,0.3190211999750356,0.05957257708010821,selection
garch_1_1_t,L5,7,103,103,0.5255789919484002,0.8440811075827751,-1.8657533048601798,0.5708306215978809,0.14233789971667987,selection
garch_1_1_t,L5,8,103,103,0.5404165387826978,1.3007611044023626,-2.293086893469532,0.44803166205249684,0.0956456828135055,selection
garch_1_1_t,L5,9,103,103,0.5547657964128357,1.2592480733880873,-2.0589434526910764,0.512547612588665,0.10835328198046623,selection
garch_1_1_t,L5,10,103,103,0.5136735314976587,1.0764654041335406,-1.3832543634326495,0.652567048213594,0.18714683566198964,selection
garch_1_1_t,L10,1,100,100,0.6301695203959997,0.49447296104143684,-1.5912418839057119,0.7477152853634638,0.3865516440275508,selection
garch_1_1_t,L10,2,100,100,0.6500981198747501,0.5226662650867314,-2.347683777167168,0.5682317321834469,0.23288243042196077,selection
garch_1_1_t,L10,3,100,100,0.6268702510531325,0.4851853933982559,-1.869885485178632,0.6627037871524033,0.24576317202935993,selection
garch_1_1_t,L10,4,100,100,0.6725987391555361,0.53356823630791,-2.884801900190551,0.45607771336070213,0.20445509252952543,selection
garch_1_1_t,L10,5,100,100,0.6993195631363645,0.580167909493913,-2.6396806032634053,0.5175218970117818,0.21682097639590991,selection
garch_1_1_t,L10,6,100,100,0.6608564398840319,0.5198237848566927,-2.6834929122130378,0.4972041353950896,0.2132692894400008,selection
