path,file,index,sha256,eligible,failure_reason,columns,date_column,high_column,low_column,open_column,close_column,volume_column,rows,usable_rows,valid_fraction,start,end,span_years,duplicate_dates,invalid_ranges,maximum_gap_days,gaps_over_10_days
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^GSPTSE_data.csv,^GSPTSE_data.csv,^GSPTSE_data,06bc902692b8fe5a4f26cb304cb0a0dd27fb49224c234602a694b45f98a82508,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,11296,11296,1.0,1979-06-29,2024-06-24,44.989287938835155,0,0,5,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^HSI_data.csv,^HSI_data.csv,^HSI_data,977c81e3d8cfbf42add66ca762d9f27a5b52249eef4156cd12cdb1ec353d4940,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,9251,9251,1.0,1986-12-31,2024-06-24,37.481946925672666,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^IPSA_data.csv,^IPSA_data.csv,^IPSA_data,270e2e74d8f476232b10823a992c923f365c3710807936aa59138e99f832a18a,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,4346,4346,1.0,2002-01-02,2019-06-14,17.44594344853077,0,0,10,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^IXIC_data.csv,^IXIC_data.csv,^IXIC_data,c639db65b98c009301195564d4ea5a96be3608a3af1203193d955a43de9fd15b,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,13461,13461,1.0,1971-02-05,2024-06-24,53.38371082226192,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^JKSE_data.csv,^JKSE_data.csv,^JKSE_data,73d06f11c86f2aa7839be873ae408fd892f6ea6d17a5c34f35b386082b0c7887,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,8337,8337,1.0,1990-04-06,2024-06-24,34.218361773342366,0,0,12,5
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^JN0U.JO_data.csv,^JN0U.JO_data.csv,^JN0U.JO_data,df316c45255eb472f4d632092a112a44dd4403537c1f4c1592e327aaac188070,False,insufficient_history,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,1685,1685,1.0,2017-09-26,2024-06-24,6.743464958212694,0,0,5,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^KLSE_data.csv,^KLSE_data.csv,^KLSE_data,7aec8613f2195d0254fbf50ba0b7d8634ee9897f6baee76f529d40fb4a90c56c,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,7506,7506,1.0,1993-12-03,2024-06-24,30.557780104998734,0,0,10,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^KS11_data.csv,^KS11_data.csv,^KS11_data,a3171e6eca59d9e4407a47971b7db9f0ae39b54b0ada9d9129b766bdf15b4090,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,6784,6784,1.0,1996-12-11,2024-06-24,27.53513076928342,0,0,11,1
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^MERV_data.csv,^MERV_data.csv,^MERV_data,f3b17cdd028ee91a3d77f9569b540a118175523dfe92a16e5dbd852b58f44ba1,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,6778,6778,1.0,1996-10-08,2024-06-24,27.710356817730684,0,0,13,1
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^MXX_data.csv,^MXX_data.csv,^MXX_data,87e414decff910e34c336808d895698d11b38873bd93ce89994f835bea54ce33,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,8169,8169,1.0,1991-11-08,2024-06-24,32.627637802282045,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^N100_data.csv,^N100_data.csv,^N100_data,63919d64e5381459568adb4acdf8b8e0c82b76ae35802800e7cc6ef8fc3a8cd8,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,6260,6260,1.0,1999-12-31,2024-06-24,24.482364456491236,0,0,6,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^N225_data.csv,^N225_data.csv,^N225_data,fde8aed326650c6927af0e0ee47f45654d499d0286ea0a3c55df71b5688ead88,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,14624,14624,1.0,1965-01-05,2024-06-24,59.467340191790385,0,0,11,1
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^NYA_data.csv,^NYA_data.csv,^NYA_data,f8e9809380a59acb41617b09978c11a72ab372a7cbaa0d5ee283d11b2857f746,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,14718,14718,1.0,1965-12-31,2024-06-24,58.48169366927452,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^NZ50_data.csv,^NZ50_data.csv,^NZ50_data,068619349391a4c49665bc2509b8e91d24f571e909f21f8466cb2591e8d95df7,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,5292,5292,1.0,2003-01-03,2024-06-24,21.473404655810864,0,0,8,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^RUT_data.csv,^RUT_data.csv,^RUT_data,dbc6a8b2baf7674f9a2b51654e707311a68e5f646c05eab1263c4036538a22bb,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,9269,9269,1.0,1987-09-10,2024-06-24,36.789256452904574,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^STI_data.csv,^STI_data.csv,^STI_data,e492151fd9ccd026c257c21a3ff1b6ec5a3979545c4f13bb091c2ca2586af785,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,9112,9112,1.0,1987-12-28,2024-06-24,36.49082458914283,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^STOXX50E_data.csv,^STOXX50E_data.csv,^STOXX50E_data,e76b6f55a148e77ddcbe19e6b5ea36cd5177debf626f780ec8c2d0017acd3e68,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,4321,4321,1.0,2007-03-30,2024-06-24,17.237862515999645,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^TA125.TA_data.csv,^TA125.TA_data.csv,^TA125.TA_data,bdd89f75181218d565366fed5ad64de6759aae521c4812de670594e4e226e8d4,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,6701,6701,1.0,1992-10-08,2024-06-24,31.710438954940894,0,0,8,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^TWII_data.csv,^TWII_data.csv,^TWII_data,98f4cc5eb9d7b9198f2fa08724349b7f54325781031dba7dd18b1ea605aa73bc,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,6616,6616,1.0,1997-07-02,2024-06-24,26.979335646864754,0,0,13,19
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^VIX_data.csv,^VIX_data.csv,^VIX_data,5bb7fe62b61afc67c20074ddad66a473b35b10533a56b6d75beb06bb18ecdaf4,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,8685,8685,1.0,1990-01-02,2024-06-24,34.47572503199929,0,0,7,0
data/raw/transition_forecasting/global_stock_indices_historical_data/individual_indices_data/^XAX_data.csv,^XAX_data.csv,^XAX_data,1e74c29df2adcee84b87ab836d58a769dec8c60a3ea5ed1a29d098dbcd906b13,True,,"['date', 'open', 'high', 'low', 'close', 'volume']",date,high,low,open,close,volume,7171,7171,1.0,1995-12-27,2024-06-24,28.4933982217294,0,0,7,0
