model,folds,mean_change_rate,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_log_loss,mean_brier
har_change_logit,5,0.3885929534533935,0.7716680642628013,0.7263121995344395,0.67983934757083,0.703999691990133,0.6885935007742371,0.7916904286625552,0.5318538233486266,0.17156529408101956
state_change_logit,5,0.3885929534533935,0.7623800396651094,0.7201671572020232,0.658211621783253,0.712418467656805,0.6815407069134992,0.7896178477493002,0.5347694828892791,0.17293977562422952
no_change,5,0.3885929534533935,0.6114070465466065,0.5,0.0,0.0,0.0,0.5,5.368610662593229,0.3885921762684866
