fold,model,n_test,test_change_rate,accuracy,balanced_accuracy,precision,recall,f1,log_loss,brier,roc_auc
1,no_change,948,0.620253164556962,0.379746835443038,0.5,0.0,0.0,0.0,8.569114523294486,0.6202519240516329,0.5
1,har_change_logit,948,0.620253164556962,0.7078059071729957,0.6529761904761905,0.7144827586206897,0.8809523809523809,0.789032749428789,0.6099527843776384,0.2004443083165446,0.7329081632653061
1,state_change_logit,948,0.620253164556962,0.6983122362869199,0.6393990929705216,0.7046070460704607,0.8843537414965986,0.7843137254901961,0.6136092613755563,0.20421195000617975,0.7202475434618291
2,no_change,948,0.24261603375527427,0.7573839662447257,0.5,0.0,0.0,0.0,3.351865133261753,0.24261554852420672,0.5
2,har_change_logit,948,0.24261603375527427,0.8027426160337553,0.7190686690081143,0.6009389671361502,0.5565217391304348,0.5778781038374717,0.498708199914133,0.15853355286215876,0.80355455976747
2,state_change_logit,948,0.24261603375527427,0.7742616033755274,0.7061765774494368,0.532258064516129,0.5739130434782609,0.5523012552301255,0.5060676118508795,0.16223817819962677,0.7972447620201042
3,no_change,948,0.2616033755274262,0.7383966244725738,0.5,0.0,0.0,0.0,3.6141849349952415,0.26160285232167513,0.5
3,har_change_logit,948,0.2616033755274262,0.8343881856540084,0.7615783410138248,0.7156398104265402,0.6088709677419355,0.6579520697167756,0.45266055814324246,0.1414910675729408,0.7977880184331798
3,state_change_logit,948,0.2616033755274262,0.8248945147679325,0.7512442396313364,0.6915887850467289,0.5967741935483871,0.6406926406926406,0.45265457486863747,0.1410390148324767,0.7981739631336406
4,no_change,948,0.4620253164556962,0.5379746835443038,0.5,0.0,0.0,0.0,6.383116175515408,0.46202439240606324,0.5
4,har_change_logit,948,0.4620253164556962,0.7489451476793249,0.7520010744023637,0.7024291497975709,0.7922374429223744,0.7446351931330472,0.5736575814315581,0.18470865401224942,0.8013564329841525
4,state_change_logit,948,0.4620253164556962,0.7415611814345991,0.7456218103679828,0.6903353057199211,0.7990867579908676,0.7407407407407407,0.5859420202599782,0.18868019655704577,0.7915077446503715
5,no_change,951,0.35646687697160884,0.6435331230283912,0.5,0.0,0.0,0.0,4.924772545899257,0.3564661640388549,0.5
5,har_change_logit,951,0.35646687697160884,0.7644584647739222,0.7459367227717045,0.6657060518731989,0.6814159292035398,0.673469387755102,0.5242899928765609,0.17264888764120412,0.8228449688626679
5,state_change_logit,951,0.35646687697160884,0.7728706624605678,0.7583940655908381,0.6722689075630253,0.7079646017699115,0.6896551724137931,0.5155739460913438,0.16852953852581865,0.840915225480556
