model,current_regime,n,change_rate,mean_p_change,accuracy,mean_brier
har_change_logit,deterioration,552,0.7862318840579711,0.7108921784866413,0.7065217391304348,0.1961753154896806
har_change_logit,volatile_rebound,429,0.8368298368298368,0.764229211405576,0.8065268065268065,0.18409636563894025
har_change_logit,acute_crisis,147,0.7959183673469388,0.9196167050027699,0.7959183673469388,0.1805297564751983
har_change_logit,calm,3109,0.1521389514313284,0.325133104617056,0.7651978128015439,0.17038721768695442
har_change_logit,easing_normalization,203,0.9310344827586207,0.6958747580123512,0.8423645320197044,0.14784745504032867
har_change_logit,mild_stress,303,0.8943894389438944,0.7418802121775431,0.8481848184818482,0.13262890506193079
no_change,easing_normalization,203,0.9310344827586207,1.0000000000000002e-06,0.06896551724137931,0.9310326206906551
no_change,mild_stress,303,0.8943894389438944,1e-06,0.10561056105610561,0.8943876501660164
no_change,volatile_rebound,429,0.8368298368298368,1.0000000000000002e-06,0.16317016317016317,0.8368281631711632
no_change,acute_crisis,147,0.7959183673469388,1e-06,0.20408163265306123,0.795916775511204
no_change,deterioration,552,0.7862318840579711,1e-06,0.213768115942029,0.7862303115952028
no_change,calm,3109,0.1521389514313284,1.0000000000000002e-06,0.8478610485686716,0.15213864715442554
state_change_logit,deterioration,552,0.7862318840579711,0.7363369919324746,0.7445652173913043,0.19197083653883404
state_change_logit,volatile_rebound,429,0.8368298368298368,0.7463338410709669,0.7995337995337995,0.18914677965827834
state_change_logit,acute_crisis,147,0.7959183673469388,0.9001480336466378,0.7959183673469388,0.17990558273827678
state_change_logit,calm,3109,0.1521389514313284,0.32449428633045324,0.7468639433901576,0.17193739658732646
state_change_logit,easing_normalization,203,0.9310344827586207,0.7079240416634475,0.8226600985221675,0.14322163308521815
state_change_logit,mild_stress,303,0.8943894389438944,0.7194835937857106,0.8448844884488449,0.14209497248436892
