forecast_horizon,realized_logvol,har_logvol,qrc_logvol,qrc_correction_logvol,realized_volatility_pct,har_volatility_pct,qrc_volatility_pct
1,-4.713741615789505,-4.526523418614932,-4.150693708141366,0.37582971047356545,0.8971148117954273,1.0818221197019986,1.5753484373080933
2,-4.99410534123563,-4.593865030913639,-4.6388585393622455,-0.04499350844860642,0.6777782189498581,1.0113692998343369,0.9668727803289037
3,-4.319090154887824,-4.714277133319156,-4.693454992425607,0.020822140893549126,1.3311989883089645,0.8966345197014978,0.915500099267722
4,-4.486756850211092,-4.699418172988496,-4.788608911449909,-0.08919073846141294,1.1257093111516618,0.9100570519368061,0.8324028792772787
5,-3.7934743380683535,-4.285041755874494,-3.8905759749649156,0.39446578090957873,2.2517233309668985,1.3773046403690299,2.04335734211625
6,-3.784071666960642,-4.322891302469925,-4.352375126237414,-0.02948382376748902,2.272995395263624,1.3261485093822192,1.2876193647588048
7,-3.420547772527211,-4.560955018538981,-3.755015223514982,0.8059397950239988,3.2694520872726653,1.0452072252676359,2.34000943748122
8,-4.710175312177811,-4.519258749701935,-4.237914765941713,0.2813439837602225,0.9003199073637826,1.0897098152831626,1.4437666389658372
9,-4.708223139623351,-4.454026328749107,-4.106958775823823,0.34706755292528424,0.9020792038436037,1.16316397560463,1.645775020195687
10,-3.9118556111492304,-4.386259592439377,-4.10599202012193,0.2802675723174458,2.0003348165802395,1.2447199857157734,1.6473668519127083
