fold,split,model,variant,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,val,lstm,early_stop,465,0.24659452803944676,-0.10189078566927168,0.02940692956816699,-3.2885172000671163,0.058133809195035746,0.4220328989294054,0.18563940328869488
1,test,lstm,early_stop,903,0.3399880530334059,0.19987311803745822,0.09961804631705501,-2.394766612810661,-0.0015327255200744182,1.0880050243009884,0.6747217944593829
1,val,lstm,early_stop_standardized,465,0.24643022493246253,-0.10042292044708434,0.02945252535019883,-3.2879230963607036,0.06023903935903445,0.4075464321802479,0.18412097082390189
1,test,lstm,early_stop_standardized,903,0.33963839683942515,0.20151803147035408,0.09924709691867666,-2.3986661222176573,0.00835251891344725,1.0221603216980093,0.6709116556413608
2,val,lstm,early_stop,465,0.3964093488162122,0.14505566066941944,0.13920538139158775,-1.5841569847392816,0.05858851543087154,0.9133177124784027,0.5494556394829229
2,test,lstm,early_stop,903,0.3485680334150809,0.2585422464229411,0.06379826009930663,-2.392766105275175,0.04348712101511577,0.815752420879376,0.3376398219084845
2,val,lstm,early_stop_standardized,465,0.39207017672794625,0.16366998854813575,0.1372429257691825,-1.615446666238714,0.058217466484388296,0.9043203787170554,0.5595634056007883
2,test,lstm,early_stop_standardized,903,0.34828916079650357,0.25972818162748423,0.06409540713420257,-2.40218261413025,0.045855158697312486,0.7794576902877228,0.3197608932437893
3,val,lstm,early_stop,465,0.374112439529604,0.2169197702712573,0.07424414463788913,-2.4502542553386193,0.044944251549816086,0.7289752016643576,0.37970513492495916
3,test,lstm,early_stop,903,0.37367322517906837,0.40662029491242935,0.04896960900680929,-3.012103200613949,0.06266097029986502,0.4689412999732209,0.14081641574620696
3,val,lstm,early_stop_standardized,465,0.38306596729643166,0.1789887638037886,0.07546564322798399,-2.4219803729564533,0.04673404821625487,0.7350498466318708,0.3523124906082663
3,test,lstm,early_stop_standardized,903,0.3764966278369216,0.3976194940366756,0.04856423351399395,-2.984317411063579,0.06403415146925816,0.4710882793283049,0.1273481502723527
4,val,lstm,early_stop,465,0.38303401159320055,0.37650207218588105,0.05627967934397816,-2.609743337096538,0.08698283924179043,0.40646999394789696,0.0888808494933373
4,test,lstm,early_stop,903,0.49944920365268913,0.13165544021413023,0.12014617970806042,-2.047820469420943,0.04512554084460005,0.7343304167041547,0.32849988334117874
4,val,lstm,early_stop_standardized,465,0.38092136352401323,0.3833609881915002,0.05615828387251313,-2.6347359896813196,0.08468489163141381,0.41289489211472985,0.10644596047267774
4,test,lstm,early_stop_standardized,903,0.4959690528844594,0.14371449028570005,0.11779902687861295,-2.120741807308994,0.03905125574945418,0.772243192806405,0.34221369461216145
5,val,lstm,early_stop,465,0.5677481970467934,0.08579744382524912,0.15080403207745352,-1.0760688492465464,0.04793913443315928,0.8795840945054433,0.29144740301983063
5,test,lstm,early_stop,904,0.2735103213749717,0.3043605151495329,0.046179820770899174,-2.6123822597131405,0.03692038559006413,0.8046268963550312,0.4940206398325835
5,val,lstm,early_stop_standardized,465,0.5670319874341132,0.08810250678984966,0.15025826738593634,-1.1283112509021223,0.04229233786310644,0.9222300521047501,0.2942216435835343
5,test,lstm,early_stop_standardized,904,0.2704103003741474,0.3200401861454619,0.04558054224544852,-2.6173952868418566,0.03054972788984132,0.8514250851483663,0.49788840655386213
