fold,variant,standardize_target,best_epoch,epochs_ran,best_val_mse,final_train_mse,target_mean,target_std,pca_explained_variance_sum
1,early_stop,False,1,7,0.060808861258997496,0.05389194805228047,0.0,1.0,0.8093360626188744
1,early_stop_standardized,True,1,7,0.06072785576026408,0.4293276987052555,0.007179803196927507,0.3515326754285752,0.8093360626188744
2,early_stop,False,1,7,0.1571403718288934,0.039247274425076695,0.0,1.0,0.7840368435301945
2,early_stop_standardized,True,1,7,0.15371902347948302,0.32516162873382887,-0.0018640675911623383,0.3312158471353142,0.7840368435301945
3,early_stop,False,3,9,0.13996011741079162,0.04659642535588684,0.0,1.0,0.8042703857742869
3,early_stop_standardized,True,2,8,0.14673953530075085,0.3820539398215308,0.0017544109973971914,0.35026205933487287,0.8042703857742869
4,early_stop,False,2,8,0.14671505403718008,0.05406423372306185,0.0,1.0,0.8051617451945929
4,early_stop_standardized,True,3,9,0.14510108518899345,0.3797551290987682,-0.001444138297390613,0.3597520482267934,0.8051617451945929
5,early_stop,False,1,7,0.3223380152498845,0.07360231724885728,0.0,1.0,0.804229871977535
5,early_stop_standardized,True,1,7,0.32152527477348036,0.43599279555717124,0.002523403110934317,0.3835360752801221,0.804229871977535
