landmark_day,model,n_oos,logloss,brier,auc
5,D0_prior,29,0.6567939175026813,0.23197481169247036,0.5357142857142857
5,D1_geometry,29,0.7140326802997682,0.24022852789937893,0.6845238095238095
5,D2_geometry_plus_downside,29,0.6530840493853575,0.2155492257116147,0.7261904761904762
10,D0_prior,21,0.6724118354428945,0.23963553693977788,0.11111111111111112
10,D1_geometry,21,0.48007663697554165,0.16044770506018566,0.888888888888889
10,D2_geometry_plus_downside,21,0.46968016003953167,0.15173973868628116,0.888888888888889
15,D0_prior,15,0.6188208138342133,0.21329997617969348,0.2692307692307693
15,D1_geometry,15,0.42710002434717004,0.13135128438306715,0.8076923076923077
15,D2_geometry_plus_downside,15,0.4251553728760395,0.13123142663956547,0.8076923076923077
