episode_id,branch_idx,model,n_risk_days,episode_loglik,episode_nll
43,7308,HP_downside,25,-3.5600790238630524,3.5600790238630524
43,7308,H1P_duration_plus_downside,25,-3.458400396327359,3.458400396327359
44,7338,H0_constant,25,-4.2193141567050025,4.2193141567050025
44,7338,H1_duration,25,-4.04905441730942,4.04905441730942
44,7338,HP_downside,25,-4.195886860276561,4.195886860276561
44,7338,H1P_duration_plus_downside,25,-4.058083970092244,4.058083970092244
45,7392,H0_constant,12,-3.7867621346328106,3.7867621346328106
45,7392,H1_duration,12,-3.797945826833932,3.797945826833932
45,7392,HP_downside,12,-3.876489807282027,3.876489807282027
45,7392,H1P_duration_plus_downside,12,-3.8423943496286,3.8423943496286
46,7423,H0_constant,6,-3.576207999913763,3.576207999913763
46,7423,H1_duration,6,-3.7908539189941903,3.7908539189941903
46,7423,HP_downside,6,-3.8333288045420697,3.8333288045420697
46,7423,H1P_duration_plus_downside,6,-4.015880761340652,4.015880761340652
47,7468,H0_constant,18,-3.9730377444596385,3.9730377444596385
47,7468,H1_duration,18,-3.8716836384150395,3.8716836384150395
47,7468,HP_downside,18,-3.895834700962375,3.895834700962375
47,7468,H1P_duration_plus_downside,18,-3.8209559651228755,3.8209559651228755
48,8047,H0_constant,17,-3.935062371045375,3.935062371045375
48,8047,H1_duration,17,-3.8434411388317526,3.8434411388317526
48,8047,HP_downside,17,-4.1185988816242185,4.1185988816242185
48,8047,H1P_duration_plus_downside,17,-4.04029276293928,4.04029276293928
