episode_id,branch_idx,branch_date,event_day,event_idx,event_type,day_in_state,event_today,y_recovery,cumulative_return,distance_to_recovery,distance_to_relapse,downside_shock_pressure
1,996,1997-04-07,16,1012,recovery,1,0,1,0.007181791474422994,0.363473537223979,0.636526462776021,0.1183847942493443
1,996,1997-04-07,16,1012,recovery,2,0,1,-0.0010271779448409735,0.450945220985623,0.549054779014377,0.023920629016881526
1,996,1997-04-07,16,1012,recovery,3,0,1,-0.004719523355617095,0.490289461853696,0.5097105381463041,0.029505789693844
1,996,1997-04-07,16,1012,recovery,4,0,1,-0.036323210205837175,0.8270464359236933,0.17295356407630672,0.3177290141830121
1,996,1997-04-07,16,1012,recovery,5,0,1,-0.023394717430956113,0.6892852903083535,0.3107147096916466,0.3046603930277706
1,996,1997-04-07,16,1012,recovery,6,0,1,-0.006771765710433142,0.5121573827941075,0.4878426172058925,0.28332246213526086
1,996,1997-04-07,16,1012,recovery,7,0,1,0.0047195233556169836,0.38971053814630535,0.6102894618536947,0.2653749000623757
1,996,1997-04-07,16,1012,recovery,8,0,1,0.0006150386459851109,0.4334463800271262,0.5665536199728739,0.26577869772440776
1,996,1997-04-07,16,1012,recovery,9,0,1,0.005539574883596909,0.38097237818247587,0.6190276218175242,0.0042122829788931865
1,996,1997-04-07,16,1012,recovery,10,0,1,-0.0010271779448409735,0.450945220985623,0.549054779014377,0.014922294534925665
1,996,1997-04-07,16,1012,recovery,11,0,1,0.02093244931214988,0.21695171061397536,0.7830482893860248,0.013942518259843183
1,996,1997-04-07,16,1012,recovery,12,0,1,0.021957513722125066,0.20602901065918555,0.7939709893408146,0.0142637735222419
1,996,1997-04-07,16,1012,recovery,13,0,1,0.01682796460251801,0.2606875524947962,0.739312447505204,0.01628555344497692
1,996,1997-04-07,16,1012,recovery,14,0,1,0.0051295491196070575,0.38534145816438947,0.6146585418356106,0.05607636425772623
1,996,1997-04-07,16,1012,recovery,15,0,1,0.014980735129696887,0.28037093344425096,0.7196290665557492,0.05020425488914313
1,996,1997-04-07,16,1012,recovery,16,1,1,0.04699233420904125,-0.060732599576829215,1.0607325995768293,0.03911457776360286
2,1335,1998-08-11,14,1349,relapse,1,0,0,0.016959759962360987,0.28541457897991507,0.7145854210200849,0.0631090261924901
2,1335,1998-08-11,14,1349,relapse,2,0,0,0.004678248364388571,0.39735853604941856,0.6026414639505815,0.09650322248577685
2,1335,1998-08-11,14,1349,relapse,3,0,0,-0.007017372546582745,0.5039621959258712,0.4960378040741288,0.12491094774081173
2,1335,1998-08-11,14,1349,relapse,4,0,0,0.01403474509316549,0.31207560814825763,0.6879243918517424,0.1066121790770297
2,1335,1998-08-11,14,1349,relapse,5,0,0,0.032749218072656294,0.1414962667469626,0.8585037332530374,0.058912453864947444
2,1335,1998-08-11,14,1349,relapse,6,0,0,0.03011714854696157,0.16548714731877773,0.8345128526812222,0.06017870175254099
2,1335,1998-08-11,14,1349,relapse,7,0,0,0.023977132508943733,0.22145238305404388,0.7785476169459561,0.04009418281333913
2,1335,1998-08-11,14,1349,relapse,8,0,0,0.015789458110295307,0.2960816877670476,0.7039183122329524,0.0235166211126558
2,1335,1998-08-11,14,1349,relapse,9,0,0,0.022222419491813694,0.237446303435256,0.762553696564744,0.02357113295903262
2,1335,1998-08-11,14,1349,relapse,10,0,0,0.02456154367400809,0.21612557145996425,0.7838744285400358,0.02514863085270281
2,1335,1998-08-11,14,1349,relapse,11,0,0,0.01871299345755406,0.2694341441976762,0.7305658558023238,0.03120757287494147
2,1335,1998-08-11,14,1349,relapse,12,0,0,-0.02923979203839644,0.7065158924906152,0.29348410750938475,0.38058758934806736
2,1335,1998-08-11,14,1349,relapse,13,0,0,-0.03274773855071944,0.7384902476540652,0.26150975234593477,0.4010161351341602
2,1335,1998-08-11,14,1349,relapse,14,1,0,-0.10175412120835514,1.3674720693235909,-0.36747206932359106,0.6901842649821025
3,1378,1998-10-12,5,1383,recovery,1,0,1,-0.003439193885737324,0.4636884729661702,0.5363115270338299,0.039763942658144986
3,1378,1998-10-12,5,1383,recovery,2,0,1,0.005938992924591435,0.3990934160694176,0.6009065839305825,0.0062338479582997345
3,1378,1998-10-12,5,1383,recovery,3,0,1,0.060018819420254665,0.026602492172859392,0.9733975078271409,0.001375322477602054
3,1378,1998-10-12,5,1383,recovery,4,0,1,0.060330900258648956,0.02445294238032772,0.9755470576196724,0.0013784652967911296
3,1378,1998-10-12,5,1383,recovery,5,1,1,0.06408217498278046,-0.0013850803783733274,1.0013850803783735,0.0013765317080867423
4,1636,1999-10-20,6,1642,recovery,1,0,1,0.005848876495920585,0.384221467103947,0.6157785328960529,0.21647571052986028
4,1636,1999-10-20,6,1642,recovery,2,0,1,0.014376868762190353,0.3028932158589112,0.6971067841410886,0.0
4,1636,1999-10-20,6,1642,recovery,3,0,1,0.00925910182825973,0.3516994321429586,0.6483005678570413,0.00809603945481869
4,1636,1999-10-20,6,1642,recovery,4,0,1,-0.003411439800049876,0.4725336168822687,0.5274663831177312,0.05585222012011942
4,1636,1999-10-20,6,1642,recovery,5,0,1,0.014619762304379558,0.30057683160243237,0.6994231683975675,0.05301520669323885
4,1636,1999-10-20,6,1642,recovery,6,1,1,0.049221161856969786,-0.02940368765451471,1.0294036876545145,0.04220599946188621
5,1763,2000-04-24,57,1820,recovery,1,0,1,0.04151981094970747,0.1496781359975006,0.8503218640024995,0.025558484582491475
5,1763,2000-04-24,57,1820,recovery,2,0,1,0.029767358754307693,0.2318556254880391,0.768144374511961,0.04099962522875025
5,1763,2000-04-24,57,1820,recovery,3,0,1,0.026362666707341553,0.25566249066444857,0.7443375093355515,0.03162743526316604
5,1763,2000-04-24,57,1820,recovery,4,0,1,0.019992351699785527,0.3002060876841212,0.6997939123158788,0.03748596019425317
5,1763,2000-04-24,57,1820,recovery,5,0,1,0.03383119918156652,0.20343975121347646,0.7965602487865237,0.022313810793705858
5,1763,2000-04-24,57,1820,recovery,6,0,1,0.013180788602943139,0.34783505443065343,0.6521649455693467,0.06993725506027357
5,1763,2000-04-24,57,1820,recovery,7,0,1,-0.00439286986667764,0.470716569725211,0.5292834302747891,0.10441115717950639
5,1763,2000-04-24,57,1820,recovery,8,0,1,-0.003075662607547436,0.4615061697257621,0.538493830274238,0.11114894864635647
5,1763,2000-04-24,57,1820,recovery,9,0,1,0.00900690852872632,0.3770203665877179,0.6229796334122821,0.10433692785568793
5,1763,2000-04-24,57,1820,recovery,10,0,1,0.0014283364075433624,0.4300125439211919,0.5699874560788082,0.1123726409696123
5,1763,2000-04-24,57,1820,recovery,11,0,1,-0.006590394301471569,0.4860824727846734,0.5139175272153267,0.06195454531283198
5,1763,2000-04-24,57,1820,recovery,12,0,1,-0.028998170727056904,0.6427659275313053,0.3572340724686948,0.08658701046230559
5,1763,2000-04-24,57,1820,recovery,13,0,1,-0.006810473595387556,0.4876213485496772,0.5123786514503229,0.0897698121277365
5,1763,2000-04-24,57,1820,recovery,14,0,1,0.003954890281755885,0.41234594541108277,0.5876540545889174,0.09077629556824462
5,1763,2000-04-24,57,1820,recovery,15,0,1,0.021309558958916064,0.29099568768467,0.7090043123153301,0.10380541630634227
5,1763,2000-04-24,57,1820,recovery,16,0,1,0.030316467487642385,0.22801605427238783,0.7719839457276123,0.09595727809939343
5,1763,2000-04-24,57,1820,recovery,17,0,1,0.020430331284707393,0.2971435725478269,0.7028564274521731,0.01921732920709444
5,1763,2000-04-24,57,1820,recovery,18,0,1,0.010984353669604374,0.3631933392932585,0.6368066607067416,0.03710353714379373
5,1763,2000-04-24,57,1820,recovery,19,0,1,-0.007908691062056827,0.49530049098097895,0.5046995090190212,0.10355681474370892
5,1763,2000-04-24,57,1820,recovery,20,0,1,-0.015377223536282014,0.5475232304319526,0.4524767695680475,0.11599966196880322
5,1763,2000-04-24,57,1820,recovery,21,0,1,-0.029876308899810522,0.6489061941976056,0.3510938058023945,0.2212544415002842
5,1763,2000-04-24,57,1820,recovery,22,0,1,-0.014058926775696756,0.5383052122356471,0.461694787764353,0.18910240830844036
5,1763,2000-04-24,57,1820,recovery,23,0,1,-0.030974526366480015,0.6565853366289089,0.34341466337109117,0.2278066096346382
5,1763,2000-04-24,57,1820,recovery,24,0,1,-0.029876308899810522,0.6489061941976056,0.3510938058023945,0.14217342944006348
5,1763,2000-04-24,57,1820,recovery,25,0,1,0.0032957419014632006,0.4169549545092359,0.5830450454907642,0.10381114903199457
5,1763,2000-04-24,57,1820,recovery,26,0,1,0.003954890281755885,0.41234594541108277,0.5876540545889174,0.06513091438934757
5,1763,2000-04-24,57,1820,recovery,27,0,1,0.02152963825283183,0.28945681191966777,0.7105431880803323,0.06520166428219971
5,1763,2000-04-24,57,1820,recovery,28,0,1,0.03932446551782354,0.16502880266325057,0.8349711973367495,0.0
5,1763,2000-04-24,57,1820,recovery,29,0,1,0.03427135776939827,0.20036199968347046,0.7996380003165297,0.004981515010052585
5,1763,2000-04-24,57,1820,recovery,30,0,1,0.029658408608804754,0.23261744517368435,0.7673825548263158,0.009243407304063787
5,1763,2000-04-24,57,1820,recovery,31,0,1,0.036797911643611014,0.18269540117335975,0.8173045988266403,0.009276515426057135
5,1763,2000-04-24,57,1820,recovery,32,0,1,0.032732981714897136,0.21111889364477898,0.7888811063552211,0.014055526410738343
5,1763,2000-04-24,57,1820,recovery,33,0,1,0.03053654678155837,0.22647717850738405,0.7735228214926161,0.017199460733244035
5,1763,2000-04-24,57,1820,recovery,34,0,1,0.018453975645284393,0.31096298164542974,0.6890370183545703,0.04804546434438665
5,1763,2000-04-24,57,1820,recovery,35,0,1,0.03756709967086147,0.17731695419270627,0.8226830458072938,0.042096420947921105
5,1763,2000-04-24,57,1820,recovery,36,0,1,0.03932446551782354,0.16502880266325057,0.8349711973367495,0.04294000562677419
5,1763,2000-04-24,57,1820,recovery,37,0,1,0.04151981094970747,0.1496781359975006,0.8503218640024995,0.03972306616756237
5,1763,2000-04-24,57,1820,recovery,38,0,1,0.03295850851608817,0.20954192689549364,0.7904580731045064,0.05760415838704529
5,1763,2000-04-24,57,1820,recovery,39,0,1,0.0461708926612272,0.11715605361730955,0.8828439463826906,0.020019953345023208
5,1763,2000-04-24,57,1820,recovery,40,0,1,0.042427365661746874,0.14333217801607612,0.856667821983924,0.024109613525692804
5,1763,2000-04-24,57,1820,recovery,41,0,1,0.041767127779999136,0.1479488053110859,0.8520511946889142,0.02592470201751294
5,1763,2000-04-24,57,1820,recovery,42,0,1,0.026132781900330304,0.2572699302011604,0.7427300697988397,0.0998118506927836
5,1763,2000-04-24,57,1820,recovery,43,0,1,0.017324162636419338,0.3188630517855682,0.6811369482144319,0.10976424097000308
5,1763,2000-04-24,57,1820,recovery,44,0,1,0.030426507134600156,0.2272466163898875,0.7727533836101126,0.10390436572725545
5,1763,2000-04-24,57,1820,recovery,45,0,1,0.022829413488681727,0.28036830306992094,0.7196316969300791,0.18200045583517102
