landmark_day,n_oos,D1_geometry_logloss,D2_geometry_plus_downside_logloss,D2_minus_D1_logloss,downside_improves
5,29,0.7140326802997682,0.6530840493853575,-0.06094863091441072,True
10,21,0.48007663697554165,0.46968016003953167,-0.01039647693600998,True
15,15,0.42710002434717004,0.4251553728760395,-0.001944651471130543,True
