model,n_oos_episodes,mean_episode_nll,median_episode_nll,total_loglik
H0_constant,30,4.578297244881943,4.215484763186126,-137.3489173464583
H1_duration,30,4.588133238282098,4.0539758820119784,-137.64399714846294
H1P_duration_plus_downside,30,4.680799366068192,4.180679916782238,-140.42398098204578
HP_downside,30,4.696879256589758,4.211500699101197,-140.90637769769276
