model,state,soft_occupancy,hard_occupancy,weighted_mean_return_pct,weighted_positive_fraction,weighted_mean_abs_return_pct,weighted_mean_rolling_vol_13w,hard_n,hard_mean_return_pct,hard_return_std_pct,hard_positive_fraction
hmm2,0,0.30791947525821517,0.27196773264188995,-0.1518757217187146,0.49149797880244134,2.568162264084304,2.699895970262682,944,-0.20538330917017242,3.5188697020304147,0.4745762711864407
hmm2,1,0.6920805247417848,0.7280322673581101,0.2691733830220569,0.5951568429090398,1.1561011557550191,1.6255964004973082,2527,0.2683696936384984,1.3788096193172017,0.596359319351009
hmm4_unrestricted,0,0.16461372829617096,0.1414577931431864,-0.5977168671342713,0.4017628292169865,2.702267286934279,2.78434769725017,491,-0.8360279941339593,3.7015928082863048,0.3604887983706721
hmm4_unrestricted,1,0.3733081820320303,0.404206280610775,0.38198740855914964,0.6357697115351807,1.2582201519232545,1.738427658349498,1403,0.4234986953171992,1.5307430891378815,0.647184604419102
hmm4_unrestricted,2,0.20389160430990053,0.20599250936329588,-0.26603627411132225,0.4094390872859721,1.6208137106267582,1.760455397711543,715,-0.31848984664929564,2.211768099904736,0.38181818181818183
hmm4_unrestricted,3,0.2581864853618981,0.24834341688274272,0.5792716186210242,0.6827753003183237,1.3397207548130396,1.8983989816402336,862,0.6129114708953975,1.604903462458167,0.6925754060324826
hmm4_restricted,0,0.21872281388603546,0.2031114952463267,-0.13215831036884182,0.4891158978762864,2.426770809995043,2.557762046293831,705,-0.16753041787363315,3.289299682250222,0.46808510638297873
hmm4_restricted,1,0.23646714757963894,0.24200518582541056,0.4056826588244235,0.6250342432771274,1.4761907674738644,2.001820014768722,840,0.427928874315192,1.9280707802385182,0.6321428571428571
hmm4_restricted,2,0.20164352233194313,0.19418035148372226,-0.4574795114455496,0.383423347311793,1.6502752573010595,1.737855632858254,674,-0.5752871117208285,2.228828821515136,0.3486646884272997
hmm4_restricted,3,0.3431665162023823,0.3607029674445405,0.4800799387587002,0.6735580090444098,1.1023050834459265,1.6702132091498663,1252,0.5037384787890026,1.234721364051812,0.6861022364217252
