model,n_forecasts,mean_log_predictive_density,total_log_predictive_density,median_log_predictive_density
hmm4_restricted,3471,-2.076380925964457,-7207.118194022631,-1.7932605377424564
hmm4_unrestricted,3471,-2.0785859862535574,-7214.771958286097,-1.8004591883903809
hmm2,3471,-2.097569772891107,-7280.664681705033,-1.7869444129304293
iid_gaussian,3471,-2.217798843277408,-7697.979785015884,-1.7639656369075434
