model,n_rows,minimum_probability,maximum_probability,maximum_row_sum_error,mean_max_probability,fraction_max_probability_above_0_8
hmm2,3471,4.168242710043662e-36,1.0,3.3306690738754696e-16,0.8616040648254277,0.7332180927686546
hmm4_unrestricted,3471,3.2281915506586087e-152,1.0,4.440892098500626e-16,0.7305270360139164,0.38403918179199076
hmm4_restricted,3471,1.4543202066052063e-73,1.0,4.440892098500626e-16,0.7300270852113899,0.38864880437914145
