run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,train,regression,0.0609303295617801,0.0596537929282941,-0.0012765366334860015,0.7901092066103582,0.8001982518078273,0.010089045197469115,,,,,,,,,,,,,,,,0.0949792615206264,0.295163088858236,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,val,q90_warning,,,,,,,0.0526315789473684,0.0833333333333333,0.030701754385964904,0.03125,0.03125,0.0,0.0392156862745098,0.0454545454545454,0.006238859180035597,0.0824749892914194,0.1079571623595881,0.025482173068168704,0.7414973498233215,0.772830167844523,0.03133281802120147,,,0.0342857142857142,0.0286803375245479,0.5365503533568905
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,val,regression,0.0534271915434915,0.0534988143222327,7.162277874119688e-05,0.5335705690918268,0.526001585933234,-0.007568983158592779,,,,,,,,,,,,,,,,0.0731260396189572,0.129774881256988,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,test,q90_warning,,,,,,,0.4529411764705882,0.4876543209876543,0.03471314451706614,0.5923076923076923,0.6076923076923076,0.01538461538461533,0.5133333333333333,0.541095890410959,0.02776255707762565,0.5287641430658557,0.5451943981949203,0.016430255129064597,0.8381793881793882,0.8798930798930799,0.04171369171369166,,,0.2454873646209386,0.2988060244074871,0.6369319869319869
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,test,q95_crisis,,,,,,,0.4264705882352941,0.4444444444444444,0.01797385620915032,0.5686274509803921,0.4705882352941176,-0.09803921568627455,0.4873949579831932,0.4571428571428571,-0.030252100840336138,0.5690302280385731,0.5380919013630785,-0.030938326675494565,0.7472786423986634,0.8185702980743867,0.07129165567572338,,,0.1132075471698113,0.068032077389241,0.6212784665435681
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,test,regression,0.0971308594749556,0.0965518885640646,-0.0005789709108909996,0.6083992150970652,0.6164846363908248,0.008085421293759665,,,,,,,,,,,,,,,,0.1169041452365639,0.3050384824621115,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,train,q90_warning,,,,,,,0.6029411764705882,0.6158088235294118,0.012867647058823595,0.6029411764705882,0.6158088235294118,0.012867647058823595,0.6029411764705882,0.6158088235294118,0.012867647058823595,0.6654493531104065,0.7071413394630677,0.04169198635266114,0.9137021427540764,0.9387760930210188,0.02507395026694248,,,0.2555147058823529,0.2289223878554982,0.7298478007310855
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,train,q95_crisis,,,,,,,0.5845588235294118,0.5772058823529411,-0.007352941176470673,0.5845588235294118,0.5772058823529411,-0.007352941176470673,0.5845588235294118,0.5772058823529411,-0.007352941176470673,0.6163819481902867,0.6510458891965902,0.034663941006303545,0.9188940971431176,0.9628358944274844,0.04394179728436676,,,0.2242647058823529,0.1683799509057673,0.8319132455460884
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,train,regression,0.0609303295617801,0.0599448868787592,-0.0009854426830208998,0.7901092066103582,0.7979137364357816,0.007804529825423345,,,,,,,,,,,,,,,,0.0954640615829726,0.2748392044528717,,,
