fold,train_sequences,final_train_mse,best_val_mse,best_epoch,epochs_ran,pca_explained_variance_sum
1,2461,0.059412006883662875,0.05835285782814026,1,7,0.8093360626188744
2,3403,0.043738345098590065,0.14254222810268402,1,7,0.7840368435301945
3,4345,0.053488199366524526,0.14574000239372253,3,9,0.8042703857742869
4,5287,0.06593771603403052,0.14620473980903625,1,7,0.8051617451945929
5,6229,0.07015732511265604,0.3295593857765198,1,7,0.804229871977535
