fold,train_sequences,final_train_mse,pca_explained_variance_sum
1,2461,0.00981034587180164,0.8093360626188744
2,3403,0.011164411214677561,0.7840368435301945
3,4345,0.012504890940491844,0.8042703857742869
4,5287,0.013736027265603475,0.8051617451945929
5,6229,0.018999273946329647,0.804229871977535
