market_key,market,episode_id,branch_date,landmark_date,event_type,y_recovery,event_day,current_return_5d_from_branch,distance_to_recovery_barrier,distance_to_relapse_barrier,barrier_width,stress_ratio,drawdown_120d,rv_ratio_5_20_branch,return_5d_branch,rv_5d_change_5d_branch,worst_return_5d_in_prior_window,downside_shock_pressure_day5
nikkei_225,Nikkei 225,1,1952-07-25,1952-08-01,recovery,1,11,0.028745185485505864,0.03353723927014624,0.10801372608360853,0.14155096535375478,1.2520382893438906,-0.06230991484184922,1.006362986241358,0.03234394616130043,-0.03483371862152085,-0.09667973034936761,0.0
nikkei_225,Nikkei 225,2,1953-02-23,1953-03-02,relapse,0,7,-0.07713615023474185,0.15697051803808343,0.02447122696951104,0.18144174500759447,1.647178701045082,-0.10208039120628964,0.736930498292246,-0.0013840183304489884,-0.29483523586540583,-0.14168646234325433,0.1441196947691939
nikkei_225,Nikkei 225,3,1953-04-07,1953-04-14,recovery,1,7,0.014389857369255132,0.08299509243163786,0.13833433893402802,0.22132943136566585,1.9407586512487098,-0.3349914634403389,1.067031055786715,0.02714808120586021,-0.06810010066190292,-0.17703966001940152,0.006554881204573819
nikkei_225,Nikkei 225,4,1954-01-11,1954-01-19,relapse,0,34,-0.05383412410210198,0.11084651110964394,0.018727095725678697,0.12957360683532265,1.171591568355101,-0.16323995830283677,0.5746521287366199,0.038888910385249886,-0.22200347082003744,-0.10939103432459873,0.12021274862191036
nikkei_225,Nikkei 225,5,1954-04-08,1954-04-15,recovery,1,10,0.006112431698206411,0.04437441284271299,0.07036841565937656,0.11474282850208956,1.0411704711847831,-0.2672095916751499,0.847265160903233,0.003835333024064802,0.05934762024212023,-0.07561464166575949,0.010100528055788616
nikkei_225,Nikkei 225,6,1957-06-05,1957-06-12,relapse,0,33,0.011046209010467933,0.035329953008029796,0.07007041521582866,0.10540036822385845,1.1272288496610348,-0.12790639027588635,0.6226651671495581,0.008498991210959872,-0.020130000682268695,-0.07238367863514572,0.0
nikkei_225,Nikkei 225,7,1959-12-28,1960-01-08,recovery,1,10,0.04276014996342359,0.021163625549909346,0.12411768243493822,0.14528130798484756,1.69126821689224,-0.10445988965432529,1.1174009616821214,0.023628747002612194,-0.08094472394238061,-0.09412317286494698,0.005655607748245581
nikkei_225,Nikkei 225,8,1960-05-24,1960-05-31,recovery,1,26,-0.03321498782312715,0.08292216142947083,0.03004868767585571,0.11297084910532654,1.3196424930007222,-0.0723145182510232,1.3621915681012489,-0.0077261088050155635,-0.0036193893983952896,-0.056019261405981347,0.10837749542879882
nikkei_225,Nikkei 225,9,1961-09-21,1961-09-28,relapse,0,11,0.019704598185331657,0.030545549568339096,0.08365933169000352,0.1142048812583426,1.331374231944345,-0.18262157464995032,1.0329959172513683,-0.009376930019989516,-0.030461591077006633,-0.0677649639874609,0.009076725174268595
nikkei_225,Nikkei 225,10,1961-10-26,1961-11-02,recovery,1,49,0.013397753208643337,0.05235317654045704,0.09708075470749836,0.1494339312479554,1.7286140636802012,-0.26247444992184676,0.9313820242814136,0.025464503924534476,-0.006662723018095895,-0.0997464511792785,0.032760416521843534
