model,n,recovery_rate,auc,pr_auc,logloss,brier
D1_geometry_linear,317,0.580441640378549,0.7211507028440667,0.7521385403774223,0.612057112983204,0.210309820006362
D2_geometry_downside_linear,317,0.580441640378549,0.7193527296502125,0.7507746504813781,0.6170727448211308,0.21178885036647285
L1_geometry_state_linear_c01,317,0.580441640378549,0.7146126185027786,0.7601568883630951,0.614564468085953,0.21200176038621293
L2_geometry_quad_c005,317,0.580441640378549,0.7070938215102974,0.722409424773548,0.6566748047225964,0.21704586378822255
L3_geometry_downside_quad_c005,317,0.580441640378549,0.7047646289637137,0.7242633545117074,0.6631491151259327,0.21947838257594218
L4_state_rbf32_c005,317,0.580441640378549,0.6005230467473032,0.6619335963035164,0.6732724388009352,0.24014039687626268
