model,n_clusters,cluster_mean_logloss,cluster_mean_brier,median_cluster_size
D0_pooled_prior,150,0.6882837139355305,0.2475652079501965,2.0
D0_market_prior,150,0.6928558997827753,0.24953933058513011,2.0
D1_geometry,150,0.6076492324485545,0.20820330056976236,2.0
D2_geometry_downside,150,0.613492510891364,0.21023520423986017,2.0
